Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.154797
1,0.106414
1.25,0.116583
1.5,0.108445
1.75,0.117127
2,0.123474
2.25,0.142868
2.5,0.141734
2.75,0.142279
3,0.142114
3.25,0.146229
3.5,0.150964
3.75,0.151517
4,0.155304
4.25,0.160486
4.5,0.160362
4.75,0.161957
5,0.164411
5.25,0.167826
5.5,0.170862
5.75,0.171524
6,0.174167
6.25,0.176008
6.5,0.177185
6.75,0.177645
7,0.179111
7.25,0.182246
7.5,0.183558
7.75,0.185819
8,0.188324
8.25,0.189512
8.5,0.189405
8.75,0.189313
9,0.189307
9.25,0.189425
9.5,0.189644
9.75,0.190728
10,0.190474
10.25,0.190224
10.5,0.1893
10.75,0.190835
11,0.192051
11.25,0.191297
11.5,0.19156
11.75,0.193312
12,0.193495
12.25,0.192467
12.5,0.192246
12.75,0.191787
13,0.191701
13.25,0.19205
13.5,0.191886
13.75,0.191611
14,0.191631
14.25,0.192209
14.5,0.191677
14.75,0.192219
15,0.19243
15.25,0.193205
15.5,0.193211
15.75,0.194164
16,0.194541
16.25,0.194708
16.5,0.195011
16.75,0.195408
17,0.195758
17.25,0.196637
17.5,0.197294
17.75,0.198025
18,0.198158
18.25,0.199341
18.5,0.200064
18.75,0.20065
19,0.201486
19.25,0.20176
19.5,0.202025
19.75,0.202536
20,0.203141
20.25,0.203665
20.5,0.204365
20.75,0.204697
21,0.205137
21.25,0.205777
21.5,0.206662
21.75,0.207302
22,0.207766
22.25,0.208238
22.5,0.2089
22.75,0.209726
23,0.210192
23.25,0.210937
23.5,0.211484
23.75,0.21171
24,0.212271
24.25,0.212819
24.5,0.213436
24.75,0.214134
25,0.214703
25.25,0.215031
25.5,0.215698
25.75,0.216488
26,0.217049
26.25,0.217673
26.5,0.218276
26.75,0.218894
27,0.219535
27.25,0.220264
27.5,0.220774
27.75,0.221371
28,0.221943
28.25,0.222657
28.5,0.223384
28.75,0.223972
29,0.224716
29.25,0.225405
29.5,0.226243
29.75,0.226868
30,0.22763
30.25,0.228445
30.5,0.229313
30.75,0.230056
31,0.230794
31.25,0.231515
31.5,0.232241
31.75,0.233127
32,0.23398
32.25,0.234843
32.5,0.23574
32.75,0.236639
33,0.237495
33.25,0.23853
33.5,0.239342
33.75,0.24013
34,0.241011
34.25,0.241781
34.5,0.242609
34.75,0.24351
35,0.244357
35.25,0.245171
35.5,0.245996
35.75,0.24691
36,0.247767
36.25,0.248552
36.5,0.249305
36.75,0.250083
37,0.250924
37.25,0.251719
37.5,0.252515
37.75,0.25319
38,0.253938
38.25,0.25465
38.5,0.255363
38.75,0.256016
39,0.256683
39.25,0.257365
39.5,0.258062
39.75,0.258677
40,0.259286
40.25,0.25987
40.5,0.260406
40.75,0.26098
41,0.26145
41.25,0.261995
41.5,0.262516
41.75,0.262995
42,0.263459
42.25,0.263909
42.5,0.264345
42.75,0.264764
43,0.265178
43.25,0.265535
43.5,0.265916
43.75,0.266257
44,0.266583
44.25,0.266941
44.5,0.267273
44.75,0.267585
45,0.267885
45.25,0.268188
45.5,0.268513
45.75,0.268761
46,0.269034
46.25,0.269281
46.5,0.269535
46.75,0.269753
47,0.269999
47.25,0.270195
47.5,0.270374
47.75,0.270592
48,0.270798
48.25,0.27099
48.5,0.271193
48.75,0.271373
49,0.271545
49.25,0.271708
49.5,0.271858
49.75,0.272001
50,0.272175
50.25,0.272335
50.5,0.272456
50.75,0.272587
51,0.272719
51.25,0.272847
51.5,0.27296
51.75,0.273067
52,0.273169
52.25,0.273271
52.5,0.273358
52.75,0.273466
53,0.273566
53.25,0.273659
53.5,0.273758
53.75,0.273852
54,0.273958
54.25,0.274044
54.5,0.274121
54.75,0.274193
55,0.274267
55.25,0.274334
55.5,0.274399
55.75,0.274466
56,0.274529
56.25,0.274584
56.5,0.274639
56.75,0.274703
57,0.274752
57.25,0.274786
57.5,0.274819
57.75,0.274874
58,0.27492
58.25,0.274953
58.5,0.275001
58.75,0.275039
59,0.275073
59.25,0.275104
59.5,0.275134
59.75,0.275183
60,0.275223
60.25,0.27525
60.5,0.275273
60.75,0.275299
61,0.275319
