Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.63459
1,0.624923
1.25,0.583001
1.5,0.567071
1.75,0.530576
2,0.522449
2.25,0.496548
2.5,0.47417
2.75,0.458562
3,0.452425
3.25,0.43417
3.5,0.429775
3.75,0.425799
4,0.415167
4.25,0.405607
4.5,0.394279
4.75,0.387057
5,0.381241
5.25,0.372504
5.5,0.366032
5.75,0.358146
6,0.349786
6.25,0.340443
6.5,0.336106
6.75,0.327469
7,0.320079
7.25,0.312971
7.5,0.306543
7.75,0.303726
8,0.298961
8.25,0.295859
8.5,0.293911
8.75,0.291629
9,0.289549
9.25,0.28882
9.5,0.288299
9.75,0.287145
10,0.286517
10.25,0.285678
10.5,0.286297
10.75,0.285603
11,0.28337
11.25,0.283676
11.5,0.283592
11.75,0.283128
12,0.282282
12.25,0.281763
12.5,0.281721
12.75,0.280303
13,0.279474
13.25,0.278033
13.5,0.277571
13.75,0.278315
14,0.278622
14.25,0.277513
14.5,0.277924
14.75,0.277843
15,0.277963
15.25,0.277979
15.5,0.278198
15.75,0.277563
16,0.278898
16.25,0.27917
16.5,0.279976
16.75,0.280262
17,0.2802
17.25,0.280781
17.5,0.281322
17.75,0.281668
18,0.282287
18.25,0.282104
18.5,0.282762
18.75,0.282544
19,0.282475
19.25,0.282664
19.5,0.283067
19.75,0.283593
20,0.284315
20.25,0.284678
20.5,0.28541
20.75,0.286112
21,0.286184
21.25,0.286651
21.5,0.286275
21.75,0.286074
22,0.286901
22.25,0.287305
22.5,0.287181
22.75,0.287346
23,0.287764
23.25,0.288053
23.5,0.288403
23.75,0.289177
24,0.289483
24.25,0.290216
24.5,0.290627
24.75,0.291023
25,0.29128
25.25,0.291728
25.5,0.292002
25.75,0.292171
26,0.292516
26.25,0.292674
26.5,0.292589
26.75,0.292759
27,0.293283
27.25,0.293519
27.5,0.293947
27.75,0.294506
28,0.295212
28.25,0.295686
28.5,0.29607
28.75,0.296677
29,0.297144
29.25,0.297662
29.5,0.298144
29.75,0.298537
30,0.298963
30.25,0.299436
30.5,0.299789
30.75,0.300377
31,0.300984
31.25,0.301521
31.5,0.302123
31.75,0.302633
32,0.30321
32.25,0.303758
32.5,0.30429
32.75,0.304953
33,0.305574
33.25,0.306088
33.5,0.306758
33.75,0.307386
34,0.308062
34.25,0.308673
34.5,0.309297
34.75,0.309897
35,0.310504
35.25,0.311068
35.5,0.311688
35.75,0.312194
36,0.312766
36.25,0.313301
36.5,0.313906
36.75,0.314374
37,0.314803
37.25,0.315276
37.5,0.315694
37.75,0.316195
38,0.316672
38.25,0.317115
38.5,0.317501
38.75,0.317873
39,0.318263
39.25,0.318613
39.5,0.318948
39.75,0.319273
40,0.319558
40.25,0.319938
40.5,0.320249
40.75,0.320519
41,0.320867
41.25,0.321103
41.5,0.321335
41.75,0.321591
42,0.321818
42.25,0.322037
42.5,0.322232
42.75,0.322435
43,0.322633
43.25,0.322817
43.5,0.322981
43.75,0.323134
44,0.323312
44.25,0.323458
44.5,0.323606
44.75,0.323738
45,0.32385
45.25,0.323964
45.5,0.324046
45.75,0.324193
46,0.324297
46.25,0.324394
46.5,0.324498
46.75,0.324593
47,0.324689
47.25,0.324767
47.5,0.324868
47.75,0.324919
48,0.324984
48.25,0.325053
48.5,0.325103
48.75,0.325151
49,0.325209
49.25,0.325252
49.5,0.32532
49.75,0.325365
50,0.325387
50.25,0.325409
50.5,0.325457
50.75,0.325499
51,0.325529
51.25,0.325544
51.5,0.325566
51.75,0.325587
52,0.325623
52.25,0.32566
52.5,0.325696
52.75,0.325708
53,0.325727
53.25,0.325751
53.5,0.325763
53.75,0.32578
54,0.325779
54.25,0.325792
54.5,0.325805
54.75,0.325818
55,0.325831
55.25,0.325845
55.5,0.325859
55.75,0.325873
56,0.325891
56.25,0.3259
56.5,0.325915
56.75,0.325922
57,0.325937
57.25,0.325956
57.5,0.325983
57.75,0.325986
58,0.325995
58.25,0.326009
58.5,0.326013
58.75,0.326025
59,0.326038
59.25,0.326051
59.5,0.326056
59.75,0.326053
60,0.326059
60.25,0.326058
60.5,0.326062
60.75,0.326074
61,0.326088
