Time,cumulative_new_exposed
0,0
0.25,0
0.5,0
0.75,0
1,52
1.25,52
1.5,52
1.75,52
2,516
2.25,516
2.5,516
2.75,516
3,1150
3.25,1150
3.5,1150
3.75,1150
4,1825
4.25,1825
4.5,1825
4.75,1825
5,2637
5.25,2637
5.5,2637
5.75,2637
6,3686
6.25,3686
6.5,3686
6.75,3686
7,5004
7.25,5004
7.5,5004
7.75,5004
8,6669
8.25,6669
8.5,6669
8.75,6669
9,8784
9.25,8784
9.5,8784
9.75,8784
10,11381
10.25,11381
10.5,11381
10.75,11381
11,14489
11.25,14489
11.5,14489
11.75,14489
12,18200
12.25,18200
12.5,18200
12.75,18200
13,23418
13.25,23418
13.5,23418
13.75,23418
14,29807
14.25,29807
14.5,29807
14.75,29807
15,37268
15.25,37268
15.5,37268
15.75,37268
16,46333
16.25,46333
16.5,46333
16.75,46333
17,57580
17.25,57580
17.5,57580
17.75,57580
18,71456
18.25,71456
18.5,71456
18.75,71456
19,87846
19.25,87846
19.5,87846
19.75,87846
20,107512
20.25,107512
20.5,107512
20.75,107512
21,130970
21.25,130970
21.5,130970
21.75,130970
22,158875
22.25,158875
22.5,158875
22.75,158875
23,190213
23.25,190213
23.5,190213
23.75,190213
24,226550
24.25,226550
24.5,226550
24.75,226550
25,267932
25.25,267932
25.5,267932
25.75,267932
26,313778
26.25,313778
26.5,313778
26.75,313778
27,363550
27.25,363550
27.5,363550
27.75,363550
28,416277
28.25,416277
28.5,416277
28.75,416277
29,470722
29.25,470722
29.5,470722
29.75,470722
30,525660
30.25,525660
30.5,525660
30.75,525660
31,579133
31.25,579133
31.5,579133
31.75,579133
32,629850
32.25,629850
32.5,629850
32.75,629850
33,676708
33.25,676708
33.5,676708
33.75,676708
34,718619
34.25,718619
34.5,718619
34.75,718619
35,755800
35.25,755800
35.5,755800
35.75,755800
36,787689
36.25,787689
36.5,787689
36.75,787689
37,814619
37.25,814619
37.5,814619
37.75,814619
38,837089
38.25,837089
38.5,837089
38.75,837089
39,855709
39.25,855709
39.5,855709
39.75,855709
40,871206
40.25,871206
40.5,871206
40.75,871206
41,884018
41.25,884018
41.5,884018
41.75,884018
42,894496
42.25,894496
42.5,894496
42.75,894496
43,903136
43.25,903136
43.5,903136
43.75,903136
44,910199
44.25,910199
44.5,910199
44.75,910199
45,916149
45.25,916149
45.5,916149
45.75,916149
46,921051
46.25,921051
46.5,921051
46.75,921051
47,925138
47.25,925138
47.5,925138
47.75,925138
48,928509
48.25,928509
48.5,928509
48.75,928509
49,931403
49.25,931403
49.5,931403
49.75,931403
50,933771
50.25,933771
50.5,933771
50.75,933771
51,935816
51.25,935816
51.5,935816
51.75,935816
52,937478
52.25,937478
52.5,937478
52.75,937478
53,938904
53.25,938904
53.5,938904
53.75,938904
54,940167
54.25,940167
54.5,940167
54.75,940167
55,941225
55.25,941225
55.5,941225
55.75,941225
56,942100
56.25,942100
56.5,942100
56.75,942100
57,942858
57.25,942858
57.5,942858
57.75,942858
58,943506
58.25,943506
58.5,943506
58.75,943506
59,944082
59.25,944082
59.5,944082
59.75,944082
60,944539
60.25,944539
60.5,944539
60.75,944539
61,944906
61.25,944906
61.5,944906
61.75,944906
62,945244
62.25,945244
62.5,945244
62.75,945244
63,945522
63.25,945522
63.5,945522
63.75,945522
64,945781
64.25,945781
64.5,945781
64.75,945781
65,945982
65.25,945982
65.5,945982
65.75,945982
66,946167
66.25,946167
66.5,946167
66.75,946167
67,946320
67.25,946320
67.5,946320
67.75,946320
68,946445
68.25,946445
68.5,946445
68.75,946445
69,946542
69.25,946542
69.5,946542
69.75,946542
70,946633
70.25,946633
70.5,946633
70.75,946633
71,946710
71.25,946710
71.5,946710
71.75,946710
72,946773
72.25,946773
72.5,946773
72.75,946773
73,946829
73.25,946829
73.5,946829
73.75,946829
74,946864
74.25,946864
74.5,946864
74.75,946864
75,946911
75.25,946911
75.5,946911
75.75,946911
76,946958
76.25,946958
76.5,946958
76.75,946958
77,946984
77.25,946984
77.5,946984
77.75,946984
78,947010
78.25,947010
78.5,947010
78.75,947010
79,947039
79.25,947039
79.5,947039
79.75,947039
80,947056
80.25,947056
