Time,cumulative_new_recovered
0,0
0.25,0
0.5,0
0.75,0
1,47
1.25,47
1.5,47
1.75,47
2,185
2.25,185
2.5,185
2.75,185
3,321
3.25,321
3.5,321
3.75,321
4,472
4.25,472
4.5,472
4.75,472
5,661
5.25,661
5.5,661
5.75,661
6,941
6.25,941
6.5,941
6.75,941
7,1242
7.25,1242
7.5,1242
7.75,1242
8,1609
8.25,1609
8.5,1609
8.75,1609
9,2093
9.25,2093
9.5,2093
9.75,2093
10,2721
10.25,2721
10.5,2721
10.75,2721
11,3495
11.25,3495
11.5,3495
11.75,3495
12,4490
12.25,4490
12.5,4490
12.75,4490
13,5721
13.25,5721
13.5,5721
13.75,5721
14,7255
14.25,7255
14.5,7255
14.75,7255
15,9118
15.25,9118
15.5,9118
15.75,9118
16,11560
16.25,11560
16.5,11560
16.75,11560
17,14557
17.25,14557
17.5,14557
17.75,14557
18,18163
18.25,18163
18.5,18163
18.75,18163
19,22708
19.25,22708
19.5,22708
19.75,22708
20,28188
20.25,28188
20.5,28188
20.75,28188
21,35085
21.25,35085
21.5,35085
21.75,35085
22,43264
22.25,43264
22.5,43264
22.75,43264
23,53321
23.25,53321
23.5,53321
23.75,53321
24,65178
24.25,65178
24.5,65178
24.75,65178
25,79437
25.25,79437
25.5,79437
25.75,79437
26,95962
26.25,95962
26.5,95962
26.75,95962
27,115605
27.25,115605
27.5,115605
27.75,115605
28,138411
28.25,138411
28.5,138411
28.75,138411
29,164119
29.25,164119
29.5,164119
29.75,164119
30,193414
30.25,193414
30.5,193414
30.75,193414
31,225751
31.25,225751
31.5,225751
31.75,225751
32,261283
32.25,261283
32.5,261283
32.75,261283
33,299240
33.25,299240
33.5,299240
33.75,299240
34,339351
34.25,339351
34.5,339351
34.75,339351
35,380904
35.25,380904
35.5,380904
35.75,380904
36,423123
36.25,423123
36.5,423123
36.75,423123
37,465628
37.25,465628
37.5,465628
37.75,465628
38,507525
38.25,507525
38.5,507525
38.75,507525
39,548180
39.25,548180
39.5,548180
39.75,548180
40,586897
40.25,586897
40.5,586897
40.75,586897
41,623350
41.25,623350
41.5,623350
41.75,623350
42,657753
42.25,657753
42.5,657753
42.75,657753
43,689653
43.25,689653
43.5,689653
43.75,689653
44,718589
44.25,718589
44.5,718589
44.75,718589
45,745301
45.25,745301
45.5,745301
45.75,745301
46,769204
46.25,769204
46.5,769204
46.75,769204
47,790491
47.25,790491
47.5,790491
47.75,790491
48,809696
48.25,809696
48.5,809696
48.75,809696
49,826776
49.25,826776
49.5,826776
49.75,826776
50,841944
50.25,841944
50.5,841944
50.75,841944
51,855369
51.25,855369
51.5,855369
51.75,855369
52,867130
52.25,867130
52.5,867130
52.75,867130
53,877373
53.25,877373
53.5,877373
53.75,877373
54,886476
54.25,886476
54.5,886476
54.75,886476
55,894466
55.25,894466
55.5,894466
55.75,894466
56,901399
56.25,901399
56.5,901399
56.75,901399
57,907462
57.25,907462
57.5,907462
57.75,907462
58,912685
58.25,912685
58.5,912685
58.75,912685
59,917285
59.25,917285
59.5,917285
59.75,917285
60,921073
60.25,921073
60.5,921073
60.75,921073
61,924378
61.25,924378
61.5,924378
61.75,924378
62,927407
62.25,927407
62.5,927407
62.75,927407
63,929929
63.25,929929
63.5,929929
63.75,929929
64,932117
64.25,932117
64.5,932117
64.75,932117
65,934034
65.25,934034
65.5,934034
65.75,934034
66,935695
66.25,935695
66.5,935695
66.75,935695
67,937119
67.25,937119
67.5,937119
67.75,937119
68,938306
68.25,938306
68.5,938306
68.75,938306
69,939365
69.25,939365
69.5,939365
69.75,939365
70,940242
70.25,940242
70.5,940242
70.75,940242
71,941073
71.25,941073
71.5,941073
71.75,941073
72,941715
72.25,941715
72.5,941715
72.75,941715
73,942287
73.25,942287
73.5,942287
73.75,942287
74,942762
74.25,942762
74.5,942762
74.75,942762
75,943185
75.25,943185
75.5,943185
75.75,943185
76,943544
76.25,943544
76.5,943544
76.75,943544
77,943840
77.25,943840
77.5,943840
77.75,943840
78,944106
78.25,944106
78.5,944106
78.75,944106
79,944343
79.25,944343
79.5,944343
79.75,944343
80,944557
80.25,944557
80.5,944557
80.75,944557
81,944713
