Time,normal_interactions,curtailed_interactions
0,2.2359e+06,2.2359e+06
0.25,2.23564e+06,2.23564e+06
0.5,2.23548e+06,2.23548e+06
0.75,2.2353e+06,2.2353e+06
1,2.23525e+06,2.23525e+06
1.25,2.23516e+06,2.23516e+06
1.5,2.23507e+06,2.23507e+06
1.75,2.23498e+06,2.23498e+06
2,2.23496e+06,2.23496e+06
2.25,2.23491e+06,2.23491e+06
2.5,2.23485e+06,2.23485e+06
2.75,2.23474e+06,2.23474e+06
3,2.23469e+06,2.23469e+06
3.25,2.23462e+06,2.23462e+06
3.5,2.23454e+06,2.23454e+06
3.75,2.23445e+06,2.23445e+06
4,2.23437e+06,2.23437e+06
4.25,2.23425e+06,2.23425e+06
4.5,2.23418e+06,2.23418e+06
4.75,2.23409e+06,2.23409e+06
5,2.234e+06,2.234e+06
5.25,2.23389e+06,2.23389e+06
5.5,2.23375e+06,2.23375e+06
5.75,2.23363e+06,2.23363e+06
6,2.23352e+06,2.23352e+06
6.25,2.23339e+06,2.23339e+06
6.5,2.23328e+06,2.23328e+06
6.75,2.2331e+06,2.2331e+06
7,2.23292e+06,2.23292e+06
7.25,2.23269e+06,2.23269e+06
7.5,2.23249e+06,2.23249e+06
7.75,2.23217e+06,2.23217e+06
8,2.23197e+06,2.23197e+06
8.25,2.23177e+06,2.23177e+06
8.5,2.23155e+06,2.23155e+06
8.75,2.23127e+06,2.23127e+06
9,2.23095e+06,2.23095e+06
9.25,2.23069e+06,2.23069e+06
9.5,2.23047e+06,2.23047e+06
9.75,2.23017e+06,2.23017e+06
10,2.22982e+06,2.22982e+06
10.25,2.22934e+06,2.22934e+06
10.5,2.22907e+06,2.22907e+06
10.75,2.2287e+06,2.2287e+06
11,2.22828e+06,2.22828e+06
11.25,2.22783e+06,2.22783e+06
11.5,2.22723e+06,2.22723e+06
11.75,2.2267e+06,2.2267e+06
12,2.22623e+06,2.22623e+06
12.25,2.22557e+06,2.22557e+06
12.5,2.22503e+06,2.22503e+06
12.75,2.22428e+06,2.22428e+06
13,2.22357e+06,2.22357e+06
13.25,2.22281e+06,2.22281e+06
13.5,2.22207e+06,2.22207e+06
13.75,2.22134e+06,2.22134e+06
14,2.22043e+06,2.22043e+06
14.25,2.21959e+06,2.21959e+06
14.5,2.21861e+06,2.21861e+06
14.75,2.21756e+06,2.21756e+06
15,2.21666e+06,2.21666e+06
15.25,2.21551e+06,2.21551e+06
15.5,2.2144e+06,2.2144e+06
15.75,2.21318e+06,2.21318e+06
16,2.21203e+06,2.21203e+06
16.25,2.21052e+06,2.21052e+06
16.5,2.20926e+06,2.20926e+06
16.75,2.20802e+06,2.20802e+06
17,2.20641e+06,2.20641e+06
17.25,2.20494e+06,2.20494e+06
17.5,2.20328e+06,2.20328e+06
17.75,2.20143e+06,2.20143e+06
18,2.19961e+06,2.19961e+06
18.25,2.19778e+06,2.19778e+06
18.5,2.19568e+06,2.19568e+06
18.75,2.1935e+06,2.1935e+06
19,2.19111e+06,2.19111e+06
19.25,2.18887e+06,2.18887e+06
19.5,2.18598e+06,2.18598e+06
19.75,2.18351e+06,2.18351e+06
20,2.1807e+06,2.1807e+06
20.25,2.17777e+06,2.17777e+06
20.5,2.17503e+06,2.17503e+06
20.75,2.17201e+06,2.17201e+06
21,2.16889e+06,2.16889e+06
21.25,2.1655e+06,2.1655e+06
21.5,2.16191e+06,2.16191e+06
21.75,2.15843e+06,2.15843e+06
22,2.15484e+06,2.15484e+06
22.25,2.15093e+06,2.15093e+06
22.5,2.14711e+06,2.14711e+06
22.75,2.14291e+06,2.14291e+06
23,2.13857e+06,2.13857e+06
23.25,2.13423e+06,2.13423e+06
23.5,2.1292e+06,2.1292e+06
23.75,2.12405e+06,2.12405e+06
24,2.11851e+06,2.11851e+06
24.25,2.11322e+06,2.11322e+06
24.5,2.10805e+06,2.10805e+06
24.75,2.10231e+06,2.10231e+06
25,2.09604e+06,2.09604e+06
25.25,2.0906e+06,2.0906e+06
25.5,2.08451e+06,2.08451e+06
25.75,2.07796e+06,2.07796e+06
26,2.07186e+06,2.07186e+06
26.25,2.06541e+06,2.06541e+06
26.5,2.05861e+06,2.05861e+06
26.75,2.05187e+06,2.05187e+06
27,2.0459e+06,2.0459e+06
27.25,2.03876e+06,2.03876e+06
27.5,2.03162e+06,2.03162e+06
27.75,2.02401e+06,2.02401e+06
28,2.01674e+06,2.01674e+06
28.25,2.00928e+06,2.00928e+06
28.5,2.00117e+06,2.00117e+06
28.75,1.9939e+06,1.9939e+06
29,1.98644e+06,1.98644e+06
29.25,1.97903e+06,1.97903e+06
29.5,1.97164e+06,1.97164e+06
29.75,1.9638e+06,1.9638e+06
30,1.95568e+06,1.95568e+06
30.25,1.94784e+06,1.94784e+06
30.5,1.94063e+06,1.94063e+06
30.75,1.93352e+06,1.93352e+06
31,1.92664e+06,1.92664e+06
31.25,1.91976e+06,1.91976e+06
31.5,1.91296e+06,1.91296e+06
31.75,1.90633e+06,1.90633e+06
32,1.89997e+06,1.89997e+06
32.25,1.89311e+06,1.89311e+06
32.5,1.88742e+06,1.88742e+06
32.75,1.88242e+06,1.88242e+06
33,1.87699e+06,1.87699e+06
33.25,1.8709e+06,1.8709e+06
33.5,1.86623e+06,1.86623e+06
33.75,1.86181e+06,1.86181e+06
34,1.85739e+06,1.85739e+06
34.25,1.85363e+06,1.85363e+06
34.5,1.85022e+06,1.85022e+06
34.75,1.84742e+06,1.84742e+06
35,1.84479e+06,1.84479e+06
35.25,1.84255e+06,1.84255e+06
35.5,1.84087e+06,1.84087e+06
35.75,1.83961e+06,1.83961e+06
36,1.83892e+06,1.83892e+06
36.25,1.83866e+06,1.83866e+06
36.5,1.83843e+06,1.83843e+06
36.75,1.83917e+06,1.83917e+06
37,1.83955e+06,1.83955e+06
37.25,1.84062e+06,1.84062e+06
37.5,1.84257e+06,1.84257e+06
37.75,1.84465e+06,1.84465e+06
38,1.84737e+06,1.84737e+06
38.25,1.84953e+06,1.84953e+06
