Time,daily_new_deaths
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,1
17.5,1
17.75,1
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,1
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,1
21.75,1
22,1
22.25,1
22.5,1
22.75,1
23,1
23.25,1
23.5,1
23.75,1
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,1
26,0
26.25,0
26.5,0
26.75,1
27,0
27.25,1
27.5,1
27.75,2
28,1
28.25,2
28.5,2
28.75,2
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,1
31,0
31.25,0
31.5,2
31.75,2
32,1
32.25,3
32.5,3
32.75,4
33,0
33.25,1
33.5,1
33.75,3
34,1
34.25,1
34.5,4
34.75,6
35,4
35.25,6
35.5,10
35.75,11
36,2
36.25,7
36.5,7
36.75,9
37,3
37.25,5
37.5,9
37.75,14
38,2
38.25,7
38.5,12
38.75,14
39,1
39.25,4
39.5,10
39.75,11
40,4
40.25,13
40.5,19
40.75,21
41,4
41.25,11
41.5,15
41.75,22
42,9
42.25,18
42.5,23
42.75,30
43,6
43.25,21
43.5,29
43.75,37
44,18
44.25,31
44.5,42
44.75,46
45,7
45.25,25
45.5,37
45.75,49
46,16
46.25,33
46.5,53
46.75,75
47,18
47.25,34
47.5,46
47.75,64
48,13
48.25,29
48.5,46
48.75,69
49,20
49.25,43
49.5,66
49.75,90
50,14
50.25,38
50.5,55
50.75,77
51,19
51.25,39
51.5,60
51.75,91
52,21
52.25,42
52.5,63
52.75,81
53,22
53.25,40
53.5,61
53.75,87
54,21
54.25,40
54.5,73
54.75,94
55,20
55.25,52
55.5,76
55.75,102
56,30
56.25,64
56.5,89
56.75,112
57,22
57.25,43
57.5,76
57.75,100
58,23
58.25,47
58.5,70
58.75,97
59,22
59.25,47
59.5,70
59.75,98
60,25
60.25,50
60.5,77
60.75,99
61,21
61.25,49
61.5,73
61.75,96
62,20
62.25,33
62.5,54
62.75,77
63,19
63.25,39
63.5,57
63.75,75
64,14
64.25,27
64.5,42
64.75,53
65,16
65.25,31
65.5,40
65.75,53
66,17
66.25,32
66.5,49
66.75,65
67,20
67.25,31
67.5,44
67.75,60
68,15
68.25,24
68.5,32
68.75,42
69,8
69.25,17
69.5,26
69.75,41
70,12
70.25,25
70.5,40
70.75,49
71,11
71.25,18
71.5,26
71.75,38
72,5
72.25,10
72.5,21
72.75,30
73,7
73.25,15
73.5,24
73.75,32
74,2
74.25,5
74.5,8
74.75,12
75,4
75.25,8
75.5,16
75.75,20
76,2
76.25,10
76.5,14
76.75,19
77,5
77.25,6
77.5,10
77.75,12
78,5
78.25,9
78.5,10
78.75,13
79,3
79.25,6
79.5,13
79.75,16
80,2
80.25,4
80.5,5
80.75,8
81,1
81.25,8
81.5,10
81.75,11
82,2
82.25,3
82.5,6
82.75,9
83,3
83.25,5
83.5,8
83.75,11
84,0
84.25,0
84.5,0
84.75,4
85,0
85.25,1
85.5,2
85.75,4
86,0
86.25,0
86.5,1
86.75,2
87,1
87.25,1
87.5,1
87.75,3
88,2
88.25,2
88.5,2
88.75,2
89,0
89.25,0
89.5,0
89.75,2
90,0
90.25,1
90.5,1
90.75,2
91,0
91.25,0
91.5,1
91.75,1
92,1
92.25,1
92.5,1
92.75,1
93,0
93.25,0
93.5,0
93.75,0
94,1
94.25,1
94.5,2
94.75,3
95,0
95.25,2
95.5,3
95.75,4
96,2
96.25,2
96.5,2
96.75,2
97,1
97.25,1
97.5,1
97.75,1
98,0
98.25,1
98.5,1
98.75,2
99,0
99.25,1
99.5,1
99.75,1
100,0
100.25,0
100.5,1
100.75,1
101,0
101.25,0
101.5,2
101.75,3
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,1
107.25,1
107.5,1
107.75,1
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,1
109.5,1
109.75,1
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
