Time,daily_new_detected
0,0
0.25,0
0.5,0
0.75,2
1,4
1.25,14
1.5,25
1.75,34
2,15
2.25,25
2.5,34
2.75,43
3,10
3.25,34
3.5,52
3.75,71
4,14
4.25,30
4.5,56
4.75,76
5,30
5.25,59
5.5,86
5.75,115
6,30
6.25,68
6.5,99
6.75,136
7,28
7.25,56
7.5,99
7.75,124
8,50
8.25,95
8.5,143
8.75,193
9,64
9.25,124
9.5,190
9.75,253
10,57
10.25,120
10.5,217
10.75,304
11,97
11.25,187
11.5,288
11.75,396
12,126
12.25,230
12.5,332
12.75,453
13,134
13.25,272
13.5,432
13.75,609
14,157
14.25,344
14.5,544
14.75,749
15,230
15.25,443
15.5,688
15.75,969
16,288
16.25,536
16.5,860
16.75,1212
17,336
17.25,716
17.5,1090
17.75,1480
18,424
18.25,846
18.5,1311
18.75,1814
19,530
19.25,1069
19.5,1631
19.75,2210
20,664
20.25,1299
20.5,2035
20.75,2738
21,806
21.25,1607
21.5,2492
21.75,3418
22,959
22.25,2013
22.5,3124
22.75,4262
23,1153
23.25,2414
23.5,3673
23.75,5018
24,1361
24.25,2806
24.5,4359
24.75,5978
25,1605
25.25,3316
25.5,5110
25.75,6995
26,2011
26.25,4101
26.5,6293
26.75,8489
27,2383
27.25,4842
27.5,7467
27.75,10059
28,2713
28.25,5567
28.5,8506
28.75,11443
29,3126
29.25,6432
29.5,9810
29.75,13271
30,3552
30.25,7169
30.5,11016
30.75,14989
31,3961
31.25,8035
31.5,12352
31.75,16679
32,4510
32.25,9059
32.5,13661
32.75,18401
33,4887
33.25,9709
33.5,14782
33.75,19886
34,5142
34.25,10357
34.5,15646
34.75,20934
35,5333
35.25,10853
35.5,16271
35.75,21776
36,5647
36.25,11248
36.5,16968
36.75,22691
37,5631
37.25,11262
37.5,17015
37.75,22730
38,5753
38.25,11445
38.5,17192
38.75,22815
39,5599
39.25,11222
39.5,16796
39.75,22207
40,5368
40.25,10722
40.5,15992
40.75,21246
41,5182
41.25,10460
41.5,15641
41.75,20655
42,5056
42.25,9900
42.5,14687
42.75,19366
43,4587
43.25,8991
43.5,13416
43.75,17791
44,4324
44.25,8603
44.5,12736
44.75,16787
45,3950
45.25,7762
45.5,11450
45.75,15116
46,3603
46.25,7047
46.5,10389
46.75,13711
47,3241
47.25,6335
47.5,9519
47.75,12436
48,2918
48.25,5636
48.5,8406
48.75,11044
49,2642
49.25,5180
49.5,7629
49.75,10076
50,2298
50.25,4501
50.5,6646
50.75,8724
51,2063
51.25,4003
51.5,5938
51.75,7821
52,1830
52.25,3512
52.5,5171
52.75,6817
53,1587
53.25,3157
53.5,4675
53.75,6123
54,1371
54.25,2721
54.5,4086
54.75,5368
55,1244
55.25,2391
55.5,3562
55.75,4646
56,1053
56.25,2094
56.5,3045
56.75,4036
57,962
57.25,1821
57.5,2697
57.75,3440
58,796
58.25,1567
58.5,2323
58.75,3052
59,675
59.25,1247
59.5,1830
59.75,2447
60,534
60.25,1107
60.5,1638
60.75,2145
61,537
61.25,1020
61.5,1518
61.75,1958
62,429
62.25,833
62.5,1246
62.75,1629
63,385
63.25,727
63.5,1080
63.75,1436
64,329
64.25,649
64.5,937
64.75,1236
65,272
65.25,578
65.5,851
65.75,1099
66,225
66.25,465
66.5,684
66.75,899
67,230
67.25,416
67.5,586
67.75,769
68,178
68.25,354
68.5,520
68.75,662
69,140
69.25,283
69.5,425
69.75,559
70,142
70.25,261
70.5,388
70.75,535
71,117
71.25,227
71.5,335
71.75,439
72,89
72.25,181
72.5,268
72.75,363
73,81
73.25,162
73.5,224
73.75,301
74,68
74.25,142
74.5,206
74.75,278
75,58
75.25,116
75.5,184
75.75,231
76,55
76.25,99
76.5,128
76.75,175
77,39
77.25,76
77.5,121
77.75,156
78,41
78.25,75
78.5,109
78.75,159
79,38
79.25,77
79.5,111
79.75,143
80,31
80.25,46
80.5,71
80.75,94
81,25
81.25,50
81.5,67
81.75,89
82,16
82.25,37
82.5,55
82.75,77
83,13
83.25,18
83.5,35
83.75,56
84,17
84.25,35
84.5,48
84.75,64
85,14
85.25,25
85.5,40
85.75,57
86,15
86.25,21
86.5,35
86.75,38
