Time,primary_contact,mild_symptomatic_tested,moderate_symptomatic_tested,severe_symptomatic_tested,icu,requested_tests,cumulative_positive_cases
0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,2
1,0,0,0,0,0,0,6
1.25,0,0,0,0,0,0,16
1.5,0,0,0,0,0,0,27
1.75,0,0,0,0,0,0,36
2,0,0,0,0,0,0,51
2.25,0,0,0,0,0,0,61
2.5,0,0,0,0,0,0,70
2.75,0,0,0,0,0,0,79
3,0,0,0,0,0,0,89
3.25,0,0,0,0,0,0,113
3.5,0,0,0,0,0,0,131
3.75,0,0,0,0,0,0,150
4,0,0,0,0,0,0,164
4.25,0,0,0,0,0,0,180
4.5,0,0,0,0,0,0,206
4.75,0,0,0,0,0,0,226
5,0,0,0,0,0,0,256
5.25,0,0,0,0,0,0,285
5.5,0,0,0,0,0,0,312
5.75,0,0,0,0,0,0,341
6,0,0,0,0,0,0,371
6.25,0,0,0,0,0,0,409
6.5,0,0,0,0,0,0,440
6.75,0,0,0,0,0,0,477
7,0,0,0,0,0,0,505
7.25,0,0,0,0,0,0,533
7.5,0,0,0,0,0,0,576
7.75,0,0,0,0,0,0,601
8,0,0,0,0,0,0,651
8.25,0,0,0,0,0,0,696
8.5,0,0,0,0,0,0,744
8.75,0,0,0,0,0,0,794
9,0,0,0,0,0,0,858
9.25,0,0,0,0,0,0,918
9.5,0,0,0,0,0,0,984
9.75,0,0,0,0,0,0,1047
10,0,0,0,0,0,0,1104
10.25,0,0,0,0,0,0,1167
10.5,0,0,0,0,0,0,1264
10.75,0,0,0,0,0,0,1351
11,0,0,0,0,0,0,1448
11.25,0,0,0,0,0,0,1538
11.5,0,0,0,0,0,0,1639
11.75,0,0,0,0,0,0,1747
12,0,0,0,0,0,0,1873
12.25,0,0,0,0,0,0,1977
12.5,0,0,0,0,0,0,2079
12.75,0,0,0,0,0,0,2200
13,0,0,0,0,0,0,2334
13.25,0,0,0,0,0,0,2472
13.5,0,0,0,0,0,0,2632
13.75,0,0,0,0,0,0,2809
14,0,0,0,0,0,0,2966
14.25,0,0,0,0,0,0,3153
14.5,0,0,0,0,0,0,3353
14.75,0,0,0,0,0,0,3558
15,0,0,0,0,0,0,3788
15.25,0,0,0,0,0,0,4001
15.5,0,0,0,0,0,0,4246
15.75,0,0,0,0,0,0,4527
16,0,0,0,0,0,0,4815
16.25,0,0,0,0,0,0,5063
16.5,0,0,0,0,0,0,5387
16.75,0,0,0,0,0,0,5739
17,0,0,0,0,0,0,6075
17.25,0,0,0,0,0,0,6455
17.5,0,0,0,0,0,0,6829
17.75,0,0,0,0,0,0,7219
18,0,0,0,0,0,0,7643
18.25,0,0,0,0,0,0,8065
18.5,0,0,0,0,0,0,8530
18.75,0,0,0,0,0,0,9033
19,0,0,0,0,0,0,9563
19.25,0,0,0,0,0,0,10102
19.5,0,0,0,0,0,0,10664
19.75,0,0,0,0,0,0,11243
20,0,0,0,0,0,0,11907
20.25,0,0,0,0,0,0,12542
20.5,0,0,0,0,0,0,13278
20.75,0,0,0,0,0,0,13981
21,0,0,0,0,0,0,14787
21.25,0,0,0,0,0,0,15588
21.5,0,0,0,0,0,0,16473
21.75,0,0,0,0,0,0,17399
22,0,0,0,0,0,0,18358
22.25,0,0,0,0,0,0,19412
22.5,0,0,0,0,0,0,20523
22.75,0,0,0,0,0,0,21661
23,0,0,0,0,0,0,22814
23.25,0,0,0,0,0,0,24075
23.5,0,0,0,0,0,0,25334
23.75,0,0,0,0,0,0,26679
24,0,0,0,0,0,0,28040
24.25,0,0,0,0,0,0,29485
24.5,0,0,0,0,0,0,31038
24.75,0,0,0,0,0,0,32657
25,0,0,0,0,0,0,34262
25.25,0,0,0,0,0,0,35973
25.5,0,0,0,0,0,0,37767
25.75,0,0,0,0,0,0,39652
26,0,0,0,0,0,0,41663
26.25,0,0,0,0,0,0,43753
26.5,0,0,0,0,0,0,45945
26.75,0,0,0,0,0,0,48141
27,0,0,0,0,0,0,50524
27.25,0,0,0,0,0,0,52983
27.5,0,0,0,0,0,0,55608
27.75,0,0,0,0,0,0,58200
28,0,0,0,0,0,0,60913
28.25,0,0,0,0,0,0,63767
28.5,0,0,0,0,0,0,66706
28.75,0,0,0,0,0,0,69643
29,0,0,0,0,0,0,72769
29.25,0,0,0,0,0,0,76075
29.5,0,0,0,0,0,0,79453
29.75,0,0,0,0,0,0,82914
30,0,0,0,0,0,0,86466
30.25,0,0,0,0,0,0,90083
30.5,0,0,0,0,0,0,93930
30.75,0,0,0,0,0,0,97903
31,0,0,0,0,0,0,101864
31.25,0,0,0,0,0,0,105938
31.5,0,0,0,0,0,0,110255
31.75,0,0,0,0,0,0,114582
32,0,0,0,0,0,0,119092
32.25,0,0,0,0,0,0,123641
32.5,0,0,0,0,0,0,128243
32.75,0,0,0,0,0,0,132983
33,0,0,0,0,0,0,137870
33.25,0,0,0,0,0,0,142692
