Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.154797
1,0.0790677
1.25,0.126752
1.5,0.0845276
1.75,0.142905
2,0.146868
2.25,0.226024
2.5,0.136717
2.75,0.145704
3,0.141055
3.25,0.178206
3.5,0.19428
3.75,0.157223
4,0.188536
4.25,0.220343
4.5,0.159129
4.75,0.18089
5,0.190081
5.25,0.206076
5.5,0.2076
5.75,0.179619
6,0.204234
6.25,0.198172
6.5,0.192629
6.75,0.18416
7,0.19811
7.25,0.226604
7.5,0.200768
7.75,0.216475
8,0.222983
8.25,0.206236
8.5,0.187979
8.75,0.187933
9,0.189224
9.25,0.191119
9.5,0.192945
9.75,0.207346
10,0.186391
10.25,0.186296
10.5,0.174266
10.75,0.215777
11,0.212703
11.25,0.177583
11.5,0.19619
11.75,0.220657
12,0.19619
12.25,0.175423
12.5,0.188828
12.75,0.185003
13,0.190322
13.25,0.197617
13.5,0.189257
13.75,0.18708
14,0.191967
14.25,0.20227
14.5,0.182101
14.75,0.201632
15,0.196149
15.25,0.207036
15.5,0.193313
15.75,0.211826
16,0.20129
16.25,0.197761
16.5,0.20032
16.75,0.20255
17,0.20188
17.25,0.212382
17.5,0.208964
17.75,0.211931
18,0.200614
18.25,0.221513
18.5,0.213753
18.75,0.211969
19,0.217639
19.25,0.206977
19.5,0.207194
19.75,0.212414
20,0.215008
20.25,0.214059
20.5,0.218111
20.75,0.211332
21,0.213767
21.25,0.218509
21.5,0.224492
21.75,0.220924
22,0.217629
22.25,0.21826
22.5,0.223559
22.75,0.228154
23,0.22051
23.25,0.227468
23.5,0.223892
23.75,0.216802
24,0.225287
24.25,0.225501
24.5,0.227806
24.75,0.230716
25,0.228503
25.25,0.2231
25.5,0.232312
25.75,0.236713
26,0.231675
26.25,0.233967
26.5,0.23462
26.75,0.235854
27,0.237347
27.25,0.241147
27.5,0.236024
27.75,0.239262
28,0.239573
28.25,0.244996
28.5,0.247243
28.75,0.243586
29,0.250118
29.25,0.249804
29.5,0.256261
29.75,0.25048
30,0.257297
30.25,0.261015
30.5,0.265643
30.75,0.261736
31,0.264055
31.25,0.265036
31.5,0.266872
31.75,0.277006
32,0.279158
32.25,0.282135
32.5,0.285735
32.75,0.28854
33,0.290054
33.25,0.305338
33.5,0.295364
33.75,0.295298
34,0.305892
34.25,0.300549
34.5,0.309173
34.75,0.320848
35,0.319076
35.25,0.323038
35.5,0.326539
35.75,0.343056
36,0.341442
36.25,0.340003
36.5,0.340146
36.75,0.350666
37,0.364436
37.25,0.365898
37.5,0.370837
37.75,0.36205
38,0.376711
38.25,0.382182
38.5,0.387885
38.75,0.386487
39,0.396451
39.25,0.406162
39.5,0.413428
39.75,0.406988
40,0.410741
40.25,0.412791
40.5,0.412445
40.75,0.436716
41,0.407777
41.25,0.441584
41.5,0.444545
41.75,0.441072
42,0.439513
42.25,0.44655
42.5,0.449489
42.75,0.457899
43,0.457719
43.25,0.449256
43.5,0.465385
43.75,0.456455
44,0.452098
44.25,0.478648
44.5,0.478401
44.75,0.475302
45,0.477345
45.25,0.488279
45.5,0.517621
45.75,0.470932
46,0.498512
46.25,0.49379
46.5,0.497561
46.75,0.482358
47,0.50718
47.25,0.489662
47.5,0.474325
47.75,0.533238
48,0.508307
48.25,0.515302
48.5,0.532514
48.75,0.534036
49,0.518011
49.25,0.523788
49.5,0.515906
49.75,0.518771
50,0.566682
50.25,0.560856
50.5,0.508953
50.75,0.519685
51,0.529913
51.25,0.561055
51.5,0.546013
51.75,0.536968
52,0.525873
52.25,0.535725
52.5,0.514736
52.75,0.568233
53,0.548557
53.25,0.560089
53.5,0.583038
53.75,0.553257
54,0.61554
54.25,0.56208
54.5,0.561395
54.75,0.564594
55,0.564922
55.25,0.567021
55.5,0.564429
55.75,0.575991
56,0.560921
56.25,0.575807
56.5,0.54815
56.75,0.596005
57,0.540178
57.25,0.475182
57.5,0.471821
57.75,0.608294
58,0.558799
58.25,0.513244
58.5,0.568092
58.75,0.537652
59,0.533539
59.25,0.534102
59.5,0.560036
59.75,0.658155
60,0.604367
60.25,0.582147
60.5,0.578191
60.75,0.525298
61,0.487296
61.25,0.551843
