Time,num_cases
0,0
0.25,0
0.5,39
0.75,83
1,135
1.25,179
1.5,228
1.75,281
2,338
2.25,382
2.5,419
2.75,465
3,511
3.25,556
3.5,598
3.75,639
4,689
4.25,747
4.5,793
4.75,844
5,908
5.25,979
5.5,1044
5.75,1105
6,1182
6.25,1261
6.5,1340
6.75,1421
7,1508
7.25,1606
7.5,1702
7.75,1826
8,1946
8.25,2072
8.5,2223
8.75,2360
9,2529
9.25,2678
9.5,2832
9.75,2987
10,3147
10.25,3343
10.5,3542
10.75,3770
11,3996
11.25,4247
11.5,4511
11.75,4800
12,5124
12.25,5415
12.5,5753
12.75,6097
13,6462
13.25,6870
13.5,7263
13.75,7720
14,8133
14.25,8650
14.5,9145
14.75,9691
15,10281
15.25,10867
15.5,11493
15.75,12143
16,12870
16.25,13548
16.5,14331
16.75,15167
17,16018
17.25,16918
17.5,17866
17.75,18903
18,19961
18.25,21104
18.5,22268
18.75,23517
19,24803
19.25,26230
19.5,27671
19.75,29226
20,30796
20.25,32561
20.5,34305
20.75,36188
21,38079
21.25,40158
21.5,42282
21.75,44494
22,46828
22.25,49265
22.5,51876
22.75,54539
23,57358
23.25,60227
23.5,63277
23.75,66467
24,69801
24.25,73275
24.5,76912
24.75,80572
25,84462
25.25,88619
25.5,92763
25.75,97100
26,101625
26.25,106198
26.5,111094
26.75,116107
27,121264
27.25,126546
27.5,132070
27.75,137646
28,143535
28.25,149587
28.5,155884
28.75,162137
29,168637
29.25,175358
29.5,182153
29.75,189091
30,196272
30.25,203657
30.5,211105
30.75,218546
31,226285
31.25,233947
31.5,241723
31.75,249571
32,257441
32.25,265493
32.5,273592
32.75,281714
33,289836
33.25,298150
33.5,306452
33.75,314812
34,323015
34.25,331323
34.5,339495
34.75,347684
35,355832
35.25,363853
35.5,371938
35.75,379819
36,387606
36.25,395352
36.5,402766
36.75,410230
37,417494
37.25,424735
37.5,431839
37.75,438909
38,445734
38.25,452234
38.5,458607
38.75,464876
39,471179
39.25,477301
39.5,483154
39.75,489002
40,494601
40.25,500047
40.5,505259
40.75,510294
41,515332
41.25,520035
41.5,524576
41.75,528990
42,533381
42.25,537427
42.5,541234
42.75,545121
43,548857
43.25,552602
43.5,555928
43.75,559243
44,562264
44.25,565319
44.5,568227
44.75,571092
45,573760
45.25,576367
45.5,578845
45.75,581271
46,583571
46.25,585803
46.5,587880
46.75,589890
47,591700
47.25,593595
47.5,595334
47.75,596950
48,598596
48.25,600170
48.5,601666
48.75,603131
49,604520
49.25,605790
49.5,607036
49.75,608229
50,609311
50.25,610386
50.5,611403
50.75,612337
51,613244
51.25,614134
51.5,615002
51.75,615835
52,616581
52.25,617377
52.5,618147
52.75,618852
53,619521
53.25,620134
53.5,620786
53.75,621368
54,621950
54.25,622417
54.5,622954
54.75,623432
55,623857
55.25,624317
55.5,624758
55.75,625159
56,625564
56.25,625980
56.5,626396
56.75,626716
57,627054
57.25,627366
57.5,627658
57.75,627959
58,628232
58.25,628517
58.5,628775
58.75,629005
59,629245
59.25,629443
59.5,629646
59.75,629876
60,630107
60.25,630286
60.5,630476
60.75,630645
61,630802
61.25,630966
61.5,631131
61.75,631278
62,631425
62.25,631569
62.5,631679
62.75,631797
63,631919
63.25,632055
63.5,632175
63.75,632283
64,632372
64.25,632467
64.5,632564
64.75,632641
65,632729
65.25,632812
65.5,632886
65.75,632966
66,633016
66.25,633096
66.5,633168
66.75,633226
67,633280
67.25,633331
67.5,633386
67.75,633446
68,633509
68.25,633556
68.5,633605
68.75,633645
69,633690
69.25,633745
69.5,633777
69.75,633812
70,633849
70.25,633884
70.5,633910
70.75,633943
71,633974
71.25,634012
71.5,634054
71.75,634087
72,634113
72.25,634138
72.5,634160
72.75,634183
73,634205
73.25,634225
73.5,634241
73.75,634268
74,634292
74.25,634304
74.5,634323
74.75,634341
75,634355
75.25,634374
75.5,634387
75.75,634398
76,634406
76.25,634423
76.5,634437
76.75,634454
77,634473
77.25,634482
77.5,634495
77.75,634504
78,634520
78.25,634533
78.5,634541
78.75,634550
79,634556
79.25,634561
79.5,634575
79.75,634587
80,634590
80.25,634597
80.5,634609
80.75,634621
81,634633
