Time,num_cumulative_infective
0,0
0.25,118
0.5,211
0.75,307
1,371
1.25,444
1.5,519
1.75,589
2,645
2.25,702
2.5,761
2.75,828
3,887
3.25,952
3.5,1020
3.75,1099
4,1178
4.25,1268
4.5,1351
4.75,1438
5,1531
5.25,1645
5.5,1770
5.75,1892
6,2006
6.25,2134
6.5,2265
6.75,2413
7,2566
7.25,2738
7.5,2926
7.75,3130
8,3339
8.25,3531
8.5,3741
8.75,3979
9,4236
9.25,4489
9.5,4746
9.75,5022
10,5322
10.25,5669
10.5,6002
10.75,6382
11,6787
11.25,7210
11.5,7699
11.75,8173
12,8685
12.25,9230
12.5,9753
12.75,10371
13,10979
13.25,11640
13.5,12335
13.75,13058
14,13819
14.25,14614
14.5,15460
14.75,16373
15,17320
15.25,18319
15.5,19403
15.75,20546
16,21709
16.25,22975
16.5,24261
16.75,25604
17,27070
17.25,28550
17.5,30158
17.75,31877
18,33660
18.25,35517
18.5,37509
18.75,39595
19,41801
19.25,44070
19.5,46592
19.75,49095
20,51878
20.25,54727
20.5,57698
20.75,60676
21,63836
21.25,67184
21.5,70751
21.75,74437
22,78219
22.25,82258
22.5,86444
22.75,90830
23,95375
23.25,100104
23.5,105133
23.75,110409
24,115835
24.25,121461
24.5,127290
24.75,133489
25,139965
25.25,146328
25.5,153035
25.75,160173
26,167328
26.25,174897
26.5,182761
26.75,190752
27,198789
27.25,207306
27.5,216147
27.75,225219
28,234353
28.25,243856
28.5,253746
28.75,263715
29,273828
29.25,284233
29.5,294887
29.75,305773
30,316976
30.25,328302
30.5,339671
30.75,351244
31,362910
31.25,374726
31.5,386733
31.75,398724
32,410870
32.25,423242
32.5,435338
32.75,447486
33,459927
33.25,472420
33.5,484862
33.75,497217
34,509532
34.25,521738
34.5,534030
34.75,546001
35,557907
35.25,569704
35.5,581305
35.75,592754
36,604033
36.25,615008
36.5,626038
36.75,636856
37,647482
37.25,657848
37.5,667964
37.75,677861
38,687461
38.25,696969
38.5,706219
38.75,715094
39,723915
39.25,732373
39.5,740905
39.75,749042
40,756668
40.25,764017
40.5,771363
40.75,778464
41,785205
41.25,791688
41.5,798036
41.75,804157
42,809935
42.25,815632
42.5,821223
42.75,826672
43,831774
43.25,836571
43.5,841308
43.75,845808
44,850201
44.25,854303
44.5,858231
44.75,862055
45,865728
45.25,869241
45.5,872684
45.75,875950
46,879035
46.25,881966
46.5,884783
46.75,887400
47,890038
47.25,892519
47.5,894903
47.75,897192
48,899405
48.25,901481
48.5,903501
48.75,905400
49,907167
49.25,908907
49.5,910517
49.75,912116
50,913653
50.25,915098
50.5,916433
50.75,917771
51,919010
51.25,920236
51.5,921391
51.75,922471
52,923562
52.25,924607
52.5,925643
52.75,926534
53,927461
53.25,928371
53.5,929210
53.75,929959
54,930678
54.25,931441
54.5,932086
54.75,932674
55,933359
55.25,933967
55.5,934584
55.75,935147
56,935721
56.25,936232
56.5,936727
56.75,937226
57,937680
57.25,938116
57.5,938490
57.75,938886
58,939285
58.25,939649
58.5,939996
58.75,940320
59,940625
59.25,940930
59.5,941229
