Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,2
1.5,4
1.75,4
2,5
2.25,6
2.5,6
2.75,7
3,8
3.25,10
3.5,12
3.75,15
4,15
4.25,15
4.5,15
4.75,16
5,17
5.25,18
5.5,19
5.75,20
6,21
6.25,23
6.5,24
6.75,24
7,27
7.25,28
7.5,29
7.75,29
8,32
8.25,33
8.5,36
8.75,39
9,40
9.25,40
9.5,40
9.75,43
10,43
10.25,46
10.5,53
10.75,57
11,61
11.25,61
11.5,61
11.75,67
12,71
12.25,73
12.5,79
12.75,83
13,83
13.25,93
13.5,100
13.75,106
14,110
14.25,113
14.5,129
14.75,133
15,138
15.25,141
15.5,149
15.75,165
16,168
16.25,175
16.5,183
16.75,195
17,198
17.25,218
17.5,233
17.75,245
18,257
18.25,269
18.5,287
18.75,299
19,315
19.25,338
19.5,363
19.75,370
20,387
20.25,415
20.5,428
20.75,463
21,500
21.25,520
21.5,551
21.75,575
22,611
22.25,644
22.5,674
22.75,709
23,750
23.25,814
23.5,855
23.75,897
24,947
24.25,1005
24.5,1071
24.75,1119
25,1180
25.25,1233
25.5,1289
25.75,1335
26,1390
26.25,1462
26.5,1552
26.75,1627
27,1686
27.25,1764
27.5,1856
27.75,1947
28,2061
28.25,2168
28.5,2282
28.75,2374
29,2478
29.25,2585
29.5,2711
29.75,2819
30,2951
30.25,3069
30.5,3199
30.75,3331
31,3458
31.25,3560
31.5,3692
31.75,3843
32,3974
32.25,4107
32.5,4273
32.75,4421
33,4540
33.25,4689
33.5,4861
33.75,5042
34,5205
34.25,5358
34.5,5485
34.75,5633
35,5784
35.25,5932
35.5,6094
35.75,6241
36,6395
36.25,6502
36.5,6656
36.75,6802
37,6942
37.25,7063
37.5,7157
37.75,7292
38,7391
38.25,7524
38.5,7630
38.75,7720
39,7835
39.25,7939
39.5,8007
39.75,8071
40,8169
40.25,8229
40.5,8240
40.75,8332
41,8405
41.25,8447
41.5,8484
41.75,8517
42,8543
42.25,8544
42.5,8559
42.75,8599
43,8622
43.25,8587
43.5,8554
43.75,8519
44,8454
44.25,8423
44.5,8374
44.75,8314
45,8226
45.25,8198
45.5,8151
45.75,8076
46,8025
46.25,7940
46.5,7840
46.75,7761
47,7679
47.25,7573
47.5,7497
47.75,7399
48,7294
48.25,7185
48.5,7084
48.75,6941
49,6854
49.25,6717
49.5,6585
49.75,6468
50,6315
50.25,6187
50.5,6090
50.75,5948
51,5809
51.25,5693
51.5,5567
51.75,5451
52,5327
52.25,5215
52.5,5075
52.75,4968
53,4863
53.25,4716
53.5,4618
53.75,4497
54,4383
54.25,4280
54.5,4186
54.75,4099
55,3992
55.25,3892
55.5,3776
55.75,3677
56,3564
56.25,3469
56.5,3384
56.75,3287
57,3184
57.25,3092
57.5,3027
57.75,2926
58,2862
58.25,2793
58.5,2702
58.75,2606
59,2528
59.25,2465
59.5,2407
59.75,2337
60,2267
60.25,2212
60.5,2158
60.75,2083
61,2040
61.25,1977
61.5,1896
61.75,1831
62,1776
62.25,1710
62.5,1640
62.75,1562
63,1500
63.25,1444
63.5,1397
63.75,1351
64,1316
64.25,1280
64.5,1232
64.75,1183
65,1134
65.25,1107
65.5,1055
65.75,1023
66,984
66.25,948
66.5,900
66.75,877
67,852
67.25,837
67.5,792
67.75,768
68,742
68.25,707
68.5,681
68.75,666
69,626
69.25,620
69.5,602
69.75,578
70,549
70.25,530
70.5,516
70.75,504
71,486
71.25,476
71.5,462
71.75,450
72,433
72.25,419
72.5,410
72.75,400
73,388
73.25,367
73.5,353
73.75,342
74,330
74.25,321
74.5,309
74.75,299
75,285
75.25,268
75.5,264
75.75,252
76,249
76.25,243
76.5,229
76.75,215
77,211
77.25,200
77.5,189
77.75,184
78,175
78.25,168
78.5,160
78.75,155
79,146
79.25,141
79.5,134
79.75,128
80,122
80.25,115
80.5,113
80.75,108
81,106
81.25,103
81.5,99
81.75,92
82,93
82.25,92
82.5,88
82.75,86
83,81
83.25,79
83.5,73
83.75,71
84,69
84.25,68
84.5,69
84.75,68
85,68
85.25,66
85.5,65
85.75,65
86,64
86.25,63
86.5,62
86.75,57
87,57
