Time,susceptible_lambda_C
0,0
0.25,0
0.5,20.7744
0.75,43.7947
1,61.2887
1.25,66.6913
1.5,80.3866
1.75,89.1075
2,98.8285
2.25,103.896
2.5,106.656
2.75,116.187
3,122.812
3.25,127.703
3.5,122.196
3.75,140.088
4,148.143
4.25,162.75
4.5,169.209
4.75,187.571
5,195.064
5.25,196.23
5.5,230.027
5.75,250.971
6,274.398
6.25,292.268
6.5,309.506
6.75,324.94
7,345.64
7.25,366.358
7.5,382.598
7.75,406.995
8,423.179
8.25,434.721
8.5,446.837
8.75,466.973
9,495.868
9.25,513.32
9.5,528.872
9.75,555.169
10,596.863
10.25,634.705
10.5,673.196
10.75,690.959
11,729.562
11.25,774.542
11.5,842.283
11.75,901.328
12,941.07
12.25,1025.14
12.5,1103.4
12.75,1159.58
13,1238.2
13.25,1260.75
13.5,1307.14
13.75,1370.77
14,1460.04
14.25,1551.88
14.5,1596.61
14.75,1671.88
15,1787.85
15.25,1917.47
15.5,1994.85
15.75,2111.42
16,2242.27
16.25,2366.19
16.5,2503.04
16.75,2630.37
17,2792.07
17.25,2978.77
17.5,3069.43
17.75,3247.95
18,3373.08
18.25,3574.23
18.5,3705.27
18.75,3884.1
19,4076.8
19.25,4287.05
19.5,4497.02
19.75,4740.43
20,4876.24
20.25,5216.59
20.5,5497.59
20.75,5779.23
21,5969.06
21.25,6177.16
21.5,6391.43
21.75,6651.2
22,6898.31
22.25,7149.44
22.5,7458.24
22.75,7785.01
23,8012.98
23.25,8243.31
23.5,8573.09
23.75,8887.56
24,9345.99
24.25,9598.08
24.5,9886.17
24.75,10127.5
25,10497.4
25.25,10871.3
25.5,11198.9
25.75,11543
26,11783.4
26.25,11962.2
26.5,12175.1
26.75,12440.4
27,12700.1
27.25,12913.5
27.5,13053.4
27.75,13236.3
28,13450.7
28.25,13560.2
28.5,13718.3
28.75,13818.9
29,13961.7
29.25,14019.4
29.5,14012.2
29.75,14065.1
30,14116.9
30.25,14120.6
30.5,14075.7
30.75,14012.3
31,13986.9
31.25,13882.7
31.5,13785.5
31.75,13653.4
32,13493.5
32.25,13359.3
32.5,13251.9
32.75,13042.7
33,12801.5
33.25,12623.5
33.5,12381.1
33.75,12128.4
34,11878.2
34.25,11633.3
34.5,11335.6
34.75,11098.8
35,10773.2
35.25,10509.6
35.5,10225.4
35.75,9990.62
36,9679.83
36.25,9402.49
36.5,9085.13
36.75,8772.97
37,8486.01
37.25,8210.6
37.5,7925.49
37.75,7647.86
38,7386.33
38.25,7145.6
38.5,6883.29
38.75,6656.36
39,6414.98
39.25,6190.14
39.5,5934.24
39.75,5730.54
40,5496.47
40.25,5297.7
40.5,5093.52
40.75,4900.02
41,4715.87
41.25,4531.49
41.5,4352.13
41.75,4181.4
42,4010.56
42.25,3841.49
42.5,3674.85
42.75,3526.75
43,3382.56
43.25,3248.67
43.5,3124.46
43.75,2999.7
44,2871.99
44.25,2757.06
44.5,2641.59
44.75,2537.58
45,2442.43
45.25,2345.58
45.5,2259.1
45.75,2179.08
46,2088.82
46.25,2011.65
46.5,1936.72
46.75,1860.31
47,1777.62
47.25,1713.19
47.5,1651.01
47.75,1584.72
48,1522.37
48.25,1469.97
48.5,1412.69
48.75,1357.01
49,1297.74
49.25,1247.87
49.5,1194.48
49.75,1148.72
50,1108.39
50.25,1067.88
50.5,1031.74
50.75,989.169
51,949.759
51.25,912.647
51.5,881.68
51.75,847.433
52,812.168
52.25,782.582
52.5,753.917
52.75,724.23
53,695.845
53.25,672.738
53.5,649.926
53.75,624.824
54,598.333
54.25,575.801
54.5,550.104
54.75,529.104
55,505.755
55.25,490.11
55.5,471.12
55.75,455.963
56,438.683
56.25,420.501
56.5,404.129
56.75,387.051
57,371.294
57.25,357.452
57.5,340.705
57.75,328.296
58,314.225
58.25,301.604
58.5,290.742
58.75,279.813
59,267.199
59.25,257.34
59.5,248.839
59.75,240.087
60,231.528
60.25,223.018
60.5,214.751
60.75,208.11
61,199.484
61.25,192.405
61.5,186.004
61.75,180.136
62,173.578
62.25,167.946
62.5,160.85
62.75,153.749
63,148.024
63.25,142.309
63.5,137.336
63.75,132.495
64,126.83
