Time,total_detected_cases
0,0
0.25,0
0.5,0
0.75,2
1,6
1.25,16
1.5,27
1.75,36
2,51
2.25,61
2.5,70
2.75,79
3,89
3.25,113
3.5,131
3.75,150
4,164
4.25,180
4.5,206
4.75,226
5,256
5.25,285
5.5,312
5.75,341
6,371
6.25,409
6.5,440
6.75,477
7,505
7.25,533
7.5,576
7.75,601
8,651
8.25,696
8.5,744
8.75,794
9,858
9.25,918
9.5,984
9.75,1047
10,1104
10.25,1167
10.5,1264
10.75,1351
11,1448
11.25,1538
11.5,1639
11.75,1747
12,1873
12.25,1977
12.5,2079
12.75,2200
13,2334
13.25,2472
13.5,2632
13.75,2809
14,2966
14.25,3153
14.5,3353
14.75,3558
15,3788
15.25,4001
15.5,4246
15.75,4527
16,4815
16.25,5063
16.5,5387
16.75,5739
17,6075
17.25,6455
17.5,6829
17.75,7219
18,7643
18.25,8065
18.5,8530
18.75,9033
19,9563
19.25,10102
19.5,10664
19.75,11243
20,11907
20.25,12542
20.5,13278
20.75,13981
21,14787
21.25,15588
21.5,16473
21.75,17399
22,18358
22.25,19412
22.5,20523
22.75,21661
23,22814
23.25,24075
23.5,25334
23.75,26679
24,28040
24.25,29485
24.5,31038
24.75,32657
25,34262
25.25,35973
25.5,37767
25.75,39652
26,41663
26.25,43753
26.5,45945
26.75,48141
27,50524
27.25,52983
27.5,55608
27.75,58200
28,60913
28.25,63767
28.5,66706
28.75,69643
29,72769
29.25,76075
29.5,79453
29.75,82914
30,86466
30.25,90083
30.5,93930
30.75,97903
31,101864
31.25,105938
31.5,110255
31.75,114582
32,119092
32.25,123641
32.5,128243
32.75,132983
33,137870
33.25,142692
33.5,147765
33.75,152869
34,158011
34.25,163226
34.5,168515
34.75,173803
35,179136
35.25,184656
35.5,190074
35.75,195579
36,201226
36.25,206827
36.5,212547
36.75,218270
37,223901
37.25,229532
37.5,235285
37.75,241000
38,246753
38.25,252445
38.5,258192
38.75,263815
39,269414
39.25,275037
39.5,280611
39.75,286022
40,291390
40.25,296744
40.5,302014
40.75,307268
41,312450
41.25,317728
41.5,322909
41.75,327923
42,332979
42.25,337823
42.5,342610
42.75,347289
43,351876
43.25,356280
43.5,360705
43.75,365080
44,369404
44.25,373683
44.5,377816
44.75,381867
45,385817
45.25,389629
45.5,393317
45.75,396983
46,400586
46.25,404030
46.5,407372
46.75,410694
47,413935
47.25,417029
47.5,420213
47.75,423130
48,426048
48.25,428766
48.5,431536
48.75,434174
49,436816
49.25,439354
49.5,441803
49.75,444250
50,446548
50.25,448751
50.5,450896
50.75,452974
51,455037
51.25,456977
51.5,458912
51.75,460795
52,462625
52.25,464307
52.5,465966
52.75,467612
53,469199
53.25,470769
53.5,472287
53.75,473735
54,475106
54.25,476456
54.5,477821
54.75,479103
55,480347
55.25,481494
55.5,482665
55.75,483749
56,484802
56.25,485843
56.5,486794
56.75,487785
57,488747
57.25,489606
57.5,490482
57.75,491225
58,492021
58.25,492792
58.5,493548
58.75,494277
59,494952
59.25,495524
59.5,496107
59.75,496724
60,497258
60.25,497831
60.5,498362
60.75,498869
61,499406
61.25,499889
61.5,500387
61.75,500827
62,501256
62.25,501660
62.5,502073
62.75,502456
63,502841
63.25,503183
63.5,503536
63.75,503892
64,504221
64.25,504541
64.5,504829
64.75,505128
65,505400
65.25,505706
65.5,505979
65.75,506227
66,506452
66.25,506692
66.5,506911
66.75,507126
67,507356
67.25,507542
67.5,507712
67.75,507895
68,508073
68.25,508249
68.5,508415
68.75,508557
69,508697
69.25,508840
69.5,508982
69.75,509116
70,509258
70.25,509377
70.5,509504
70.75,509651
71,509768
71.25,509878
71.5,509986
71.75,510090
72,510179
72.25,510271
72.5,510358
72.75,510453
73,510534
73.25,510615
73.5,510677
73.75,510754
74,510822
74.25,510896
74.5,510960
74.75,511032
75,511090
75.25,511148
75.5,511216
75.75,511263
76,511318
76.25,511362
76.5,511391
76.75,511438
77,511477
77.25,511514
77.5,511559
77.75,511594
78,511635
78.25,511669
78.5,511703
78.75,511753
79,511791
79.25,511830
79.5,511864
79.75,511896
80,511927
80.25,511942
80.5,511967
80.75,511990
81,512015
81.25,512040
81.5,512057
