Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,1.55506e-05
1,2.98246e-05
1.25,6.30849e-05
1.5,6.84699e-05
1.75,0.000104496
2,0.000112829
2.25,0.000149024
2.5,0.000151724
2.75,0.000215842
3,0.000193704
3.25,0.000287044
3.5,0.000204206
3.75,0.000291175
4,0.000259772
4.25,0.000366266
4.5,0.000367969
4.75,0.000288194
5,0.00029496
5.25,0.000383632
5.5,0.000357461
5.75,0.000373685
6,0.000472663
6.25,0.000644844
6.5,0.000640222
6.75,0.000815536
7,0.000839529
7.25,0.000654865
7.5,0.000876842
7.75,0.000875773
8,0.000881718
8.25,0.00102536
8.5,0.000961946
8.75,0.00117536
9,0.00140178
9.25,0.00132151
9.5,0.00110427
9.75,0.00117779
10,0.0011023
10.25,0.00136158
10.5,0.00152006
10.75,0.00171036
11,0.00186124
11.25,0.00154222
11.5,0.00162799
11.75,0.0016078
12,0.00184968
12.25,0.00212288
12.5,0.00191924
12.75,0.00249379
13,0.00251867
13.25,0.00292938
13.5,0.00306713
13.75,0.00269177
14,0.00287509
14.25,0.00338899
14.5,0.0031785
14.75,0.00341059
15,0.00374961
15.25,0.00356315
15.5,0.00361
15.75,0.00455811
16,0.00429113
16.25,0.00413094
16.5,0.00452131
16.75,0.00518899
17,0.00555173
17.25,0.00567637
17.5,0.00573855
17.75,0.00698641
18,0.0067997
18.25,0.00721676
18.5,0.00685118
18.75,0.00799304
19,0.00811677
19.25,0.00835751
19.5,0.00863552
19.75,0.00992759
20,0.00979204
20.25,0.0113924
20.5,0.0109741
20.75,0.0106253
21,0.0123173
21.25,0.0125831
21.5,0.0152134
21.75,0.0148904
22,0.0139641
22.25,0.0154344
22.5,0.0164938
22.75,0.0170625
23,0.0170575
23.25,0.0179655
23.5,0.018389
23.75,0.019479
24,0.020659
24.25,0.0204212
24.5,0.021634
24.75,0.0236957
25,0.0244785
25.25,0.023934
25.5,0.0255289
25.75,0.0281558
26,0.0282857
26.25,0.0300745
26.5,0.0305681
26.75,0.0320485
27,0.0316632
27.25,0.0343438
27.5,0.033829
27.75,0.0353209
28,0.0350232
28.25,0.038104
28.5,0.0383244
28.75,0.038689
29,0.0401815
29.25,0.0402943
29.5,0.042798
29.75,0.0426084
30,0.0445656
30.25,0.0455297
30.5,0.0475137
30.75,0.0479077
31,0.0484187
31.25,0.0504564
31.5,0.051231
31.75,0.0522555
32,0.0516709
32.25,0.05166
32.5,0.0537762
32.75,0.053977
33,0.054671
33.25,0.0566289
33.5,0.0555095
33.75,0.0570669
34,0.0564307
34.25,0.0560531
34.5,0.0592701
34.75,0.0615
35,0.0591729
35.25,0.0613809
35.5,0.0611399
35.75,0.063265
36,0.0611373
36.25,0.059546
36.5,0.0634877
36.75,0.0672273
37,0.0667289
37.25,0.0654869
37.5,0.0652798
37.75,0.0615496
38,0.064249
38.25,0.0647062
38.5,0.066999
38.75,0.0642286
39,0.0617615
39.25,0.0659818
39.5,0.065421
39.75,0.0656801
40,0.0689162
40.25,0.0626658
40.5,0.0666827
40.75,0.0658733
41,0.0593469
41.25,0.0655895
41.5,0.0638661
41.75,0.0569303
42,0.0634819
42.25,0.0601906
42.5,0.0612608
42.75,0.0623191
43,0.0587018
43.25,0.0596846
43.5,0.0529728
43.75,0.0547455
44,0.0518963
44.25,0.0596395
44.5,0.0590693
44.75,0.0542609
45,0.0497535
45.25,0.0451386
45.5,0.0529581
45.75,0.0429327
46,0.0485471
46.25,0.0499031
46.5,0.0435054
46.75,0.0461397
47,0.0481334
47.25,0.040019
47.5,0.0366058
47.75,0.0459884
48,0.0357483
48.25,0.0426432
48.5,0.0376638
48.75,0.0472196
49,0.0348874
49.25,0.0375596
49.5,0.0398967
49.75,0.0381233
50,0.0396986
50.25,0.0423282
50.5,0.036206
50.75,0.0323032
51,0.0313685
51.25,0.0323113
51.5,0.0338287
51.75,0.0267464
52,0.0227813
52.25,0.0223771
52.5,0.0217611
52.75,0.0341774
53,0.024787
53.25,0.024019
53.5,0.021627
53.75,0.0195627
54,0.0254119
54.25,0.0269126
54.5,0.021334
54.75,0.0226631
55,0.0205967
55.25,0.0166249
55.5,0.0158171
55.75,0.0205973
56,0.0129998
56.25,0.0235413
56.5,0.0126863
56.75,0.0152771
57,0.0123062
57.25,0.0127546
57.5,0.0129906
57.75,0.0134818
58,0.0156013
58.25,0.010747
58.5,0.0156681
58.75,0.0097101
59,0.0108572
59.25,0.0105354
59.5,0.00821002
59.75,0.0182992
60,0.0131463
60.25,0.0100265
60.5,0.00950732
60.75,0.00657126
61,0.007833
61.25,0.00653369
61.5,0.00642768
61.75,0.00612144
62,0.00364896
62.25,0.00868305
62.5,0.00488899
62.75,0.00750299
63,0.00495219
63.25,0.00983836
63.5,0.0101701
63.75,0.00531553
64,0.00546412
64.25,0.0047169
64.5,0.00517259
64.75,0.00425168
65,0.00359085
65.25,0.00249633
65.5,0.00328558
65.75,0.00756681
66,0.00395219
66.25,0.00264834
66.5,0.00389152
66.75,0.00693619
67,0.0156752
67.25,0.00257404
67.5,0.00169548
67.75,0.00289341
68,0.00416083
68.25,0.00169396
68.5,0.0019496
68.75,0.00496322
69,0.00444217
69.25,0.00276618
69.5,0.00183837
69.75,0.00512334
70,0.0128116
70.25,0.0114041
70.5,0.00363832
70.75,0.00310386
71,0.00637774
71.25,0.0142477
71.5,0.00176257
71.75,0.0371459
72,0.000963758
72.25,0.00660057
72.5,0.00258299
72.75,0.00795373
73,0.000964294
73.25,0.00129481
73.5,0.000642827
73.75,0.00147358
74,0.00748294
74.25,0.00175381
74.5,0.0032634
74.75,0.00158274
75,0.00192132
75.25,0.00116239
75.5,0.991328
75.75,0.0123844
76,0.00747968
76.25,0.00185747
76.5,0.000574441
76.75,0.000464996
77,0.000398716
77.25,0.00233761
77.5,0.0009899
77.75,0.000117196
78,1
78.25,0.0162843
78.5,0.000337342
