Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0.0161279
1,0.0211948
1.25,0.0434177
1.5,0.0190171
1.75,0.0545806
2,0.0564394
2.25,0.0517032
2.5,0.0527754
2.75,0.062171
3,0.0452085
3.25,0.0724823
3.5,0.0426336
3.75,0.0708413
4,0.0390559
4.25,0.0706801
4.5,0.0564579
4.75,0.067447
5,0.05406
5.25,0.0642873
5.5,0.0569858
5.75,0.106657
6,0.0705023
6.25,0.105227
6.5,0.128277
6.75,0.128752
7,0.130608
7.25,0.0589983
7.5,0.0878767
7.75,0.0858099
8,0.0616753
8.25,0.105677
8.5,0.0810834
8.75,0.106499
9,0.108346
9.25,0.0864441
9.5,0.0837376
9.75,0.0742979
10,0.072447
10.25,0.105536
10.5,0.0862374
10.75,0.0849672
11,0.105024
11.25,0.07379
11.5,0.0903202
11.75,0.0677313
12,0.08514
12.25,0.0895207
12.5,0.0838174
12.75,0.102551
13,0.09636
13.25,0.103716
13.5,0.116191
13.75,0.0939765
14,0.0945311
14.25,0.116744
14.5,0.104923
14.75,0.105243
15,0.121451
15.25,0.0936044
15.5,0.0964283
15.75,0.110604
16,0.0981203
16.25,0.0980645
16.5,0.101951
16.75,0.116918
17,0.117591
17.25,0.114487
17.5,0.101748
17.75,0.117384
18,0.109091
18.25,0.115198
18.5,0.100983
18.75,0.117032
19,0.112822
19.25,0.113103
19.5,0.107471
19.75,0.121957
20,0.110719
20.25,0.124084
20.5,0.114936
20.75,0.117713
21,0.128932
21.25,0.12601
21.5,0.141526
21.75,0.139263
22,0.120177
22.25,0.129973
22.5,0.135753
22.75,0.132743
23,0.128608
23.25,0.135094
23.5,0.13076
23.75,0.137419
24,0.136993
24.25,0.132029
24.5,0.136459
24.75,0.144371
25,0.149557
25.25,0.13856
25.5,0.14419
25.75,0.154038
26,0.151566
26.25,0.161868
26.5,0.169039
26.75,0.162775
27,0.15752
27.25,0.169267
27.5,0.162563
27.75,0.16637
28,0.161272
28.25,0.172974
28.5,0.172253
28.75,0.171392
29,0.172157
29.25,0.173537
29.5,0.177784
29.75,0.179663
30,0.181436
30.25,0.17812
30.5,0.187831
30.75,0.182685
31,0.182891
31.25,0.184093
31.5,0.188904
31.75,0.185801
32,0.18028
32.25,0.180218
32.5,0.181196
32.75,0.173755
33,0.177016
33.25,0.174408
33.5,0.167706
33.75,0.172663
34,0.161234
34.25,0.166305
34.5,0.165691
34.75,0.165317
35,0.156235
35.25,0.161429
35.5,0.156815
35.75,0.155429
36,0.142961
36.25,0.141532
36.5,0.144934
36.75,0.149191
37,0.143159
37.25,0.134236
37.5,0.134326
37.75,0.124044
38,0.11975
38.25,0.120386
38.5,0.124083
38.75,0.117412
39,0.10773
39.25,0.108028
39.5,0.107525
39.75,0.103529
40,0.111467
40.25,0.0902889
40.5,0.0963795
40.75,0.0875429
41,0.0814064
41.25,0.0934602
41.5,0.0879057
41.75,0.0938502
42,0.081094
42.25,0.0737435
42.5,0.0853238
42.75,0.0791276
43,0.0669154
43.25,0.0738666
43.5,0.065985
43.75,0.0741467
44,0.0645232
44.25,0.0628833
44.5,0.0539717
44.75,0.0603994
45,0.0598993
45.25,0.045591
45.5,0.0513844
45.75,0.0350972
46,0.0506571
46.25,0.0502462
46.5,0.0493713
46.75,0.0629083
47,0.0355322
47.25,0.0448541
47.5,0.0479577
47.75,0.0379143
48,0.0333562
48.25,0.0276814
48.5,0.0310759
48.75,0.0369282
49,0.0279542
49.25,0.0434523
49.5,0.0147967
49.75,0.0477424
50,0.028668
50.25,0.0428564
50.5,0.0402337
50.75,0.0577919
51,0.0504372
51.25,0.0541337
51.5,0.0350495
51.75,0.0253579
52,0.0197355
52.25,0.0206506
52.5,0.0298025
52.75,0.0846169
53,0.0412152
53.25,0.0175278
53.5,0.026943
53.75,0.0233159
54,0.0524043
54.25,0.0352241
54.5,0.0416867
54.75,0.021644
55,0.0215589
55.25,0.00995887
55.5,0.027354
55.75,0.00810546
56,0.00358493
56.25,0.0563283
56.5,0.0216137
56.75,0.0174504
57,0.0181816
57.25,0.0291172
57.5,0.00801238
57.75,0.00503471
58,0.0713198
58.25,0.0242828
58.5,0.0547773
58.75,0.012475
59,0.00561951
59.25,0.0262979
59.5,0.0145647
59.75,0.0235875
60,0.00305958
60.25,0.0219608
60.5,0.0115514
60.75,0.0088056
61,0.00731568
61.25,0.0663074
61.5,0.0532667
61.75,0.043156
62,0.00623119
62.25,0.0887678
62.5,0.00319609
62.75,0.145265
63,6.05163e-06
63.25,0.0482228
63.5,0.0340764
63.75,0.00493145
64,0.0143688
64.25,0.00999153
64.5,0.00256231
64.75,0.00361368
65,0
65.25,2.80948e-08
65.5,0.0500093
65.75,0.0142638
66,0.00201935
66.25,0.00753768
66.5,0.00645446
66.75,0.0144389
67,0.0445911
67.25,0.00610582
67.5,0.0027167
67.75,0.103624
68,0
68.25,0.00989482
68.5,5.63471e-06
68.75,0.00345126
69,0.00824979
69.25,0.0357007
69.5,0
69.75,0
70,0.0470741
70.25,0.0319985
70.5,0.000588136
70.75,0.0196929
71,0.148769
71.25,0.0605512
71.5,0
71.75,0
72,0.00830492
72.25,0
72.5,0.00119821
72.75,0.414159
73,0
73.25,0
73.5,0
73.75,0
74,0.0811223
74.25,0
74.5,0.0146558
74.75,0
75,0
75.25,0
75.5,0
75.75,0
76,0.99252
76.25,0
76.5,0
76.75,0.00260872
77,0.014485
77.25,0
77.5,0
77.75,0
78,0
78.25,0
78.5,0.0213884
78.75,0
79,0
79.25,0
79.5,0
79.75,0
80,0.00119345
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,-nan
84.75,0
85,-nan
85.25,0
85.5,0
85.75,-nan
86,0.406442
86.25,-nan
86.5,0
86.75,0
87,0
87.25,-nan
