Time,ward_infected
0,64164
0.25,68471
0.5,110837
0.75,77254
1,98488
1.25,133751
1.5,132206
1.75,88131
2,106058
2.25,65162
2.5,70771
2.75,112944
3,77376
3.25,117514
3.5,62014
3.75,69117
4,92412
4.25,66624
4.5,55863
4.75,50941
5,58950
5.25,96634
5.5,115353
5.75,109475
6,180316
6.25,92442
6.5,95155
6.75,88777
7,60434
7.25,86880
7.5,76045
7.75,73348
8,90243
8.25,44118
8.5,66446
8.75,69516
9,77549
9.25,69511
9.5,107381
9.75,138744
10,107221
10.25,79839
10.5,93555
10.75,73706
11,61443
11.25,56886
11.5,82783
11.75,67033
12,67238
12.25,91760
12.5,84983
12.75,65186
13,91536
13.25,96300
13.5,63967
13.75,81817
14,111859
14.25,81066
14.5,72049
14.75,68273
15,73099
15.25,65573
15.5,40128
15.75,56196
16,65760
16.25,65195
16.5,61775
16.75,81238
17,106732
17.25,114842
17.5,126154
17.75,119121
18,131172
18.25,83576
18.5,90362
18.75,59085
19,59075
19.25,51328
19.5,67720
19.75,64732
20,107916
20.25,95183
20.5,79105
20.75,94361
21,120545
21.25,73287
21.5,74726
21.75,71330
22,60605
22.25,64462
22.5,60359
22.75,71986
23,40049
23.25,55621
23.5,70081
23.75,68512
24,68288
24.25,59768
24.5,61587
24.75,56327
25,54511
25.25,95542
25.5,99202
25.75,50902
26,50639
26.25,44216
26.5,67785
26.75,61741
27,61385
27.25,48674
27.5,42057
27.75,55989
28,69849
28.25,67884
28.5,66253
28.75,91424
29,78697
29.25,52221
29.5,51203
29.75,69196
30,69119
30.25,74201
30.5,77710
30.75,69101
31,39732
31.25,55667
31.5,77760
31.75,66664
32,127330
32.25,106565
32.5,82198
32.75,76555
33,65321
33.25,93829
33.5,70452
33.75,74043
34,70300
34.25,46393
34.5,55368
34.75,58702
35,73343
35.25,62658
35.5,57478
35.75,64907
36,70832
36.25,54765
36.5,62737
36.75,86684
37,100013
37.25,153006
37.5,71272
37.75,72689
38,73139
38.25,57724
38.5,66252
38.75,74091
39,64236
39.25,83444
39.5,74443
39.75,104973
40,88658
40.25,78538
40.5,83023
40.75,78295
41,45676
41.25,49704
41.5,60686
41.75,51134
42,58782
42.25,63742
42.5,93654
42.75,74058
43,63232
43.25,117615
43.5,80846
43.75,100048
44,54530
44.25,56349
44.5,47726
44.75,80993
45,89657
45.25,73920
45.5,79557
45.75,105959
46,88614
46.25,70382
46.5,95084
46.75,94020
47,127364
47.25,127232
47.5,132595
47.75,153289
48,110540
48.25,96281
48.5,104458
48.75,87051
49,117277
49.25,93375
