Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0.0433052
1.5,0.146142
1.75,0.237863
2,0.273366
2.25,0.305104
2.5,0.32675
2.75,0.314387
3,0.327694
3.25,0.345295
3.5,0.365195
3.75,0.39006
4,0.402218
4.25,0.417302
4.5,0.410788
4.75,0.426957
5,0.434264
5.25,0.44568
5.5,0.44839
5.75,0.44728
6,0.439022
6.25,0.428914
6.5,0.419459
6.75,0.42097
7,0.419469
7.25,0.421017
7.5,0.429366
7.75,0.430479
8,0.43828
8.25,0.441529
8.5,0.447212
8.75,0.446021
9,0.446317
9.25,0.444965
9.5,0.44992
9.75,0.44503
10,0.446207
10.25,0.444448
10.5,0.437005
10.75,0.42599
11,0.419687
11.25,0.418855
11.5,0.421185
11.75,0.426724
12,0.427355
12.25,0.429838
12.5,0.428991
12.75,0.426751
13,0.426712
13.25,0.424838
13.5,0.423332
13.75,0.421454
14,0.423481
14.25,0.4323
14.5,0.437548
14.75,0.446286
15,0.44957
15.25,0.451596
15.5,0.451848
15.75,0.452253
16,0.455613
16.25,0.45632
16.5,0.456675
16.75,0.455506
17,0.4546
17.25,0.454475
17.5,0.453104
17.75,0.455067
18,0.457017
18.25,0.455518
18.5,0.458057
18.75,0.458462
19,0.457969
19.25,0.460884
19.5,0.460917
19.75,0.462879
20,0.463006
20.25,0.463255
20.5,0.465871
20.75,0.465708
21,0.465383
21.25,0.464785
21.5,0.464529
21.75,0.465346
22,0.464412
22.25,0.464161
22.5,0.462704
22.75,0.463898
23,0.461535
23.25,0.462757
23.5,0.462725
23.75,0.462917
24,0.462385
24.25,0.461698
24.5,0.461449
24.75,0.459839
25,0.458672
25.25,0.456912
25.5,0.457054
25.75,0.456161
26,0.455451
26.25,0.455124
26.5,0.454451
26.75,0.455577
27,0.454571
27.25,0.454653
27.5,0.454346
27.75,0.454698
28,0.454351
28.25,0.454588
28.5,0.453632
28.75,0.451974
29,0.450485
29.25,0.44972
29.5,0.449412
29.75,0.449255
30,0.448734
30.25,0.448231
30.5,0.446809
30.75,0.445953
31,0.444801
31.25,0.44432
31.5,0.443626
31.75,0.442743
32,0.44206
32.25,0.441764
32.5,0.44197
32.75,0.441617
33,0.440394
33.25,0.439349
33.5,0.43873
33.75,0.437851
34,0.436866
34.25,0.435934
34.5,0.43503
34.75,0.433916
35,0.432625
35.25,0.431622
35.5,0.430774
35.75,0.429976
36,0.429142
36.25,0.428721
36.5,0.428008
36.75,0.427219
37,0.426498
37.25,0.425629
37.5,0.424713
37.75,0.42365
38,0.422552
38.25,0.42162
38.5,0.420823
38.75,0.420078
39,0.419052
39.25,0.418199
39.5,0.417227
39.75,0.416386
40,0.415603
40.25,0.414832
40.5,0.413873
40.75,0.412819
41,0.412051
41.25,0.411005
41.5,0.410107
41.75,0.409255
42,0.408488
42.25,0.40765
42.5,0.4065
42.75,0.405557
43,0.404293
43.25,0.403271
43.5,0.402344
43.75,0.401281
44,0.400217
44.25,0.399375
44.5,0.39841
44.75,0.39749
45,0.396686
45.25,0.395762
45.5,0.394844
45.75,0.394031
46,0.393433
46.25,0.392722
46.5,0.392078
46.75,0.391352
47,0.390694
47.25,0.390069
47.5,0.389386
47.75,0.388684
48,0.387962
48.25,0.387547
48.5,0.387013
48.75,0.386475
49,0.385964
49.25,0.385515
49.5,0.385066
49.75,0.384592
50,0.384169
50.25,0.383692
50.5,0.383356
50.75,0.382885
51,0.382478
51.25,0.382014
51.5,0.381656
51.75,0.381339
52,0.380994
52.25,0.380669
52.5,0.380287
52.75,0.379935
53,0.379646
53.25,0.379291
53.5,0.378996
53.75,0.378803
54,0.378555
54.25,0.378397
54.5,0.378174
54.75,0.377953
55,0.377783
55.25,0.37755
55.5,0.377347
55.75,0.377183
56,0.377005
56.25,0.376833
56.5,0.376603
56.75,0.376386
57,0.376308
57.25,0.376182
57.5,0.376025
57.75,0.375839
58,0.375682
58.25,0.375549
58.5,0.375442
58.75,0.375305
59,0.375171
59.25,0.375068
59.5,0.374944
59.75,0.374826
60,0.374673
60.25,0.374553
60.5,0.374445
60.75,0.374352
61,0.374245
61.25,0.37415
