Time,cumulative_new_deaths
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,1
29.25,1
29.5,1
29.75,1
30,1
30.25,1
30.5,1
30.75,1
31,1
31.25,1
31.5,1
31.75,1
32,1
32.25,1
32.5,1
32.75,1
33,1
33.25,1
33.5,1
33.75,1
34,1
34.25,1
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,1
36.75,1
37,1
37.25,1
37.5,1
37.75,1
38,1
38.25,1
38.5,1
38.75,1
39,4
39.25,4
39.5,4
39.75,4
40,6
40.25,6
40.5,6
40.75,6
41,10
41.25,10
41.5,10
41.75,10
42,10
42.25,10
42.5,10
42.75,10
43,12
43.25,12
43.5,12
43.75,12
44,14
44.25,14
44.5,14
44.75,14
45,16
45.25,16
45.5,16
45.75,16
46,16
46.25,16
46.5,16
46.75,16
47,21
47.25,21
47.5,21
47.75,21
48,24
48.25,24
48.5,24
48.75,24
49,25
49.25,25
49.5,25
49.75,25
50,31
50.25,31
50.5,31
50.75,31
51,37
51.25,37
51.5,37
51.75,37
52,41
52.25,41
52.5,41
52.75,41
53,49
53.25,49
53.5,49
53.75,49
54,55
54.25,55
54.5,55
54.75,55
55,63
55.25,63
55.5,63
55.75,63
56,71
56.25,71
56.5,71
56.75,71
57,81
57.25,81
57.5,81
57.75,81
58,89
58.25,89
58.5,89
58.75,89
59,102
59.25,102
59.5,102
59.75,102
60,113
60.25,113
60.5,113
60.75,113
61,128
61.25,128
61.5,128
61.75,128
62,134
62.25,134
62.5,134
62.75,134
63,145
63.25,145
63.5,145
63.75,145
64,155
64.25,155
64.5,155
64.75,155
65,170
65.25,170
65.5,170
65.75,170
66,180
66.25,180
66.5,180
66.75,180
67,190
67.25,190
67.5,190
67.75,190
68,194
68.25,194
68.5,194
68.75,194
69,199
69.25,199
69.5,199
69.75,199
70,202
70.25,202
70.5,202
70.75,202
71,209
71.25,209
71.5,209
71.75,209
72,221
72.25,221
72.5,221
72.75,221
73,224
73.25,224
73.5,224
73.75,224
74,229
74.25,229
74.5,229
74.75,229
75,231
75.25,231
75.5,231
75.75,231
76,231
76.25,231
76.5,231
76.75,231
77,233
77.25,233
77.5,233
77.75,233
78,234
78.25,234
78.5,234
78.75,234
79,241
79.25,241
79.5,241
79.75,241
80,243
80.25,243
80.5,243
80.75,243
81,246
81.25,246
81.5,246
81.75,246
82,247
82.25,247
82.5,247
82.75,247
83,248
83.25,248
83.5,248
83.75,248
84,249
84.25,249
84.5,249
84.75,249
85,250
85.25,250
85.5,250
85.75,250
86,250
86.25,250
86.5,250
86.75,250
87,252
87.25,252
87.5,252
87.75,252
88,253
88.25,253
88.5,253
88.75,253
89,254
89.25,254
89.5,254
89.75,254
90,255
90.25,255
90.5,255
90.75,255
91,256
91.25,256
91.5,256
91.75,256
92,258
92.25,258
92.5,258
92.75,258
93,258
93.25,258
93.5,258
93.75,258
94,258
94.25,258
94.5,258
94.75,258
95,258
95.25,258
95.5,258
95.75,258
96,260
96.25,260
96.5,260
96.75,260
97,261
97.25,261
97.5,261
97.75,261
98,261
98.25,261
98.5,261
98.75,261
99,261
99.25,261
99.5,261
99.75,261
100,261
100.25,261
100.5,261
100.75,261
101,261
101.25,261
101.5,261
101.75,261
102,261
102.25,261
102.5,261
102.75,261
103,261
103.25,261
103.5,261
103.75,261
104,261
104.25,261
104.5,261
104.75,261
105,261
105.25,261
105.5,261
105.75,261
106,261
106.25,261
106.5,261
106.75,261
107,261
107.25,261
107.5,261
107.75,261
108,261
108.25,261
108.5,261
108.75,261
109,261
109.25,261
109.5,261
109.75,261
110,261
110.25,261
110.5,261
110.75,261
111,261
111.25,261
111.5,261
111.75,261
112,261
112.25,261
112.5,261
112.75,261
113,261
113.25,261
113.5,261
113.75,261
114,261
114.25,261
114.5,261
114.75,261
115,261
115.25,261
115.5,261
115.75,261
116,261
116.25,261
116.5,261
116.75,261
117,261
117.25,261
117.5,261
117.75,261
118,261
118.25,261
118.5,261
118.75,261
119,261
119.25,261
119.5,261
119.75,261
