Time,cumulative_new_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,1
2.25,1
2.5,1
2.75,1
3,1
3.25,1
3.5,1
3.75,1
4,1
4.25,1
4.5,1
4.75,1
5,1
5.25,1
5.5,1
5.75,1
6,1
6.25,1
6.5,1
6.75,1
7,3
7.25,3
7.5,3
7.75,3
8,5
8.25,5
8.5,5
8.75,5
9,5
9.25,5
9.5,5
9.75,5
10,5
10.25,5
10.5,5
10.75,5
11,5
11.25,5
11.5,5
11.75,5
12,5
12.25,5
12.5,5
12.75,5
13,6
13.25,6
13.5,6
13.75,6
14,6
14.25,6
14.5,6
14.75,6
15,8
15.25,8
15.5,8
15.75,8
16,9
16.25,9
16.5,9
16.75,9
17,10
17.25,10
17.5,10
17.75,10
18,11
18.25,11
18.5,11
18.75,11
19,13
19.25,13
19.5,13
19.75,13
20,17
20.25,17
20.5,17
20.75,17
21,27
21.25,27
21.5,27
21.75,27
22,37
22.25,37
22.5,37
22.75,37
23,50
23.25,50
23.5,50
23.75,50
24,60
24.25,60
24.5,60
24.75,60
25,79
25.25,79
25.5,79
25.75,79
26,91
26.25,91
26.5,91
26.75,91
27,119
27.25,119
27.5,119
27.75,119
28,137
28.25,137
28.5,137
28.75,137
29,163
29.25,163
29.5,163
29.75,163
30,189
30.25,189
30.5,189
30.75,189
31,226
31.25,226
31.5,226
31.75,226
32,273
32.25,273
32.5,273
32.75,273
33,326
33.25,326
33.5,326
33.75,326
34,384
34.25,384
34.5,384
34.75,384
35,435
35.25,435
35.5,435
35.75,435
36,485
36.25,485
36.5,485
36.75,485
37,545
37.25,545
37.5,545
37.75,545
38,623
38.25,623
38.5,623
38.75,623
39,715
39.25,715
39.5,715
39.75,715
40,800
40.25,800
40.5,800
40.75,800
41,901
41.25,901
41.5,901
41.75,901
42,1009
42.25,1009
42.5,1009
42.75,1009
43,1116
43.25,1116
43.5,1116
43.75,1116
44,1221
44.25,1221
44.5,1221
44.75,1221
45,1339
45.25,1339
45.5,1339
45.75,1339
46,1438
46.25,1438
46.5,1438
46.75,1438
47,1545
47.25,1545
47.5,1545
47.75,1545
48,1638
48.25,1638
48.5,1638
48.75,1638
49,1733
49.25,1733
49.5,1733
49.75,1733
50,1827
50.25,1827
50.5,1827
50.75,1827
51,1903
51.25,1903
51.5,1903
51.75,1903
52,1972
52.25,1972
52.5,1972
52.75,1972
53,2037
53.25,2037
53.5,2037
53.75,2037
54,2108
54.25,2108
54.5,2108
54.75,2108
55,2177
55.25,2177
55.5,2177
55.75,2177
56,2244
56.25,2244
56.5,2244
56.75,2244
57,2285
57.25,2285
57.5,2285
57.75,2285
58,2334
58.25,2334
58.5,2334
58.75,2334
59,2370
59.25,2370
59.5,2370
59.75,2370
60,2409
60.25,2409
60.5,2409
60.75,2409
61,2443
61.25,2443
61.5,2443
61.75,2443
62,2469
62.25,2469
62.5,2469
62.75,2469
63,2494
63.25,2494
63.5,2494
63.75,2494
64,2519
64.25,2519
64.5,2519
64.75,2519
65,2540
65.25,2540
65.5,2540
65.75,2540
66,2549
66.25,2549
66.5,2549
66.75,2549
67,2567
67.25,2567
67.5,2567
67.75,2567
68,2580
68.25,2580
68.5,2580
68.75,2580
69,2597
69.25,2597
69.5,2597
69.75,2597
70,2606
70.25,2606
70.5,2606
70.75,2606
71,2612
71.25,2612
71.5,2612
71.75,2612
72,2618
72.25,2618
72.5,2618
72.75,2618
73,2624
73.25,2624
73.5,2624
73.75,2624
74,2627
74.25,2627
74.5,2627
74.75,2627
75,2634
75.25,2634
75.5,2634
75.75,2634
76,2638
76.25,2638
76.5,2638
76.75,2638
77,2641
77.25,2641
77.5,2641
77.75,2641
78,2644
78.25,2644
78.5,2644
78.75,2644
79,2645
79.25,2645
79.5,2645
79.75,2645
80,2648
80.25,2648
80.5,2648
80.75,2648
81,2651
81.25,2651
81.5,2651
81.75,2651
82,2655
82.25,2655
82.5,2655
82.75,2655
83,2656
83.25,2656
83.5,2656
83.75,2656
84,2657
84.25,2657
84.5,2657
84.75,2657
85,2657
85.25,2657
85.5,2657
85.75,2657
86,2658
86.25,2658
