Time,cumulative_new_presymptomatic
0,0
0.25,0
0.5,0
0.75,0
1,28
1.25,28
1.5,28
1.75,28
2,44
2.25,44
2.5,44
2.75,44
3,66
3.25,66
3.5,66
3.75,66
4,88
4.25,88
4.5,88
4.75,88
5,115
5.25,115
5.5,115
5.75,115
6,149
6.25,149
6.5,149
6.75,149
7,190
7.25,190
7.5,190
7.75,190
8,235
8.25,235
8.5,235
8.75,235
9,286
9.25,286
9.5,286
9.75,286
10,359
10.25,359
10.5,359
10.75,359
11,434
11.25,434
11.5,434
11.75,434
12,529
12.25,529
12.5,529
12.75,529
13,624
13.25,624
13.5,624
13.75,624
14,763
14.25,763
14.5,763
14.75,763
15,893
15.25,893
15.5,893
15.75,893
16,1068
16.25,1068
16.5,1068
16.75,1068
17,1310
17.25,1310
17.5,1310
17.75,1310
18,1592
18.25,1592
18.5,1592
18.75,1592
19,1946
19.25,1946
19.5,1946
19.75,1946
20,2388
20.25,2388
20.5,2388
20.75,2388
21,2902
21.25,2902
21.5,2902
21.75,2902
22,3527
22.25,3527
22.5,3527
22.75,3527
23,4342
23.25,4342
23.5,4342
23.75,4342
24,5193
24.25,5193
24.5,5193
24.75,5193
25,6308
25.25,6308
25.5,6308
25.75,6308
26,7542
26.25,7542
26.5,7542
26.75,7542
27,9006
27.25,9006
27.5,9006
27.75,9006
28,10753
28.25,10753
28.5,10753
28.75,10753
29,12740
29.25,12740
29.5,12740
29.75,12740
30,15003
30.25,15003
30.5,15003
30.75,15003
31,17558
31.25,17558
31.5,17558
31.75,17558
32,20417
32.25,20417
32.5,20417
32.75,20417
33,23524
33.25,23524
33.5,23524
33.75,23524
34,27001
34.25,27001
34.5,27001
34.75,27001
35,30671
35.25,30671
35.5,30671
35.75,30671
36,34705
36.25,34705
36.5,34705
36.75,34705
37,38892
37.25,38892
37.5,38892
37.75,38892
38,43167
38.25,43167
38.5,43167
38.75,43167
39,47523
39.25,47523
39.5,47523
39.75,47523
40,51780
40.25,51780
40.5,51780
40.75,51780
41,56168
41.25,56168
41.5,56168
41.75,56168
42,60385
42.25,60385
42.5,60385
42.75,60385
43,64341
43.25,64341
43.5,64341
43.75,64341
44,68096
44.25,68096
44.5,68096
44.75,68096
45,71510
45.25,71510
45.5,71510
45.75,71510
46,74595
46.25,74595
46.5,74595
46.75,74595
47,77368
47.25,77368
47.5,77368
47.75,77368
48,79760
48.25,79760
48.5,79760
48.75,79760
49,81909
49.25,81909
49.5,81909
49.75,81909
50,83758
50.25,83758
50.5,83758
50.75,83758
51,85412
51.25,85412
51.5,85412
51.75,85412
52,86779
52.25,86779
52.5,86779
52.75,86779
53,87955
53.25,87955
53.5,87955
53.75,87955
54,89002
54.25,89002
54.5,89002
54.75,89002
55,89835
55.25,89835
55.5,89835
55.75,89835
56,90591
56.25,90591
56.5,90591
56.75,90591
57,91217
57.25,91217
57.5,91217
57.75,91217
58,91741
58.25,91741
58.5,91741
58.75,91741
59,92196
59.25,92196
59.5,92196
59.75,92196
60,92541
60.25,92541
60.5,92541
60.75,92541
61,92863
61.25,92863
61.5,92863
61.75,92863
62,93131
62.25,93131
62.5,93131
62.75,93131
63,93348
63.25,93348
63.5,93348
63.75,93348
64,93552
64.25,93552
64.5,93552
64.75,93552
65,93733
65.25,93733
65.5,93733
65.75,93733
66,93874
66.25,93874
66.5,93874
66.75,93874
67,93994
67.25,93994
67.5,93994
67.75,93994
68,94090
68.25,94090
68.5,94090
68.75,94090
69,94163
69.25,94163
69.5,94163
69.75,94163
70,94234
70.25,94234
70.5,94234
70.75,94234
71,94292
71.25,94292
71.5,94292
71.75,94292
72,94353
72.25,94353
72.5,94353
72.75,94353
73,94401
73.25,94401
73.5,94401
73.75,94401
74,94446
74.25,94446
74.5,94446
74.75,94446
75,94486
75.25,94486
75.5,94486
75.75,94486
76,94514
76.25,94514
76.5,94514
76.75,94514
77,94533
77.25,94533
77.5,94533
77.75,94533
78,94555
78.25,94555
78.5,94555
78.75,94555
79,94571
79.25,94571
79.5,94571
79.75,94571
80,94583
80.25,94583
80.5,94583
80.75,94583
81,94595
81.25,94595
81.5,94595
81.75,94595
82,94609
82.25,94609
