Time,cumulative_new_symptomatic
0,0
0.25,0
0.5,0
0.75,0
1,8
1.25,8
1.5,8
1.75,8
2,23
2.25,23
2.5,23
2.75,23
3,34
3.25,34
3.5,34
3.75,34
4,47
4.25,47
4.5,47
4.75,47
5,62
5.25,62
5.5,62
5.75,62
6,86
6.25,86
6.5,86
6.75,86
7,118
7.25,118
7.5,118
7.75,118
8,145
8.25,145
8.5,145
8.75,145
9,171
9.25,171
9.5,171
9.75,171
10,212
10.25,212
10.5,212
10.75,212
11,273
11.25,273
11.5,273
11.75,273
12,326
12.25,326
12.5,326
12.75,326
13,391
13.25,391
13.5,391
13.75,391
14,471
14.25,471
14.5,471
14.75,471
15,554
15.25,554
15.5,554
15.75,554
16,676
16.25,676
16.5,676
16.75,676
17,783
17.25,783
17.5,783
17.75,783
18,967
18.25,967
18.5,967
18.75,967
19,1170
19.25,1170
19.5,1170
19.75,1170
20,1421
20.25,1421
20.5,1421
20.75,1421
21,1755
21.25,1755
21.5,1755
21.75,1755
22,2109
22.25,2109
22.5,2109
22.75,2109
23,2603
23.25,2603
23.5,2603
23.75,2603
24,3137
24.25,3137
24.5,3137
24.75,3137
25,3800
25.25,3800
25.5,3800
25.75,3800
26,4567
26.25,4567
26.5,4567
26.75,4567
27,5468
27.25,5468
27.5,5468
27.75,5468
28,6519
28.25,6519
28.5,6519
28.75,6519
29,7753
29.25,7753
29.5,7753
29.75,7753
30,9116
30.25,9116
30.5,9116
30.75,9116
31,10762
31.25,10762
31.5,10762
31.75,10762
32,12580
32.25,12580
32.5,12580
32.75,12580
33,14609
33.25,14609
33.5,14609
33.75,14609
34,16797
34.25,16797
34.5,16797
34.75,16797
35,19228
35.25,19228
35.5,19228
35.75,19228
36,21798
36.25,21798
36.5,21798
36.75,21798
37,24516
37.25,24516
37.5,24516
37.75,24516
38,27333
38.25,27333
38.5,27333
38.75,27333
39,30251
39.25,30251
39.5,30251
39.75,30251
40,33100
40.25,33100
40.5,33100
40.75,33100
41,35925
41.25,35925
41.5,35925
41.75,35925
42,38828
42.25,38828
42.5,38828
42.75,38828
43,41554
43.25,41554
43.5,41554
43.75,41554
44,44108
44.25,44108
44.5,44108
44.75,44108
45,46483
45.25,46483
45.5,46483
45.75,46483
46,48665
46.25,48665
46.5,48665
46.75,48665
47,50631
47.25,50631
47.5,50631
47.75,50631
48,52397
48.25,52397
48.5,52397
48.75,52397
49,53873
49.25,53873
49.5,53873
49.75,53873
50,55223
50.25,55223
50.5,55223
50.75,55223
51,56444
51.25,56444
51.5,56444
51.75,56444
52,57461
52.25,57461
52.5,57461
52.75,57461
53,58355
53.25,58355
53.5,58355
53.75,58355
54,59105
54.25,59105
54.5,59105
54.75,59105
55,59709
55.25,59709
55.5,59709
55.75,59709
56,60259
56.25,60259
56.5,60259
56.75,60259
57,60735
57.25,60735
57.5,60735
57.75,60735
58,61103
58.25,61103
58.5,61103
58.75,61103
59,61416
59.25,61416
59.5,61416
59.75,61416
60,61680
60.25,61680
60.5,61680
60.75,61680
61,61898
61.25,61898
61.5,61898
61.75,61898
62,62079
62.25,62079
62.5,62079
62.75,62079
63,62246
63.25,62246
63.5,62246
63.75,62246
64,62383
64.25,62383
64.5,62383
64.75,62383
65,62515
65.25,62515
65.5,62515
65.75,62515
66,62618
66.25,62618
66.5,62618
66.75,62618
67,62709
67.25,62709
67.5,62709
67.75,62709
68,62785
68.25,62785
68.5,62785
68.75,62785
69,62841
69.25,62841
69.5,62841
69.75,62841
70,62884
70.25,62884
70.5,62884
70.75,62884
71,62924
71.25,62924
71.5,62924
71.75,62924
72,62966
72.25,62966
72.5,62966
72.75,62966
73,62998
73.25,62998
73.5,62998
73.75,62998
74,63030
74.25,63030
74.5,63030
74.75,63030
75,63058
75.25,63058
75.5,63058
75.75,63058
76,63082
76.25,63082
76.5,63082
76.75,63082
77,63092
77.25,63092
77.5,63092
77.75,63092
78,63107
78.25,63107
78.5,63107
78.75,63107
79,63122
79.25,63122
79.5,63122
79.75,63122
80,63129
80.25,63129
80.5,63129
80.75,63129
81,63133
81.25,63133
81.5,63133
81.75,63133
82,63147
82.25,63147
82.5,63147
82.75,63147
