Time,daily_new_presymptomatic
0,0
0.25,9
0.5,19
0.75,28
1,6
1.25,9
1.5,11
1.75,16
2,4
2.25,12
2.5,18
2.75,22
3,5
3.25,13
3.5,15
3.75,22
4,6
4.25,14
4.5,20
4.75,27
5,12
5.25,20
5.5,27
5.75,34
6,8
6.25,24
6.5,32
6.75,41
7,15
7.25,22
7.5,32
7.75,45
8,11
8.25,24
8.5,36
8.75,51
9,14
9.25,31
9.5,46
9.75,73
10,22
10.25,44
10.5,59
10.75,75
11,15
11.25,41
11.5,65
11.75,95
12,23
12.25,41
12.5,64
12.75,95
13,35
13.25,65
13.5,101
13.75,139
14,26
14.25,56
14.5,89
14.75,130
15,40
15.25,90
15.5,133
15.75,175
16,63
16.25,116
16.5,177
16.75,242
17,60
17.25,151
17.5,209
17.75,282
18,78
18.25,168
18.5,245
18.75,354
19,102
19.25,205
19.5,312
19.75,442
20,129
20.25,252
20.5,379
20.75,514
21,138
21.25,289
21.5,453
21.75,625
22,214
22.25,412
22.5,605
22.75,815
23,190
23.25,388
23.5,608
23.75,851
24,243
24.25,508
24.5,822
24.75,1115
25,279
25.25,572
25.5,897
25.75,1234
26,365
26.25,722
26.5,1102
26.75,1464
27,429
27.25,870
27.5,1310
27.75,1747
28,468
28.25,949
28.5,1445
28.75,1987
29,499
29.25,1065
29.5,1638
29.75,2263
30,611
30.25,1263
30.5,1872
30.75,2555
31,701
31.25,1389
31.5,2129
31.75,2859
32,732
32.25,1455
32.5,2243
32.75,3107
33,816
33.25,1707
33.5,2587
33.75,3477
34,881
34.25,1766
34.5,2731
34.75,3670
35,996
35.25,2013
35.5,3022
35.75,4034
36,1085
36.25,2120
36.5,3148
36.75,4187
37,1073
37.25,2143
37.5,3203
37.75,4275
38,1061
38.25,2148
38.5,3259
38.75,4356
39,1067
39.25,2169
39.5,3234
39.75,4257
40,1099
40.25,2211
40.5,3248
40.75,4388
41,1059
41.25,2150
41.5,3192
41.75,4217
42,1018
42.25,2024
42.5,3037
42.75,3956
43,950
43.25,1865
43.5,2810
43.75,3755
44,892
44.25,1712
44.5,2589
44.75,3414
45,821
45.25,1561
45.5,2346
45.75,3085
46,730
46.25,1461
46.5,2136
46.75,2773
47,615
47.25,1243
47.5,1817
47.75,2392
48,556
48.25,1034
48.5,1588
48.75,2149
49,475
49.25,947
49.5,1392
49.75,1849
50,435
50.25,853
50.5,1261
50.75,1654
51,332
51.25,719
51.5,1027
51.75,1367
52,332
52.25,650
52.5,918
52.75,1176
53,302
53.25,558
53.5,806
53.75,1047
54,233
54.25,446
54.5,624
54.75,833
55,194
55.25,389
55.5,574
55.75,756
56,165
56.25,322
56.5,475
56.75,626
57,141
57.25,268
57.5,389
57.75,524
58,126
58.25,232
58.5,342
58.75,455
59,93
59.25,183
59.5,273
59.75,345
60,75
60.25,162
60.5,234
60.75,322
61,66
61.25,136
61.5,193
61.75,268
62,58
62.25,119
62.5,166
62.75,217
63,55
63.25,106
63.5,161
63.75,204
64,58
64.25,100
64.5,139
64.75,181
65,42
65.25,73
65.5,111
65.75,141
66,33
66.25,59
66.5,95
66.75,120
67,30
67.25,57
67.5,76
67.75,96
68,21
68.25,35
68.5,58
68.75,73
69,23
69.25,44
69.5,53
69.75,71
70,14
70.25,23
70.5,47
70.75,58
71,15
71.25,32
71.5,50
71.75,61
72,14
72.25,26
72.5,37
72.75,48
73,9
73.25,23
73.5,38
73.75,45
74,9
74.25,25
74.5,27
74.75,40
75,6
75.25,13
75.5,18
75.75,28
76,4
76.25,9
76.5,11
76.75,19
77,8
77.25,15
77.5,18
77.75,22
78,7
78.25,10
78.5,12
78.75,16
79,4
79.25,7
79.5,10
79.75,12
80,1
80.25,5
80.5,10
80.75,12
81,8
81.25,14
81.5,14
81.75,14
82,0
82.25,5
82.5,6
82.75,6
83,0
83.25,3
83.5,5
83.75,8
84,2
84.25,8
84.5,9
84.75,12
85,2
85.25,4
85.5,6
85.75,8
86,1
86.25,1
86.5,1
86.75,1
87,0
87.25,1
87.5,1
87.75,1
88,0
88.25,0
88.5,2
88.75,3
89,1
89.25,3
89.5,4
89.75,4
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,1
91.5,2
91.75,2
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,1
93.75,1
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,1
98.5,1
98.75,1
99,0
99.25,0
99.5,1
99.75,1
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,1
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
