Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.666662
1,0.71424
1.25,0.666439
1.5,0.636242
1.75,0.525851
2,0.527179
2.25,0.444372
2.5,0.199938
2.75,0.437377
3,0.499878
3.25,0.272714
3.5,0.333277
3.75,0.281744
4,0.29997
4.25,0.330075
4.5,0.527715
4.75,0.200507
5,0.176456
5.25,0.214269
5.5,0.23771
5.75,0.285242
6,0.427828
6.25,0.327068
6.5,0.284462
6.75,0.326176
7,0.360591
7.25,0.285595
7.5,0.258862
7.75,0.363236
8,0.315366
8.25,0.0434744
8.5,0.230652
8.75,0.380394
9,0.251321
9.25,0.33298
9.5,0.249716
9.75,0.49926
10,0.424571
10.25,0.401174
10.5,0.441397
10.75,0.449287
11,0.412087
11.25,0.317557
11.5,0.229783
11.75,0.299682
12,0.279156
12.25,0.156187
12.5,0.322582
12.75,0.256266
13,0.338849
13.25,0.390863
13.5,0.300926
13.75,0.356344
14,0.354573
14.25,0.294593
14.5,0.249866
14.75,0.230047
15,0.302288
15.25,0.283946
15.5,0.283556
15.75,0.257802
16,0.269829
16.25,0.232366
16.5,0.297919
16.75,0.322544
17,0.262369
17.25,0.316743
17.5,0.332131
17.75,0.292433
18,0.283302
18.25,0.328772
18.5,0.321083
18.75,0.248887
19,0.305389
19.25,0.272254
19.5,0.334055
19.75,0.313276
20,0.288223
20.25,0.287937
20.5,0.272131
20.75,0.30159
21,0.274047
21.25,0.356249
21.5,0.27502
21.75,0.306691
22,0.291913
22.25,0.306337
22.5,0.289571
22.75,0.275525
23,0.335639
23.25,0.319175
23.5,0.329671
23.75,0.31742
24,0.304938
24.25,0.297989
24.5,0.303801
24.75,0.327444
25,0.310395
25.25,0.314206
25.5,0.304404
25.75,0.329143
26,0.297284
26.25,0.306445
26.5,0.320746
26.75,0.27811
27,0.313898
27.25,0.300607
27.5,0.307517
27.75,0.316951
28,0.323375
28.25,0.310917
28.5,0.340306
28.75,0.327609
29,0.329244
29.25,0.314868
29.5,0.296741
29.75,0.300925
30,0.322525
30.25,0.310331
30.5,0.338145
30.75,0.322695
31,0.32754
31.25,0.280852
31.5,0.318952
31.75,0.325178
32,0.308935
32.25,0.311359
32.5,0.313017
32.75,0.305298
33,0.359032
33.25,0.314544
33.5,0.309507
33.75,0.308675
34,0.339347
34.25,0.320464
34.5,0.32332
34.75,0.337443
35,0.345875
35.25,0.340427
35.5,0.331269
35.75,0.30843
36,0.335109
36.25,0.304991
36.5,0.315931
36.75,0.326527
37,0.312477
37.25,0.329922
37.5,0.334083
37.75,0.3405
38,0.342826
38.25,0.336517
38.5,0.330004
38.75,0.326616
39,0.34397
39.25,0.327097
39.5,0.336775
39.75,0.342865
40,0.333396
40.25,0.331372
40.5,0.339181
40.75,0.360726
41,0.334504
41.25,0.370205
41.5,0.360907
41.75,0.364261
42,0.356352
42.25,0.358364
42.5,0.412198
42.75,0.37475
43,0.393463
43.25,0.396965
43.5,0.364284
43.75,0.416711
44,0.411013
44.25,0.372718
44.5,0.412673
44.75,0.391234
45,0.349366
45.25,0.395123
45.5,0.386849
45.75,0.403197
46,0.352345
46.25,0.392036
46.5,0.401532
46.75,0.38806
47,0.392037
47.25,0.428298
47.5,0.398868
47.75,0.421275
48,0.422529
48.25,0.420835
48.5,0.347381
48.75,0.382491
49,0.398334
49.25,0.374638
49.5,0.411163
49.75,0.469509
50,0.425034
50.25,0.460531
50.5,0.403828
50.75,0.41682
51,0.425654
51.25,0.375833
51.5,0.400649
51.75,0.372804
52,0.437874
52.25,0.418883
52.5,0.41517
52.75,0.396919
53,0.38944
53.25,0.358879
53.5,0.396926
53.75,0.395932
54,0.370448
54.25,0.406573
54.5,0.453154
54.75,0.420091
55,0.340588
55.25,0.408305
55.5,0.352454
55.75,0.372185
56,0.355328
56.25,0.411098
56.5,0.429443
56.75,0.412981
57,0.368954
57.25,0.350185
57.5,0.535078
57.75,0.321272
58,0.396566
58.25,0.423473
58.5,0.434362
58.75,0.287053
59,0.476807
59.25,0.337548
59.5,0.484142
59.75,0.333056
60,0.545193
60.25,0.395651
60.5,0.380332
60.75,0.298795
61,0.383871
61.25,0.252968
