Time,num_exposed
0,82
0.25,73
0.5,63
0.75,57
1,58
1.25,67
1.5,80
1.75,94
2,105
2.25,106
2.5,110
2.75,122
3,131
3.25,134
3.5,144
3.75,151
4,155
4.25,165
4.5,172
4.75,185
5,190
5.25,196
5.5,201
5.75,208
6,214
6.25,219
6.5,239
6.75,248
7,259
7.25,273
7.5,290
7.75,299
8,307
8.25,317
8.5,331
8.75,337
9,347
9.25,354
9.5,359
9.75,356
10,369
10.25,394
10.5,431
10.75,461
11,487
11.25,505
11.5,525
11.75,551
12,584
12.25,624
12.5,644
12.75,652
13,652
13.25,678
13.5,695
13.75,732
14,787
14.25,863
14.5,921
14.75,992
15,1050
15.25,1112
15.5,1197
15.75,1293
16,1355
16.25,1438
16.5,1489
16.75,1554
17,1619
17.25,1666
17.5,1776
17.75,1880
18,1979
18.25,2064
18.5,2170
18.75,2263
19,2376
19.25,2503
19.5,2667
19.75,2790
20,2883
20.25,3021
20.5,3194
20.75,3365
21,3520
21.25,3680
21.5,3781
21.75,3901
22,4075
22.25,4211
22.5,4377
22.75,4520
23,4782
23.25,4994
23.5,5205
23.75,5422
24,5652
24.25,5859
24.5,6092
24.75,6337
25,6674
25.25,6964
25.5,7218
25.75,7510
26,7731
26.25,8066
26.5,8361
26.75,8671
27,8974
27.25,9283
27.5,9624
27.75,9953
28,10248
28.25,10564
28.5,10928
28.75,11233
29,11673
29.25,12056
29.5,12416
29.75,12736
30,13072
30.25,13413
30.5,13793
30.75,14158
31,14489
31.25,14920
31.5,15313
31.75,15708
32,16073
32.25,16471
32.5,16809
32.75,17055
33,17393
33.25,17723
33.5,17934
33.75,18174
34,18453
34.25,18684
34.5,18903
34.75,19171
35,19364
35.25,19537
35.5,19685
35.75,19810
36,19864
36.25,19914
36.5,19994
36.75,20187
37,20251
37.25,20296
37.5,20400
37.75,20400
38,20454
38.25,20453
38.5,20392
38.75,20317
39,20245
39.25,20140
39.5,19991
39.75,19892
40,19650
40.25,19364
40.5,19140
40.75,18828
41,18544
41.25,18232
41.5,17879
41.75,17532
42,17205
42.25,16861
42.5,16499
42.75,16183
43,15801
43.25,15426
43.5,15007
43.75,14556
44,14174
44.25,13828
44.5,13402
44.75,13045
45,12644
45.25,12317
45.5,11917
45.75,11553
46,11181
46.25,10797
46.5,10469
46.75,10154
47,9851
47.25,9487
47.5,9192
47.75,8879
48,8599
48.25,8338
48.5,7992
48.75,7647
49,7383
49.25,7113
49.5,6844
49.75,6564
50,6315
50.25,6064
50.5,5828
50.75,5615
51,5446
51.25,5210
51.5,5026
51.75,4806
52,4610
52.25,4398
52.5,4269
52.75,4136
53,3925
53.25,3782
53.5,3632
53.75,3475
54,3344
54.25,3197
54.5,3097
54.75,2968
55,2848
55.25,2726
55.5,2601
55.75,2482
56,2374
56.25,2276
56.5,2197
56.75,2119
57,2008
57.25,1925
57.5,1855
57.75,1780
58,1693
58.25,1634
58.5,1560
58.75,1491
59,1438
59.25,1384
59.5,1330
59.75,1293
60,1263
60.25,1213
60.5,1174
60.75,1112
61,1085
61.25,1039
61.5,1011
61.75,960
62,924
62.25,885
62.5,861
62.75,831
63,788
63.25,752
63.5,708
63.75,680
64,637
64.25,611
64.5,591
64.75,560
65,532
65.25,518
65.5,495
65.75,477
66,462
66.25,446
66.5,418
66.75,399
67,384
67.25,370
67.5,360
67.75,351
68,339
68.25,337
68.5,325
68.75,319
69,307
69.25,293
69.5,292
69.75,279
70,269
70.25,263
70.5,248
70.75,245
71,236
71.25,226
71.5,216
71.75,211
72,199
72.25,189
72.5,181
72.75,174
73,167
73.25,153
73.5,143
73.75,143
74,134
74.25,125
74.5,124
74.75,112
75,111
75.25,107
75.5,106
75.75,98
76,94
76.25,94
76.5,96
76.75,89
77,82
77.25,76
77.5,73
77.75,70
78,65
78.25,62
78.5,61
78.75,58
79,56
79.25,53
79.5,52
79.75,52
80,52
80.25,48
80.5,45
80.75,46
81,39
81.25,35
81.5,35
81.75,35
82,36
82.25,31
82.5,32
82.75,32
83,32
83.25,29
83.5,27
83.75,26
84,25
84.25,19
84.5,18
84.75,15
85,14
85.25,12
85.5,10
85.75,9
86,9
86.25,10
86.5,10
86.75,10
87,10
87.25,9
87.5,9
87.75,10
88,10
88.25,11
88.5,10
88.75,9
89,8
89.25,6
89.5,5
89.75,5
90,5
90.25,5
90.5,5
90.75,5
91,5
91.25,4
91.5,3
91.75,3
92,3
92.25,3
92.5,3
92.75,3
93,3
