Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,1
28.75,1
29,1
29.25,1
29.5,1
29.75,1
30,1
30.25,1
30.5,1
30.75,1
31,1
31.25,1
31.5,1
31.75,1
32,1
32.25,1
32.5,1
32.75,1
33,1
33.25,1
33.5,1
33.75,1
34,1
34.25,1
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,1
36.75,1
37,1
37.25,1
37.5,1
37.75,1
38,2
38.25,2
38.5,2
38.75,4
39,4
39.25,5
39.5,5
39.75,6
40,8
40.25,8
40.5,9
40.75,10
41,10
41.25,10
41.5,10
41.75,10
42,12
42.25,12
42.5,12
42.75,12
43,12
43.25,13
43.5,14
43.75,14
44,14
44.25,15
44.5,16
44.75,16
45,16
45.25,16
45.5,16
45.75,16
46,17
46.25,18
46.5,20
46.75,21
47,22
47.25,23
47.5,24
47.75,24
48,25
48.25,25
48.5,25
48.75,25
49,27
49.25,28
49.5,29
49.75,31
50,32
50.25,33
50.5,34
50.75,37
51,39
51.25,39
51.5,40
51.75,41
52,44
52.25,44
52.5,46
52.75,49
53,49
53.25,53
53.5,55
53.75,55
54,57
54.25,60
54.5,60
54.75,63
55,65
55.25,66
55.5,67
55.75,71
56,73
56.25,78
56.5,79
56.75,81
57,84
57.25,85
57.5,87
57.75,89
58,92
58.25,94
58.5,99
58.75,102
59,107
59.25,109
59.5,110
59.75,113
60,116
60.25,120
60.5,125
60.75,128
61,130
61.25,131
61.5,133
61.75,134
62,140
62.25,140
62.5,141
62.75,145
63,148
63.25,152
63.5,154
63.75,155
64,157
64.25,161
64.5,168
64.75,170
65,171
65.25,174
65.5,179
65.75,180
66,183
66.25,187
66.5,189
66.75,190
67,190
67.25,191
67.5,192
67.75,194
68,197
68.25,197
68.5,198
68.75,199
69,199
69.25,200
69.5,201
69.75,202
70,202
70.25,204
70.5,205
70.75,209
71,213
71.25,218
71.5,219
71.75,221
72,221
72.25,222
72.5,222
72.75,224
73,224
73.25,226
73.5,227
73.75,229
74,229
74.25,230
74.5,230
74.75,231
75,231
75.25,231
75.5,231
75.75,231
76,231
76.25,233
76.5,233
76.75,233
77,233
77.25,233
77.5,233
77.75,234
78,234
78.25,236
78.5,238
78.75,241
79,242
79.25,243
79.5,243
79.75,243
80,244
80.25,244
80.5,246
80.75,246
81,246
81.25,247
81.5,247
81.75,247
82,247
82.25,247
82.5,247
82.75,248
83,248
83.25,248
83.5,248
83.75,249
84,250
84.25,250
84.5,250
84.75,250
85,250
85.25,250
85.5,250
85.75,250
86,251
86.25,251
86.5,251
86.75,252
87,252
87.25,252
87.5,252
87.75,253
88,253
88.25,253
88.5,253
88.75,254
89,254
89.25,254
89.5,255
89.75,255
90,255
90.25,255
90.5,256
90.75,256
91,257
91.25,257
91.5,258
91.75,258
92,258
92.25,258
92.5,258
92.75,258
93,258
93.25,258
93.5,258
93.75,258
94,258
94.25,258
94.5,258
94.75,258
95,258
95.25,258
95.5,258
95.75,260
96,261
96.25,261
96.5,261
96.75,261
97,261
97.25,261
97.5,261
97.75,261
98,261
98.25,261
98.5,261
98.75,261
99,261
99.25,261
99.5,261
99.75,261
100,261
100.25,261
100.5,261
100.75,261
101,261
101.25,261
101.5,261
101.75,261
102,261
102.25,261
102.5,261
102.75,261
103,261
103.25,261
103.5,261
103.75,261
104,261
104.25,261
104.5,261
104.75,261
105,261
105.25,261
105.5,261
105.75,261
106,261
106.25,261
106.5,261
106.75,261
107,261
107.25,261
107.5,261
107.75,261
108,261
108.25,261
108.5,261
108.75,261
109,261
109.25,261
109.5,261
109.75,261
110,261
110.25,261
110.5,261
110.75,261
111,261
111.25,261
111.5,261
111.75,261
112,261
112.25,261
112.5,261
112.75,261
113,261
113.25,261
113.5,261
113.75,261
114,261
114.25,261
114.5,261
114.75,261
115,261
115.25,261
115.5,261
115.75,261
116,261
116.25,261
116.5,261
116.75,261
117,261
117.25,261
117.5,261
117.75,261
118,261
118.25,261
118.5,261
118.75,261
119,261
119.25,261
119.5,261
119.75,261
