Time,num_symptomatic
0,0
0.25,0
0.5,4
0.75,8
1,12
1.25,18
1.5,21
1.75,21
2,20
2.25,21
2.5,22
2.75,22
3,25
3.25,26
3.5,30
3.75,31
4,33
4.25,35
4.5,38
4.75,39
5,44
5.25,47
5.5,53
5.75,57
6,63
6.25,67
6.5,70
6.75,72
7,75
7.25,79
7.5,84
7.75,82
8,83
8.25,86
8.5,88
8.75,93
9,98
9.25,97
9.5,103
9.75,110
10,121
10.25,133
10.5,139
10.75,145
11,152
11.25,153
11.5,161
11.75,163
12,173
12.25,182
12.5,189
12.75,192
13,186
13.25,200
13.5,214
13.75,226
14,237
14.25,246
14.5,259
14.75,272
15,293
15.25,307
15.5,325
15.75,344
16,349
16.25,356
16.5,359
16.75,370
17,399
17.25,428
17.5,473
17.75,496
18,523
18.25,530
18.5,564
18.75,587
19,643
19.25,659
19.5,691
19.75,713
20,760
20.25,818
20.5,845
20.75,886
21,932
21.25,960
21.5,1003
21.75,1045
22,1099
22.25,1156
22.5,1220
22.75,1293
23,1355
23.25,1416
23.5,1480
23.75,1547
24,1631
24.25,1704
24.5,1782
24.75,1879
25,1965
25.25,2050
25.5,2133
25.75,2273
26,2357
26.25,2418
26.5,2544
26.75,2652
27,2743
27.25,2854
27.5,2991
27.75,3091
28,3220
28.25,3368
28.5,3547
28.75,3669
29,3812
29.25,3956
29.5,4113
29.75,4288
30,4474
30.25,4632
30.5,4806
30.75,4981
31,5184
31.25,5357
31.5,5519
31.75,5713
32,5898
32.25,6102
32.5,6323
32.75,6566
33,6728
33.25,6934
33.5,7148
33.75,7312
34,7564
34.25,7821
34.5,8041
34.75,8230
35,8382
35.25,8589
35.5,8838
35.75,9080
36,9278
36.25,9476
36.5,9669
36.75,9834
37,10033
37.25,10302
37.5,10482
37.75,10637
38,10827
38.25,11004
38.5,11243
38.75,11355
39,11487
39.25,11552
39.5,11695
39.75,11781
40,11875
40.25,11995
40.5,12115
40.75,12140
41,12228
41.25,12384
41.5,12477
41.75,12569
42,12589
42.25,12650
42.5,12671
42.75,12721
43,12723
43.25,12816
43.5,12778
43.75,12698
44,12682
44.25,12685
44.5,12600
44.75,12507
45,12482
45.25,12420
45.5,12353
45.75,12281
46,12194
46.25,12029
46.5,11947
46.75,11862
47,11706
47.25,11586
47.5,11480
47.75,11288
48,11060
48.25,10904
48.5,10675
48.75,10545
49,10384
49.25,10211
49.5,10026
49.75,9861
50,9708
50.25,9564
50.5,9364
50.75,9234
51,9076
51.25,8873
51.5,8679
51.75,8473
52,8306
52.25,8143
52.5,7995
52.75,7801
53,7615
53.25,7419
53.5,7220
53.75,7010
54,6797
54.25,6648
54.5,6456
54.75,6241
55,6101
55.25,5950
55.5,5793
55.75,5637
56,5516
56.25,5357
56.5,5225
56.75,5092
57,4949
57.25,4795
57.5,4679
57.75,4534
58,4384
58.25,4252
58.5,4114
58.75,3985
59,3857
59.25,3739
59.5,3609
59.75,3485
60,3371
60.25,3252
60.5,3149
60.75,3041
61,2947
61.25,2833
61.5,2745
61.75,2647
62,2555
62.25,2486
62.5,2393
62.75,2320
63,2235
63.25,2163
63.5,2080
63.75,2016
64,1959
64.25,1880
64.5,1817
64.75,1756
65,1674
65.25,1621
65.5,1568
65.75,1516
66,1465
66.25,1410
66.5,1361
66.75,1332
67,1286
67.25,1244
67.5,1206
67.75,1170
68,1118
68.25,1087
68.5,1037
68.75,999
69,957
69.25,933
69.5,889
69.75,857
70,835
70.25,803
70.5,773
70.75,744
71,717
71.25,695
71.5,668
71.75,647
72,621
72.25,595
72.5,572
72.75,551
73,529
73.25,511
73.5,492
73.75,478
74,458
74.25,437
74.5,429
74.75,417
75,401
75.25,388
75.5,374
75.75,353
76,343
76.25,336
76.5,320
76.75,304
77,288
77.25,283
77.5,271
77.75,263
78,252
78.25,246
78.5,240
78.75,232
79,225
79.25,216
79.5,202
79.75,195
80,189
80.25,181
80.5,170
80.75,161
81,150
81.25,148
81.5,148
81.75,144
82,136
82.25,133
82.5,124
82.75,122
83,117
83.25,116
83.5,109
83.75,103
84,95
84.25,90
84.5,90
84.75,85
85,82
85.25,77
85.5,73
85.75,71
86,72
