Time,susceptible_lambda
0,0
0.25,0
0.5,11.2289
0.75,29.3662
1,55.6977
1.25,100.941
1.5,73.3925
1.75,68.8119
2,50.9223
2.25,43.4827
2.5,62.5299
2.75,82.0083
3,65.5797
3.25,54.0115
3.5,52.3295
3.75,57.9596
4,61.5933
4.25,70.7746
4.5,63.5026
4.75,56.6361
5,72.9985
5.25,64.1053
5.5,75.7031
5.75,91.1312
6,91.9978
6.25,94.7199
6.5,97.8741
6.75,107.231
7,81.1521
7.25,81.5891
7.5,86.1953
7.75,87.7766
8,74.3859
8.25,74.1312
8.5,91.7821
8.75,75.5956
9,90.0939
9.25,80.2788
9.5,125.257
9.75,190.696
10,215.143
10.25,264.159
10.5,234.501
10.75,219.342
11,184.133
11.25,178.595
11.5,225.766
11.75,217.309
12,211.112
12.25,183.304
12.5,180.572
12.75,209.153
13,250.635
13.25,278.726
13.5,331.557
13.75,377.82
14,408.83
14.25,400.125
14.5,411.25
14.75,423.476
15,471.546
15.25,488.715
15.5,532.348
15.75,548.969
16,563.226
16.25,584.107
16.5,579.021
16.75,548.554
17,649.206
17.25,714.315
17.5,784.98
17.75,714.631
18,779.07
18.25,832.856
18.5,819.349
18.75,940.258
19,1039.39
19.25,1110.49
19.5,1047.54
19.75,1012.65
20,1117.11
20.25,1198.21
20.5,1303.28
20.75,1308.99
21,1285.51
21.25,1313.06
21.5,1375.23
21.75,1569.7
22,1526.25
22.25,1515.42
22.5,1605.51
22.75,1832.45
23,1800.89
23.25,1929.06
23.5,1954.58
23.75,2035.1
24,2186.63
24.25,2304.67
24.5,2392.02
24.75,2462.39
25,2449.09
25.25,2576.08
25.5,2683.37
25.75,2761.05
26,2932.98
26.25,2918.13
26.5,3054.08
26.75,3145.27
27,3160.05
27.25,3363.33
27.5,3409.11
27.75,3467.99
28,3501.16
28.25,3737.93
28.5,3767.63
28.75,4026.37
29,4170.16
29.25,3926.59
29.5,4019.15
29.75,4231.5
30,4254.47
30.25,4528.39
30.5,4482.67
30.75,4631.94
31,4717.07
31.25,4828.68
31.5,4810.07
31.75,4948.94
32,4863.23
32.25,5082.01
32.5,4845.29
32.75,5150.01
33,5101.82
33.25,4999.58
33.5,5058.2
33.75,5081.66
34,5118.57
34.25,5315.46
34.5,5196.16
34.75,5326.71
35,5067.5
35.25,5018.81
35.5,4918.3
35.75,5130.97
36,4956.26
36.25,5087.48
36.5,5175.04
36.75,4956.33
37,4966.18
37.25,4993.35
37.5,4909.66
37.75,4950.24
38,4790.23
38.25,4693.81
38.5,4435.14
38.75,4409.49
39,4216.42
39.25,4078.13
39.5,4099.3
39.75,3899.99
40,3727.9
40.25,3687.55
40.5,3621.1
40.75,3299.81
41,3365.31
41.25,3122.15
41.5,3108.6
41.75,2975.28
42,2851.97
42.25,2875.89
42.5,2587.05
42.75,2505.36
43,2351.7
43.25,2289.33
43.5,2192.5
43.75,2205.29
44,2206
44.25,2094.2
44.5,1998.9
44.75,1818.13
45,1808.6
45.25,1697.84
45.5,1676.73
45.75,1595.57
46,1555.41
46.25,1504.46
46.5,1403.87
46.75,1303.21
47,1250.17
47.25,1207.32
47.5,1180.85
47.75,1148.67
48,1035.61
48.25,961.363
48.5,920.857
48.75,942.734
49,895.39
49.25,815.161
49.5,840.384
49.75,792.366
50,818.254
50.25,788.021
50.5,707.146
50.75,686.814
51,627.511
51.25,579.001
51.5,561.567
51.75,544.001
52,537.654
52.25,597.32
52.5,503.171
52.75,456.078
53,452.499
53.25,438.422
53.5,407.538
53.75,364.785
54,357.28
54.25,349.258
54.5,346.316
54.75,299.438
55,298.12
55.25,268.672
55.5,260.69
55.75,257.953
56,325.057
56.25,285.561
56.5,258.781
56.75,233.489
57,247.698
57.25,256.051
57.5,211.72
57.75,203.81
58,196.257
58.25,187.534
58.5,164.231
58.75,178.636
59,143.443
59.25,163.281
59.5,151.487
59.75,160.455
60,122.413
60.25,122.357
60.5,132.929
60.75,111.487
61,105.486
61.25,104.61
61.5,97.6703
61.75,87.5888
62,83.9492
62.25,86.5302
62.5,86.691
62.75,74.7357
63,80.3848
63.25,71.9789
63.5,68.308
63.75,69.3961
64,73.197
64.25,63.1753
