Time,susceptible_lambda_H
0,0
0.25,0
0.5,9.59201
0.75,25.6133
1,43.708
1.25,59.9466
1.5,33.0245
1.75,28.3686
2,18.2924
2.25,12.3501
2.5,24.9708
2.75,39.4209
3,19.2064
3.25,15.6134
3.5,12.353
3.75,16.0385
4,21.2834
4.25,28.9417
4.5,22.3772
4.75,17.7636
5,25.9889
5.25,18.9786
5.5,24.1378
5.75,35.9884
6,32.4855
6.25,29.789
6.5,34.1748
6.75,44.7021
7,19.2791
7.25,23.8794
7.5,28.7432
7.75,28.4156
8,18.7658
8.25,19.3313
8.5,28.7317
8.75,21.182
9,29.8818
9.25,24.3569
9.5,50.1158
9.75,86.6228
10,91.932
10.25,124.872
10.5,108.71
10.75,91.9317
11,58.3987
11.25,49.4222
11.5,84.4251
11.75,77.8103
12,60.8667
12.25,50.7394
12.5,46.2769
12.75,67.5166
13,101.586
13.25,115.819
13.5,136.416
13.75,151.034
14,137.932
14.25,116.467
14.5,118.39
14.75,130.332
15,145.295
15.25,151.983
15.5,168.949
15.75,176.143
16,179.754
16.25,189.647
16.5,184.332
16.75,155.971
17,225.817
17.25,256.104
17.5,273.975
17.75,230.182
18,274.103
18.25,298.184
18.5,274.172
18.75,352.468
19,376.158
19.25,390.674
19.5,336.557
19.75,270.756
20,341.923
20.25,386.193
20.5,478.928
20.75,468.149
21,444.008
21.25,441.581
21.5,463.715
21.75,561.764
22,526.636
22.25,509.321
22.5,517.04
22.75,711.088
23,660.237
23.25,740.625
23.5,712.053
23.75,707.46
24,783.217
24.25,840.165
24.5,865.77
24.75,893.061
25,864.63
25.25,925.95
25.5,958.402
25.75,952.196
26,1032.81
26.25,993.41
26.5,1057.29
26.75,1091.46
27,1121.19
27.25,1215.64
27.5,1200.11
27.75,1217.88
28,1254.31
28.25,1387.72
28.5,1363.26
28.75,1483.63
29,1553.78
29.25,1294.72
29.5,1369.06
29.75,1525.09
30,1501.12
30.25,1668.79
30.5,1607
30.75,1686.77
31,1649.05
31.25,1739.56
31.5,1729
31.75,1758.26
32,1683.52
32.25,1878.32
32.5,1701.13
32.75,1973.21
33,1914.23
33.25,1799.36
33.5,1838.43
33.75,1816.55
34,1865.93
34.25,1989.79
34.5,1936.53
34.75,2009.83
35,1824.79
35.25,1770.94
35.5,1698.43
35.75,1870.46
36,1687.33
36.25,1816.54
36.5,1957.85
36.75,1745
37,1793.7
37.25,1842.26
37.5,1844.78
37.75,1914.89
38,1858.79
38.25,1803.44
38.5,1620.46
38.75,1716.59
39,1558.97
39.25,1500.65
39.5,1587.58
39.75,1471.76
40,1405.75
40.25,1464.26
40.5,1444.34
40.75,1225.57
41,1359.27
41.25,1207.45
41.5,1259.5
41.75,1189.13
42,1165.79
42.25,1268.05
42.5,1060.5
42.75,1042.04
43,970.757
43.25,953.097
43.5,900.017
43.75,949.718
44,972.94
44.25,921.218
44.5,869.97
44.75,748.108
45,780.703
45.25,716.573
45.5,720.789
45.75,680.299
46,673.966
46.25,660.885
46.5,607.172
46.75,545.62
47,531.759
47.25,528.399
47.5,529.924
47.75,520.275
48,434.82
48.25,395.964
48.5,390.523
48.75,424.86
49,398.291
49.25,346.169
49.5,391.185
49.75,366.702
50,407.298
50.25,379.21
50.5,326.124
50.75,321.382
51,273.314
51.25,233.619
51.5,241.426
51.75,237.47
52,245.246
52.25,310.619
52.5,233.714
52.75,200.474
53,204.764
53.25,201.257
53.5,176.978
53.75,146.112
54,149.179
54.25,145.565
54.5,152.771
54.75,115.434
55,123.095
55.25,100.596
55.5,98.4336
55.75,103.17
56,172.097
56.25,137.297
56.5,119.266
56.75,97.8559
57,117.244
57.25,127.455
57.5,90.5828
57.75,88.8004
58,83.9556
58.25,75.5711
58.5,59.1841
58.75,76.2798
59,47.1953
59.25,72.7304
59.5,65.4396
59.75,76.9258
60,43.0851
60.25,46.503
60.5,58.6079
60.75,41.463
61,38.6359
61.25,39.902
61.5,35.7253
61.75,28.1264
62,27.0519
62.25,32.5386
62.5,34.6768
62.75,25.1681
63,32.7237
63.25,25.5492
63.5,23.4763
63.75,27.1506
64,33.8062
64.25,25.9437
64.5,18.7517
64.75,21.5747
65,29.7999
