Time,cumulative_new_detected
0,0
0.25,0
0.5,0
0.75,0
1,38
1.25,38
1.5,38
1.75,38
2,411
2.25,411
2.5,411
2.75,411
3,991
3.25,991
3.5,991
3.75,991
4,1774
4.25,1774
4.5,1774
4.75,1774
5,2698
5.25,2698
5.5,2698
5.75,2698
6,3865
6.25,3865
6.5,3865
6.75,3865
7,5384
7.25,5384
7.5,5384
7.75,5384
8,7292
8.25,7292
8.5,7292
8.75,7292
9,9652
9.25,9652
9.5,9652
9.75,9652
10,12600
10.25,12600
10.5,12600
10.75,12600
11,16286
11.25,16286
11.5,16286
11.75,16286
12,21111
12.25,21111
12.5,21111
12.75,21111
13,26858
13.25,26858
13.5,26858
13.75,26858
14,34305
14.25,34305
14.5,34305
14.75,34305
15,43677
15.25,43677
15.5,43677
15.75,43677
16,55550
16.25,55550
16.5,55550
16.75,55550
17,70493
17.25,70493
17.5,70493
17.75,70493
18,88830
18.25,88830
18.5,88830
18.75,88830
19,111688
19.25,111688
19.5,111688
19.75,111688
20,140177
20.25,140177
20.5,140177
20.75,140177
21,174978
21.25,174978
21.5,174978
21.75,174978
22,218151
22.25,218151
22.5,218151
22.75,218151
23,270771
23.25,270771
23.5,270771
23.75,270771
24,335035
24.25,335035
24.5,335035
24.75,335035
25,412588
25.25,412588
25.5,412588
25.75,412588
26,504943
26.25,504943
26.5,504943
26.75,504943
27,615158
27.25,615158
27.5,615158
27.75,615158
28,744063
28.25,744063
28.5,744063
28.75,744063
29,893902
29.25,893902
29.5,893902
29.75,893902
30,1065338
30.25,1065338
30.5,1065338
30.75,1065338
31,1260603
31.25,1260603
31.5,1260603
31.75,1260603
32,1477077
32.25,1477077
32.5,1477077
32.75,1477077
33,1714416
33.25,1714416
33.5,1714416
33.75,1714416
34,1968911
34.25,1968911
34.5,1968911
34.75,1968911
35,2238182
35.25,2238182
35.5,2238182
35.75,2238182
36,2517811
36.25,2517811
36.5,2517811
36.75,2517811
37,2803321
37.25,2803321
37.5,2803321
37.75,2803321
38,3090772
38.25,3090772
38.5,3090772
38.75,3090772
39,3373465
39.25,3373465
39.5,3373465
39.75,3373465
40,3648602
40.25,3648602
40.5,3648602
40.75,3648602
41,3913080
41.25,3913080
41.5,3913080
41.75,3913080
42,4165200
42.25,4165200
42.5,4165200
42.75,4165200
43,4399030
43.25,4399030
43.5,4399030
43.75,4399030
44,4617269
44.25,4617269
44.5,4617269
44.75,4617269
45,4817486
45.25,4817486
45.5,4817486
45.75,4817486
46,5000163
46.25,5000163
46.5,5000163
46.75,5000163
47,5165450
47.25,5165450
47.5,5165450
47.75,5165450
48,5314206
48.25,5314206
48.5,5314206
48.75,5314206
49,5447846
49.25,5447846
49.5,5447846
49.75,5447846
50,5566294
50.25,5566294
50.5,5566294
50.75,5566294
51,5670924
51.25,5670924
51.5,5670924
51.75,5670924
52,5763373
52.25,5763373
52.5,5763373
52.75,5763373
53,5844277
53.25,5844277
53.5,5844277
53.75,5844277
54,5914818
54.25,5914818
54.5,5914818
54.75,5914818
55,5976817
55.25,5976817
55.5,5976817
55.75,5976817
56,6030269
56.25,6030269
56.5,6030269
56.75,6030269
57,6077273
57.25,6077273
57.5,6077273
57.75,6077273
58,6118328
58.25,6118328
58.5,6118328
58.75,6118328
59,6153367
59.25,6153367
59.5,6153367
59.75,6153367
60,6183949
60.25,6183949
60.5,6183949
60.75,6183949
61,6210462
61.25,6210462
61.5,6210462
61.75,6210462
62,6233149
62.25,6233149
62.5,6233149
62.75,6233149
63,6252476
63.25,6252476
63.5,6252476
63.75,6252476
64,6269224
64.25,6269224
64.5,6269224
64.75,6269224
65,6283725
65.25,6283725
65.5,6283725
65.75,6283725
66,6296082
66.25,6296082
66.5,6296082
66.75,6296082
67,6306992
67.25,6306992
67.5,6306992
67.75,6306992
68,6316112
68.25,6316112
68.5,6316112
68.75,6316112
69,6323998
69.25,6323998
69.5,6323998
69.75,6323998
70,6330875
70.25,6330875
70.5,6330875
70.75,6330875
71,6336720
71.25,6336720
71.5,6336720
71.75,6336720
72,6341676
72.25,6341676
72.5,6341676
72.75,6341676
73,6345987
73.25,6345987
73.5,6345987
73.75,6345987
