Time,daily_new_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,3
9.5,3
9.75,5
10,2
10.25,5
10.5,6
10.75,9
11,4
11.25,6
11.5,8
11.75,12
12,2
12.25,3
12.5,3
12.75,6
13,3
13.25,4
13.5,7
13.75,9
14,4
14.25,7
14.5,9
14.75,11
15,4
15.25,7
15.5,13
15.75,17
16,2
16.25,7
16.5,11
16.75,18
17,5
17.25,9
17.5,14
17.75,24
18,4
18.25,14
18.5,23
18.75,34
19,5
19.25,8
19.5,21
19.75,28
20,8
20.25,18
20.5,23
20.75,35
21,13
21.25,23
21.5,43
21.75,53
22,16
22.25,29
22.5,45
22.75,60
23,15
23.25,32
23.5,51
23.75,68
24,21
24.25,38
24.5,72
24.75,97
25,23
25.25,54
25.5,80
25.75,113
26,42
26.25,85
26.5,133
26.75,180
27,34
27.25,76
27.5,121
27.75,170
28,54
28.25,104
28.5,170
28.75,232
29,61
29.25,128
29.5,200
29.75,275
30,92
30.25,179
30.5,266
30.75,347
31,113
31.25,209
31.5,325
31.75,442
32,115
32.25,276
32.5,423
32.75,585
33,159
33.25,336
33.5,485
33.75,646
34,178
34.25,367
34.5,552
34.75,749
35,215
35.25,440
35.5,651
35.75,921
36,232
36.25,496
36.5,781
36.75,1094
37,288
37.25,647
37.5,979
37.75,1309
38,341
38.25,709
38.5,1109
38.75,1486
39,371
39.25,756
39.5,1196
39.75,1667
40,440
40.25,883
40.5,1288
40.75,1766
41,505
41.25,982
41.5,1515
41.75,2059
42,538
42.25,1127
42.5,1715
42.75,2310
43,548
43.25,1146
43.5,1707
43.75,2299
44,649
44.25,1289
44.5,1927
44.75,2593
45,665
45.25,1334
45.5,1979
45.75,2628
46,639
46.25,1323
46.5,1966
46.75,2646
47,680
47.25,1362
47.5,1987
47.75,2697
48,702
48.25,1378
48.5,2028
48.75,2705
49,655
49.25,1289
49.5,1978
49.75,2633
50,632
50.25,1319
50.5,1931
50.75,2550
51,627
51.25,1249
51.5,1864
51.75,2429
52,561
52.25,1104
52.5,1695
52.75,2314
53,524
53.25,1072
53.5,1598
53.75,2123
54,524
54.25,1036
54.5,1534
54.75,2045
55,451
55.25,909
55.5,1376
55.75,1826
56,429
56.25,845
56.5,1299
56.75,1746
57,428
57.25,789
57.5,1197
57.75,1585
58,376
58.25,740
58.5,1122
58.75,1497
59,320
59.25,620
59.5,921
59.75,1216
60,300
60.25,577
60.5,861
60.75,1133
61,293
61.25,556
61.5,821
61.75,1072
62,288
62.25,510
62.5,731
62.75,960
63,211
63.25,430
63.5,634
63.75,838
64,181
64.25,363
64.5,536
64.75,708
65,160
65.25,309
65.5,468
65.75,639
66,134
66.25,268
66.5,413
66.75,548
67,136
67.25,273
67.5,393
67.75,510
68,134
68.25,237
68.5,341
68.75,460
69,106
69.25,196
69.5,266
69.75,366
70,86
70.25,160
70.5,248
70.75,314
71,74
71.25,155
71.5,230
71.75,309
72,72
72.25,137
72.5,211
72.75,282
73,54
73.25,109
73.5,172
73.75,234
74,51
74.25,94
74.5,148
74.75,214
75,38
75.25,90
75.5,139
75.75,168
76,55
76.25,87
76.5,123
76.75,163
77,39
77.25,66
77.5,102
77.75,132
78,41
78.25,58
78.5,87
78.75,105
79,35
79.25,49
79.5,75
79.75,94
80,17
80.25,42
80.5,68
80.75,91
81,28
81.25,43
81.5,62
81.75,82
82,16
82.25,38
82.5,54
82.75,68
83,12
83.25,25
83.5,36
83.75,46
84,10
84.25,18
84.5,25
84.75,36
85,11
85.25,23
85.5,32
85.75,40
86,6
86.25,15
86.5,24
86.75,33
87,12
87.25,22
87.5,32
87.75,37
88,4
88.25,11
88.5,18
88.75,24
89,10
89.25,16
89.5,18
89.75,21
90,5
90.25,9
90.5,16
90.75,28
91,9
91.25,12
91.5,14
91.75,16
92,3
92.25,7
92.5,11
92.75,13
93,2
93.25,3
93.5,6
93.75,8
94,2
94.25,5
94.5,6
94.75,10
95,1
95.25,3
95.5,5
95.75,8
96,0
96.25,1
96.5,3
96.75,3
97,1
97.25,5
97.5,7
97.75,10
98,1
98.25,3
98.5,4
98.75,9
99,2
99.25,4
99.5,4
99.75,4
100,0
100.25,1
100.5,3
100.75,3
101,0
101.25,0
101.5,3
101.75,3
102,2
102.25,2
102.5,6
102.75,7
103,1
103.25,1
103.5,2
103.75,3
104,0
104.25,1
104.5,1
104.75,2
105,0
105.25,0
105.5,2
105.75,3
106,1
106.25,1
106.5,1
106.75,1
107,0
107.25,0
107.5,1
107.75,2
108,1
108.25,2
108.5,3
108.75,3
109,2
109.25,2
109.5,3
109.75,3
110,0
110.25,0
110.5,0
110.75,1
111,0
111.25,0
111.5,0
111.75,0
112,1
112.25,1
112.5,1
112.75,1
113,0
113.25,0
113.5,0
113.75,0
114,1
114.25,1
114.5,1
114.75,1
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,1
116.75,2
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
