Time,daily_new_hospitalised
0,0
0.25,0
0.5,0
0.75,3
1,1
1.25,5
1.5,12
1.75,16
2,5
2.25,12
2.5,16
2.75,29
3,8
3.25,19
3.5,28
3.75,46
4,11
4.25,17
4.5,28
4.75,37
5,12
5.25,21
5.5,39
5.75,56
6,20
6.25,41
6.5,59
6.75,76
7,13
7.25,32
7.5,56
7.75,73
8,20
8.25,44
8.5,65
8.75,90
9,29
9.25,55
9.5,93
9.75,133
10,36
10.25,77
10.5,116
10.75,157
11,45
11.25,85
11.5,146
11.75,197
12,48
12.25,103
12.5,150
12.75,208
13,85
13.25,149
13.5,239
13.75,327
14,82
14.25,180
14.5,289
14.75,395
15,94
15.25,227
15.5,342
15.75,476
16,147
16.25,264
16.5,426
16.75,594
17,149
17.25,311
17.5,501
17.75,714
18,212
18.25,448
18.5,694
18.75,946
19,261
19.25,519
19.5,818
19.75,1124
20,304
20.25,647
20.5,1029
20.75,1408
21,385
21.25,832
21.5,1286
21.75,1737
22,486
22.25,1055
22.5,1635
22.75,2230
23,644
23.25,1284
23.5,1956
23.75,2656
24,746
24.25,1564
24.5,2399
24.75,3318
25,926
25.25,1892
25.5,2895
25.75,3897
26,1051
26.25,2210
26.5,3392
26.75,4672
27,1282
27.25,2542
27.5,3974
27.75,5481
28,1509
28.25,3043
28.5,4656
28.75,6380
29,1788
29.25,3650
29.5,5465
29.75,7387
30,2074
30.25,4274
30.5,6470
30.75,8762
31,2200
31.25,4483
31.5,6987
31.75,9524
32,2576
32.25,5160
32.5,7809
32.75,10589
33,2907
33.25,5831
33.5,8785
33.75,11738
34,3108
34.25,6117
34.5,9202
34.75,12427
35,3192
35.25,6481
35.5,9725
35.75,13158
36,3340
36.25,6729
36.5,10150
36.75,13587
37,3498
37.25,7013
37.5,10509
37.75,13998
38,3506
38.25,7103
38.5,10575
38.75,14124
39,3421
39.25,6921
39.5,10384
39.75,13889
40,3381
40.25,6757
40.5,10149
40.75,13510
41,3359
41.25,6687
41.5,9981
41.75,13193
42,3225
42.25,6362
42.5,9523
42.75,12597
43,3060
43.25,6031
43.5,9025
43.75,11804
44,2828
44.25,5590
44.5,8282
44.75,11119
45,2554
45.25,5213
45.5,7785
45.75,10263
46,2430
46.25,4935
46.5,7238
46.75,9578
47,2255
47.25,4446
47.5,6648
47.75,8738
48,1997
48.25,3963
48.5,5994
48.75,7920
49,1921
49.25,3679
49.5,5475
49.75,7228
50,1651
50.25,3257
50.5,4803
50.75,6385
51,1524
51.25,2954
51.5,4296
51.75,5649
52,1397
52.25,2640
52.5,3934
52.75,5177
53,1239
53.25,2359
53.5,3502
53.75,4583
54,1086
54.25,2108
54.5,3137
54.75,4094
55,958
55.25,1871
55.5,2732
55.75,3583
56,825
56.25,1582
56.5,2414
56.75,3135
57,695
57.25,1382
57.5,2041
57.75,2716
58,607
58.25,1220
58.5,1820
58.75,2418
59,538
59.25,1070
59.5,1585
59.75,2090
60,513
60.25,1004
60.5,1446
60.75,1870
61,401
61.25,745
61.5,1112
61.75,1517
62,363
62.25,709
62.5,1073
62.75,1378
63,337
63.25,647
63.5,960
63.75,1242
64,297
64.25,528
64.5,797
64.75,1052
65,256
65.25,485
65.5,691
65.75,923
66,198
66.25,408
66.5,601
66.75,803
67,157
67.25,327
67.5,504
67.75,634
68,184
68.25,342
68.5,486
68.75,623
69,128
69.25,244
69.5,365
69.75,478
70,134
70.25,245
70.5,365
70.75,452
71,111
71.25,199
71.5,294
71.75,371
72,82
72.25,166
72.5,253
72.75,332
73,71
73.25,142
73.5,214
73.75,277
74,61
74.25,135
74.5,199
74.75,257
75,57
75.25,107
75.5,147
75.75,186
76,42
76.25,80
76.5,127
76.75,166
77,42
77.25,81
77.5,110
77.75,157
78,34
78.25,66
78.5,96
78.75,132
79,33
79.25,69
79.5,102
79.75,122
80,23
80.25,43
80.5,69
80.75,98
81,27
81.25,52
81.5,67
81.75,89
82,14
82.25,32
82.5,57
82.75,75
83,22
83.25,42
83.5,58
83.75,68
84,15
84.25,29
84.5,45
84.75,57
85,10
85.25,18
85.5,34
85.75,42
86,10
86.25,19
86.5,28
86.75,38
87,2
87.25,10
