Time,daily_new_recovered
0,0
0.25,0
0.5,228
0.75,561
1,377
1.25,777
1.5,1197
1.75,1592
2,419
2.25,841
2.5,1284
2.75,1710
3,448
3.25,919
3.5,1435
3.75,1932
4,528
4.25,1084
4.5,1677
4.75,2288
5,668
5.25,1352
5.5,2092
5.75,2930
6,809
6.25,1714
6.5,2650
6.75,3670
7,1032
7.25,2220
7.5,3368
7.75,4620
8,1339
8.25,2801
8.5,4354
8.75,6055
9,1639
9.25,3412
9.5,5308
9.75,7310
10,2143
10.25,4491
10.5,6830
10.75,9373
11,2765
11.25,5701
11.5,8859
11.75,12032
12,3402
12.25,6907
12.5,10675
12.75,14577
13,4352
13.25,8829
13.5,13652
13.75,18792
14,5325
14.25,11013
14.5,17151
14.75,23670
15,6685
15.25,13951
15.5,21627
15.75,29813
16,8535
16.25,17356
16.5,26816
16.75,36687
17,10500
17.25,21843
17.5,33576
17.75,45876
18,12984
18.25,26773
18.5,41395
18.75,56747
19,16248
19.25,33086
19.5,51125
19.75,69910
20,19717
20.25,40634
20.5,62549
20.75,85412
21,24338
21.25,49930
21.5,76926
21.75,105181
22,29391
22.25,60683
22.5,93223
22.75,127233
23,35973
23.25,72828
23.5,111843
23.75,153030
24,43005
24.25,87936
24.5,134636
24.75,182980
25,51268
25.25,104308
25.5,159734
25.75,217378
26,59837
26.25,122349
26.5,187393
26.75,254814
27,69503
27.25,142671
27.5,217857
27.75,295504
28,80412
28.25,163569
28.5,249156
28.75,337727
29,90806
29.25,184717
29.5,281222
29.75,379876
30,101335
30.25,205392
30.5,312056
30.75,421380
31,110829
31.25,224136
31.5,340169
31.75,457758
32,119685
32.25,240718
32.5,364222
32.75,489140
33,125914
33.25,253946
33.5,382523
33.75,512605
34,130312
34.25,261320
34.5,393733
34.75,527058
35,133375
35.25,266852
35.5,400356
35.75,533668
36,132839
36.25,265948
36.5,398523
36.75,529844
37,131407
37.25,262070
37.5,390942
37.75,518947
38,126787
38.25,251897
38.5,376147
38.75,499361
39,121099
39.25,241064
39.5,358652
39.75,474718
40,114599
40.25,227259
40.5,337608
40.75,446191
41,107162
41.25,212494
41.5,315278
41.75,416683
42,98581
42.25,194672
42.5,288823
42.75,380853
43,89874
43.25,178484
43.5,265075
43.75,349934
44,82488
44.25,162416
44.5,240315
44.75,316470
45,74555
45.25,146879
45.5,217095
45.75,285617
46,66809
46.25,131672
46.5,194798
46.75,255958
47,59153
47.25,116864
47.5,173262
47.75,227780
48,53198
48.25,104991
48.5,154855
48.75,203021
49,47145
49.25,92508
49.5,136853
49.75,179729
50,41303
50.25,81651
50.5,120494
50.75,157818
51,36450
51.25,71694
51.5,105939
51.75,139020
52,31931
52.25,62836
52.5,92595
52.75,121655
53,27784
53.25,54740
53.5,80891
53.75,106285
54,24675
54.25,48483
54.5,71365
54.75,93357
55,21358
55.25,41927
55.5,61609
55.75,80743
56,18622
56.25,36538
56.5,53943
56.75,70618
57,16533
57.25,32305
57.5,47395
57.75,61980
58,13983
58.25,27560
58.5,40384
58.75,52994
59,12244
59.25,23919
59.5,35450
59.75,46512
60,10585
60.25,20768
60.5,30689
60.75,40343
61,9263
61.25,17955
61.5,26301
61.75,34545
62,7780
62.25,15216
62.5,22575
62.75,29593
63,6707
63.25,13202
63.5,19592
63.75,25649
64,5858
64.25,11422
64.5,17016
64.75,22350
65,4992
65.25,9760
65.5,14515
65.75,19057
66,4386
66.25,8659
66.5,12830
66.75,16904
67,3790
67.25,7326
67.5,10806
67.75,14153
68,3361
68.25,6524
68.5,9409
68.75,12210
69,2836
69.25,5504
69.5,8170
69.75,10718
70,2437
70.25,4714
70.5,6989
70.75,9109
71,2084
71.25,4044
71.5,5956
71.75,7788
72,1817
72.25,3538
72.5,5114
72.75,6690
73,1547
73.25,3003
73.5,4475
73.75,5850
74,1295
74.25,2572
74.5,3759
74.75,4933
75,1114
75.25,2201
75.5,3305
75.75,4343
76,970
76.25,1940
76.5,2810
76.75,3646
77,783
77.25,1574
77.5,2275
77.75,3058
78,696
78.25,1380
78.5,2057
78.75,2685
79,615
79.25,1222
79.5,1806
79.75,2370
80,550
80.25,1037
80.5,1517
80.75,1980
