Time,daily_new_symptomatic
0,0
0.25,0
0.5,429
0.75,1021
1,631
1.25,1283
1.5,1830
1.75,2379
2,532
2.25,1038
2.5,1515
2.75,1982
3,469
3.25,966
3.5,1472
3.75,2011
4,583
4.25,1191
4.5,1807
4.75,2476
5,688
5.25,1419
5.5,2164
5.75,2947
6,902
6.25,1832
6.5,2820
6.75,3881
7,1106
7.25,2251
7.5,3499
7.75,4839
8,1409
8.25,2937
8.5,4573
8.75,6237
9,1803
9.25,3711
9.5,5797
9.75,7855
10,2336
10.25,4710
10.5,7220
10.75,9928
11,2864
11.25,5948
11.5,9158
11.75,12524
12,3524
12.25,7345
12.5,11344
12.75,15664
13,4437
13.25,9201
13.5,14207
13.75,19488
14,5783
14.25,11873
14.5,18286
14.75,24982
15,7178
15.25,14662
15.5,22706
15.75,31017
16,8886
16.25,18322
16.5,28365
16.75,38800
17,10857
17.25,22452
17.5,34824
17.75,47545
18,13648
18.25,27967
18.5,43094
18.75,59129
19,16660
19.25,34320
19.5,52714
19.75,71864
20,20423
20.25,41982
20.5,64381
20.75,88109
21,24585
21.25,50664
21.5,77780
21.75,106433
22,29863
22.25,61462
22.5,94572
22.75,129122
23,36355
23.25,74010
23.5,113382
23.75,154975
24,43546
24.25,88359
24.5,134834
24.75,183305
25,50854
25.25,103294
25.5,157885
25.75,214901
26,59245
26.25,120687
26.5,183494
26.75,248738
27,67247
27.25,136986
27.5,208444
27.75,282482
28,76396
28.25,154920
28.5,235313
28.75,318087
29,84410
29.25,171040
29.5,259443
29.75,349527
30,92051
30.25,185760
30.5,281291
30.75,377608
31,98100
31.25,197187
31.5,297431
31.75,398869
32,101739
32.25,205434
32.5,309163
32.75,413258
33,103639
33.25,207717
33.5,312235
33.75,415782
34,103254
34.25,206536
34.5,309329
34.75,410900
35,101201
35.25,201786
35.5,299862
35.75,397647
36,96243
36.25,191449
36.5,284711
36.75,376052
37,90130
37.25,177651
37.5,263715
37.75,347852
38,81771
38.25,162294
38.5,240667
38.75,316355
39,74833
39.25,146862
39.5,216580
39.75,284388
40,65653
40.25,129225
40.5,191295
40.75,251159
41,58250
41.25,113789
41.5,167951
41.75,219455
42,50192
42.25,98584
42.5,145378
42.75,190190
43,43216
43.25,84839
43.5,125024
43.75,163159
44,36906
44.25,72382
44.5,106384
44.75,138756
45,31284
45.25,61359
45.5,90483
45.75,118047
46,26487
46.25,51920
46.5,75892
46.75,99269
47,22147
47.25,43472
47.5,63923
47.75,83284
48,18548
48.25,36589
48.5,53593
48.75,70215
49,15520
49.25,30615
49.5,44888
49.75,58445
50,13192
50.25,25793
50.5,37743
50.75,49248
51,10983
51.25,21475
51.5,31595
51.75,41114
52,9140
52.25,18039
52.5,26430
52.75,34531
53,7699
53.25,15096
53.5,22093
53.75,28721
54,6394
54.25,12542
54.5,18557
54.75,24233
55,5389
55.25,10660
55.5,15631
55.75,20306
56,4592
56.25,8972
56.5,13145
56.75,17145
57,3979
57.25,7639
57.5,11100
57.75,14568
58,3136
58.25,6316
58.5,9268
58.75,12086
59,2630
59.25,5320
59.5,7785
59.75,10199
60,2352
60.25,4640
60.5,6830
60.75,8886
61,1845
61.25,3687
61.5,5458
61.75,7267
62,1713
62.25,3234
62.5,4795
62.75,6250
63,1413
63.25,2749
63.5,4026
63.75,5319
64,1174
64.25,2351
64.5,3523
64.75,4578
65,1013
65.25,1941
65.5,2921
65.75,3811
66,815
66.25,1667
66.5,2446
66.75,3196
67,729
67.25,1431
67.5,2088
67.75,2725
68,655
68.25,1247
68.5,1830
68.75,2450
69,530
69.25,1086
69.5,1567
69.75,2036
70,456
70.25,863
70.5,1272
70.75,1691
71,340
71.25,728
71.5,1101
71.75,1444
72,313
72.25,615
72.5,890
72.75,1186
73,292
73.25,564
73.5,826
73.75,1069
74,230
74.25,462
74.5,666
74.75,872
75,202
75.25,386
75.5,573
75.75,758
76,167
76.25,328
76.5,492
76.75,624
77,138
77.25,271
77.5,416
77.75,555
78,122
78.25,255
78.5,377
78.75,491
79,95
79.25,208
79.5,327
79.75,424
80,102
80.25,177
80.5,245
80.75,322
81,86
81.25,159
81.5,235
81.75,309
82,54
82.25,125
