Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.23625
1,0.314925
1.25,0.330338
1.5,0.353037
1.75,0.370119
2,0.380965
2.25,0.396281
2.5,0.453561
2.75,0.435271
3,0.456207
3.25,0.475774
3.5,0.481212
3.75,0.510295
4,0.494266
4.25,0.504424
4.5,0.495335
4.75,0.524637
5,0.505575
5.25,0.529521
5.5,0.51847
5.75,0.518304
6,0.542655
6.25,0.524684
6.5,0.524906
6.75,0.527875
7,0.53136
7.25,0.545825
7.5,0.533211
7.75,0.52396
8,0.538365
8.25,0.544436
8.5,0.550597
8.75,0.544426
9,0.549443
9.25,0.550518
9.5,0.544432
9.75,0.544924
10,0.544192
10.25,0.545302
10.5,0.539324
10.75,0.532335
11,0.529711
11.25,0.534645
11.5,0.541413
11.75,0.537522
12,0.519725
12.25,0.531912
12.5,0.528997
12.75,0.52965
13,0.528418
13.25,0.525879
13.5,0.523335
13.75,0.526655
14,0.524941
14.25,0.519028
14.5,0.523426
14.75,0.521978
15,0.524032
15.25,0.519401
15.5,0.517279
15.75,0.518225
16,0.511605
16.25,0.513497
16.5,0.51344
16.75,0.514153
17,0.518162
17.25,0.516101
17.5,0.514215
17.75,0.517942
18,0.505484
18.25,0.509792
18.5,0.507846
18.75,0.506452
19,0.506054
19.25,0.504192
19.5,0.505531
19.75,0.507332
20,0.500951
20.25,0.502011
20.5,0.500033
20.75,0.501984
21,0.502377
21.25,0.496978
21.5,0.49885
21.75,0.499292
22,0.493706
22.25,0.49503
22.5,0.494589
22.75,0.492175
23,0.490959
23.25,0.489355
23.5,0.488667
23.75,0.487518
24,0.488264
24.25,0.486751
24.5,0.482701
24.75,0.482
25,0.479359
25.25,0.479332
25.5,0.476496
25.75,0.47597
26,0.472343
26.25,0.47035
26.5,0.467714
26.75,0.467344
27,0.462725
27.25,0.463551
27.5,0.457683
27.75,0.456951
28,0.45343
28.25,0.448598
28.5,0.447754
28.75,0.443144
29,0.440363
29.25,0.437335
29.5,0.434207
29.75,0.428867
30,0.424148
30.25,0.420841
30.5,0.417847
30.75,0.411587
31,0.407957
31.25,0.400922
31.5,0.396572
31.75,0.391505
32,0.385164
32.25,0.379039
32.5,0.370675
32.75,0.365375
33,0.361073
33.25,0.355328
33.5,0.347459
33.75,0.339162
34,0.33282
34.25,0.325336
34.5,0.318731
34.75,0.310221
35,0.305144
35.25,0.296488
35.5,0.290111
35.75,0.281145
36,0.274232
36.25,0.265086
36.5,0.261428
36.75,0.252573
37,0.246764
37.25,0.239805
37.5,0.232493
37.75,0.224325
38,0.218896
38.25,0.212611
38.5,0.204388
38.75,0.202805
39,0.195524
39.25,0.189205
39.5,0.179638
39.75,0.173943
40,0.172595
40.25,0.165196
40.5,0.160098
40.75,0.155734
41,0.149375
41.25,0.145736
41.5,0.144318
41.75,0.135202
42,0.134914
42.25,0.131502
42.5,0.127647
42.75,0.124685
43,0.121967
43.25,0.117526
43.5,0.113786
43.75,0.112498
44,0.109318
44.25,0.103447
44.5,0.106311
44.75,0.100612
45,0.0990113
45.25,0.093603
45.5,0.0977773
45.75,0.0900675
46,0.0898449
46.25,0.0873611
46.5,0.0918514
46.75,0.0852338
47,0.0864573
47.25,0.0875926
47.5,0.076442
47.75,0.0816899
48,0.0795876
48.25,0.0755456
48.5,0.074574
48.75,0.0730873
49,0.0729491
49.25,0.0710393
49.5,0.0640083
49.75,0.07085
50,0.0689814
50.25,0.0623855
50.5,0.065494
50.75,0.0640176
51,0.0638878
51.25,0.0601486
51.5,0.0594768
51.75,0.0584356
52,0.0625447
52.25,0.0596741
52.5,0.0576725
52.75,0.0604387
53,0.0600776
53.25,0.0560058
53.5,0.0610333
53.75,0.0582182
54,0.0558123
54.25,0.0519129
54.5,0.0549475
54.75,0.0555239
55,0.0463564
55.25,0.0587401
55.5,0.0536956
55.75,0.0558813
56,0.047429
56.25,0.0485342
56.5,0.0490016
56.75,0.0461701
57,0.0405008
57.25,0.0539071
57.5,0.0441398
57.75,0.0481753
58,0.0428289
58.25,0.0368171
58.5,0.0463951
58.75,0.0444673
59,0.0463492
59.25,0.0419227
59.5,0.0430814
59.75,0.042315
