Time,num_affected
0,12387
0.25,12387
0.5,12387
0.75,13057
1,14031
1.25,15296
1.5,16812
1.75,18438
2,20192
2.25,22087
2.5,24025
2.75,25970
3,28037
3.25,30091
3.5,32149
3.75,34327
4,36633
4.25,39119
4.5,41790
4.75,44564
5,47527
5.25,50668
5.5,54077
5.75,57488
6,60987
6.25,64729
6.5,68736
6.75,73037
7,77515
7.25,82143
7.5,86977
7.75,92272
8,98003
8.25,104051
8.5,110460
8.75,117457
9,124852
9.25,132522
9.5,140723
9.75,149385
10,158437
10.25,168132
10.5,178376
10.75,189332
11,200799
11.25,213104
11.5,226085
11.75,239703
12,254107
12.25,269119
12.5,285022
12.75,301921
13,319578
13.25,338362
13.5,358320
13.75,379192
14,401247
14.25,424384
14.5,448860
14.75,474917
15,502012
15.25,530524
15.5,560292
15.75,592059
16,625105
16.25,659894
16.5,696623
16.75,735171
17,775716
17.25,818462
17.5,863266
17.75,909979
18,959112
18.25,1011087
18.5,1065392
18.75,1122237
19,1181859
19.25,1244387
19.5,1309165
19.75,1377101
20,1448311
20.25,1521884
20.5,1599215
20.75,1680153
21,1764642
21.25,1852938
21.5,1943808
21.75,2038082
22,2135925
22.25,2237674
22.5,2343569
22.75,2453905
23,2567589
23.25,2685574
23.5,2807651
23.75,2933378
24,3062782
24.25,3195476
24.5,3331533
24.75,3472031
25,3616010
25.25,3763960
25.5,3914264
25.75,4068953
26,4225860
26.25,4385618
26.5,4547893
26.75,4712716
27,4879244
27.25,5048688
27.5,5219444
27.75,5391458
28,5564687
28.25,5738413
28.5,5912625
28.75,6087012
29,6261008
29.25,6434479
29.5,6607530
29.75,6779110
30,6948330
30.25,7116256
30.5,7281839
30.75,7444837
31,7605293
31.25,7763034
31.5,7917001
31.75,8068068
32,8215348
32.25,8358779
32.5,8499156
32.75,8634935
33,8767176
33.25,8894364
33.5,9017357
33.75,9136392
34,9251315
34.25,9361637
34.5,9467176
34.75,9569786
35,9668122
35.25,9762588
35.5,9853253
35.75,9939916
36,10022443
36.25,10102141
36.5,10177850
36.75,10249880
37,10318780
37.25,10384943
37.5,10447747
37.75,10507745
38,10565191
38.25,10619490
38.5,10671203
38.75,10720679
39,10767706
39.25,10812559
39.5,10855515
39.75,10896448
40,10934748
40.25,10971828
40.5,11007405
40.75,11041677
41,11073743
41.25,11104368
41.5,11133598
41.75,11161334
42,11187475
42.25,11212520
42.5,11236617
42.75,11259757
43,11281781
43.25,11302614
43.5,11322734
43.75,11341776
44,11360254
44.25,11377859
44.5,11394161
44.75,11410089
45,11425180
45.25,11439543
45.5,11453240
45.75,11466330
46,11478850
46.25,11490856
46.5,11502394
46.75,11513307
47,11523814
47.25,11533918
47.5,11543470
47.75,11552498
48,11561144
48.25,11569338
48.5,11577366
48.75,11585262
49,11592671
49.25,11599774
49.5,11606673
49.75,11613115
50,11619286
50.25,11625346
50.5,11631056
50.75,11636532
51,11641704
51.25,11646709
51.5,11651580
51.75,11656188
52,11660774
52.25,11665069
52.5,11669174
52.75,11673054
53,11676803
53.25,11680402
53.5,11683966
53.75,11687308
54,11690453
