Time,num_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,3
9.5,3
9.75,5
10,7
10.25,10
10.5,11
10.75,14
11,18
11.25,20
11.5,22
11.75,26
12,28
12.25,29
12.5,29
12.75,32
13,35
13.25,36
13.5,39
13.75,41
14,45
14.25,48
14.5,50
14.75,52
15,56
15.25,59
15.5,65
15.75,69
16,71
16.25,76
16.5,80
16.75,87
17,92
17.25,93
17.5,98
17.75,106
18,108
18.25,115
18.5,123
18.75,131
19,132
19.25,133
19.5,144
19.75,147
20,153
20.25,162
20.5,167
20.75,176
21,186
21.25,195
21.5,212
21.75,220
22,232
22.25,242
22.5,256
22.75,269
23,280
23.25,294
23.5,307
23.75,320
24,339
24.25,351
24.5,381
24.75,399
25,417
25.25,444
25.5,465
25.75,488
26,526
26.25,559
26.5,598
26.75,634
27,663
27.25,702
27.5,734
27.75,776
28,822
28.25,862
28.5,923
28.75,973
29,1021
29.25,1078
29.5,1130
29.75,1195
30,1271
30.25,1345
30.5,1416
30.75,1482
31,1580
31.25,1659
31.5,1756
31.75,1856
32,1950
32.25,2094
32.5,2207
32.75,2344
33,2480
33.25,2626
33.5,2749
33.75,2877
34,3013
34.25,3159
34.5,3296
34.75,3446
35,3627
35.25,3810
35.5,3976
35.75,4197
36,4375
36.25,4589
36.5,4808
36.75,5059
37,5286
37.25,5578
37.5,5838
37.75,6093
38,6342
38.25,6623
38.5,6936
38.75,7232
39,7490
39.25,7779
39.5,8103
39.75,8457
40,8782
40.25,9064
40.5,9322
40.75,9638
41,9984
41.25,10284
41.5,10668
41.75,11051
42,11411
42.25,11811
42.5,12214
42.75,12612
43,12945
43.25,13318
43.5,13668
43.75,13990
44,14407
44.25,14783
44.5,15136
44.75,15489
45,15866
45.25,16176
45.5,16489
45.75,16808
46,17106
46.25,17422
46.5,17665
46.75,17968
47,18277
47.25,18574
47.5,18759
47.75,18998
48,19260
48.25,19493
48.5,19738
48.75,19937
49,20087
49.25,20244
49.5,20400
49.75,20511
50,20605
50.25,20703
50.5,20727
50.75,20751
51,20830
51.25,20854
51.5,20908
51.75,20881
52,20793
52.25,20696
52.5,20649
52.75,20602
53,20461
53.25,20340
53.5,20221
53.75,20097
54,19982
54.25,19810
54.5,19665
54.75,19496
55,19267
55.25,19043
55.5,18885
55.75,18625
56,18352
56.25,18092
56.5,17896
56.75,17666
57,17439
57.25,17166
57.5,16885
57.75,16618
58,16362
58.25,16039
58.5,15809
58.75,15565
59,15258
59.25,14936
59.5,14622
59.75,14352
60,14091
60.25,13825
60.5,13518
60.75,13171
61,12940
61.25,12655
61.5,12394
61.75,12120
62,11884
62.25,11594
62.5,11317
62.75,11035
63,10795
63.25,10556
63.5,10293
63.75,10047
64,9799
64.25,9565
64.5,9284
64.75,9009
65,8741
65.25,8529
65.5,8280
65.75,8063
66,7821
66.25,7591
66.5,7354
66.75,7114
67,6930
67.25,6767
67.5,6586
67.75,6408
68,6242
68.25,6068
68.5,5888
68.75,5735
69,5548
69.25,5375
69.5,5180
69.75,5029
70,4827
70.25,4679
70.5,4546
70.75,4383
71,4246
71.25,4108
71.5,3979
71.75,3854
72,3745
72.25,3628
72.5,3529
72.75,3428
73,3322
73.25,3228
73.5,3132
73.75,3023
74,2940
74.25,2849
74.5,2758
74.75,2689
75,2591
75.25,2506
75.5,2435
75.75,2347
76,2268
76.25,2197
76.5,2129
76.75,2050
77,1983
77.25,1920
77.5,1886
77.75,1816
78,1771
78.25,1714
78.5,1655
78.75,1607
79,1568
79.25,1501
79.5,1452
79.75,1392
80,1337
80.25,1297
80.5,1249
80.75,1201
81,1175
81.25,1135
81.5,1091
81.75,1049
82,1014
82.25,993
82.5,955
82.75,903
83,877
83.25,838
83.5,800
83.75,781
84,736
84.25,712
84.5,683
84.75,654
85,626
