Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,3
1,4
1.25,8
1.5,15
1.75,19
2,24
2.25,31
2.5,35
2.75,48
3,56
3.25,67
3.5,76
3.75,94
4,105
4.25,111
4.5,122
4.75,131
5,143
5.25,152
5.5,170
5.75,187
6,207
6.25,228
6.5,246
6.75,263
7,276
7.25,295
7.5,319
7.75,336
8,356
8.25,380
8.5,401
8.75,426
9,455
9.25,481
9.5,519
9.75,559
10,595
10.25,636
10.5,675
10.75,716
11,761
11.25,801
11.5,862
11.75,913
12,961
12.25,1016
12.5,1063
12.75,1121
13,1206
13.25,1270
13.5,1360
13.75,1448
14,1530
14.25,1628
14.5,1737
14.75,1843
15,1937
15.25,2070
15.5,2185
15.75,2319
16,2466
16.25,2583
16.5,2745
16.75,2913
17,3062
17.25,3224
17.5,3414
17.75,3627
18,3839
18.25,4075
18.5,4321
18.75,4573
19,4834
19.25,5092
19.5,5391
19.75,5697
20,6001
20.25,6344
20.5,6726
20.75,7105
21,7490
21.25,7937
21.5,8391
21.75,8842
22,9328
22.25,9897
22.5,10477
22.75,11072
23,11716
23.25,12356
23.5,13028
23.75,13728
24,14474
24.25,15292
24.5,16127
24.75,17046
25,17972
25.25,18938
25.5,19941
25.75,20943
26,21994
26.25,23153
26.5,24335
26.75,25615
27,26897
27.25,28157
27.5,29589
27.75,31096
28,32605
28.25,34139
28.5,35752
28.75,37476
29,39264
29.25,41126
29.5,42941
29.75,44863
30,46937
30.25,49137
30.5,51333
30.75,53625
31,55825
31.25,58108
31.5,60612
31.75,63149
32,65725
32.25,68309
32.5,70958
32.75,73738
33,76645
33.25,79569
33.5,82523
33.75,85476
34,88584
34.25,91593
34.5,94678
34.75,97903
35,101095
35.25,104384
35.5,107628
35.75,111061
36,114401
36.25,117790
36.5,121211
36.75,124648
37,128146
37.25,131661
37.5,135157
37.75,138646
38,142152
38.25,145749
38.5,149221
38.75,152770
39,156191
39.25,159691
39.5,163154
39.75,166659
40,170040
40.25,173416
40.5,176808
40.75,180169
41,183528
41.25,186856
41.5,190150
41.75,193362
42,196587
42.25,199724
42.5,202885
42.75,205959
43,209019
43.25,211990
43.5,214984
43.75,217763
44,220591
44.25,223353
44.5,226045
44.75,228882
45,231436
45.25,234095
45.5,236667
45.75,239145
46,241575
46.25,244080
46.5,246383
46.75,248723
47,250978
47.25,253169
47.5,255371
47.75,257461
48,259458
48.25,261424
48.5,263455
48.75,265381
49,267302
49.25,269060
49.5,270856
49.75,272609
50,274260
50.25,275866
50.5,277412
50.75,278994
51,280518
51.25,281948
51.5,283290
51.75,284643
52,286040
52.25,287283
52.5,288577
52.75,289820
53,291059
53.25,292179
53.5,293322
53.75,294403
54,295489
54.25,296511
54.5,297540
54.75,298497
55,299455
55.25,300368
55.5,301229
55.75,302080
56,302905
56.25,303662
56.5,304494
56.75,305215
57,305910
57.25,306597
57.5,307256
57.75,307931
58,308538
58.25,309151
58.5,309751
58.75,310349
59,310887
59.25,311419
59.5,311934
59.75,312439
60,312952
60.25,313443
60.5,313885
60.75,314309
61,314710
61.25,315054
61.5,315421
61.75,315826
62,316189
62.25,316535
62.5,316899
62.75,317204
63,317541
63.25,317851
63.5,318164
63.75,318446
64,318743
64.25,318974
64.5,319243
64.75,319498
65,319754
65.25,319983
65.5,320189
65.75,320421
66,320619
66.25,320829
66.5,321022
66.75,321224
67,321381
67.25,321551
67.5,321728
67.75,321858
68,322042
68.25,322200
68.5,322344
68.75,322481
69,322609
69.25,322725
69.5,322846
69.75,322959
70,323093
70.25,323204
70.5,323324
70.75,323411
71,323522
71.25,323610
71.5,323705
71.75,323782
72,323864
72.25,323948
72.5,324035
72.75,324114
73,324185
73.25,324256
73.5,324328
73.75,324391
74,324452
74.25,324526
74.5,324590
74.75,324648
75,324705
75.25,324755
75.5,324795
75.75,324834
76,324876
76.25,324914
76.5,324961
76.75,325000
77,325042
77.25,325081
77.5,325110
77.75,325157
78,325191
78.25,325223
78.5,325253
78.75,325289
79,325322
79.25,325358
79.5,325391
79.75,325411
80,325434
80.25,325454
80.5,325480
80.75,325509
81,325536
81.25,325561
81.5,325576
81.75,325598
