Time,num_infected
0,0
0.25,1249
0.5,2221
0.75,2932
1,3572
1.25,4013
1.5,4363
1.75,4701
2,4978
2.25,5246
2.5,5508
2.75,5812
3,6108
3.25,6454
3.5,6791
3.75,7164
4,7545
4.25,7957
4.5,8405
4.75,8941
5,9449
5.25,9932
5.5,10510
5.75,11025
6,11735
6.25,12476
6.5,13187
6.75,13914
7,14762
7.25,15548
7.5,16566
7.75,17571
8,18708
8.25,19967
8.5,21030
8.75,22104
9,23446
9.25,25045
9.5,26467
9.75,28040
10,29695
10.25,31409
10.5,33482
10.75,35562
11,37698
11.25,39914
11.5,42126
11.75,44627
12,47266
12.25,50096
12.5,53174
12.75,56474
13,59663
13.25,63074
13.5,66850
13.75,70774
14,75136
14.25,79732
14.5,84498
14.75,89245
15,94623
15.25,100050
15.5,105743
15.75,111671
16,117830
16.25,124737
16.5,131731
16.75,139411
17,147354
17.25,155260
17.5,163980
17.75,173356
18,183249
18.25,193305
18.5,203865
18.75,214924
19,226408
19.25,238748
19.5,251125
19.75,264583
20,278845
20.25,293190
20.5,308624
20.75,324920
21,341823
21.25,359222
21.5,377504
21.75,396350
22,416658
22.25,437654
22.5,459318
22.75,482028
23,505354
23.25,530291
23.5,555911
23.75,582562
24,609654
24.25,637546
24.5,666765
24.75,698088
25,728634
25.25,760893
25.5,794060
25.75,828599
26,863598
26.25,898785
26.5,935267
26.75,972386
27,1010935
27.25,1049017
27.5,1088793
27.75,1129575
28,1169958
28.25,1210703
28.5,1252382
28.75,1293360
29,1335935
29.25,1377684
29.5,1419041
29.75,1461267
30,1503019
30.25,1544231
30.5,1584857
30.75,1624413
31,1664181
31.25,1702654
31.5,1739837
31.75,1776698
32,1812531
32.25,1847271
32.5,1879412
32.75,1909720
33,1939793
33.25,1967239
33.5,1992634
33.75,2016573
34,2039568
34.25,2061160
34.5,2079738
34.75,2095661
35,2109884
35.25,2121883
35.5,2132004
35.75,2139470
36,2145317
36.25,2148631
36.5,2149016
36.75,2148632
37,2144861
37.25,2139396
37.5,2132770
37.75,2123489
38,2112877
38.25,2100699
38.5,2086263
38.75,2070179
39,2053238
39.25,2033940
39.5,2013691
39.75,1992420
40,1969251
40.25,1945267
40.5,1919798
40.75,1894068
41,1866540
41.25,1838077
41.5,1809177
41.75,1779431
42,1749189
42.25,1719091
42.5,1688640
42.75,1657930
43,1626862
43.25,1595244
43.5,1562989
43.75,1530548
44,1497951
44.25,1466225
44.5,1434115
44.75,1402488
45,1370504
45.25,1338716
45.5,1307553
45.75,1276517
46,1245143
46.25,1214006
46.5,1183505
46.75,1153424
47,1124094
47.25,1094905
47.5,1065855
47.75,1037273
48,1009419
48.25,981252
48.5,954050
48.75,927765
49,901637
49.25,876227
49.5,851048
49.75,826385
50,802741
50.25,778852
50.5,755893
50.75,733833
51,711849
51.25,690415
51.5,669387
51.75,648882
52,629107
52.25,609598
52.5,590878
52.75,572406
53,554648
53.25,537345
53.5,520199
53.75,503591
54,487533
54.25,471656
54.5,456346
54.75,441697
55,427363
55.25,413433
55.5,399984
55.75,386985
56,374209
56.25,361974
56.5,349928
56.75,338439
57,326766
57.25,315610
57.5,305077
57.75,294737
58,284743
58.25,275034
58.5,265897
58.75,256798
59,247948
59.25,239474
59.5,231091
59.75,223009
60,215343
60.25,207977
60.5,200688
60.75,193424
61,186560
61.25,180127
61.5,173956
61.75,167811
62,162040
62.25,156521
62.5,151020
62.75,145758
63,140680
63.25,135792
63.5,130933
63.75,126365
64,121888
64.25,117718
64.5,113406
64.75,109268
65,105399
65.25,101765
65.5,98114
65.75,94566
66,91137
66.25,87796
66.5,84493
66.75,81266
67,78259
67.25,75552
67.5,72869
67.75,70288
68,67614
68.25,65123
68.5,62924
68.75,60718
69,58508
69.25,56385
69.5,54253
69.75,52239
70,50223
70.25,48453
70.5,46623
70.75,44906
71,43264
71.25,41713
71.5,40225
71.75,38738
72,37289
72.25,35908
72.5,34649
72.75,33366
73,32122
73.25,30952
73.5,29760
73.75,28661
74,27629
74.25,26588
74.5,25609
74.75,24657
75,23765
75.25,22883
75.5,21987
75.75,21136
76,20343
76.25,19520
76.5,18826
76.75,18126
77,17502
77.25,16854
77.5,16304
77.75,15673
78,15117
78.25,14564
78.5,14006
78.75,13503
79,13009
79.25,12514
79.5,12032
79.75,11551
80,11090
80.25,10695
80.5,10289
80.75,9917
81,9557
81.25,9188
81.5,8890
81.75,8586
82,8254
82.25,7951
82.5,7678
82.75,7330
83,7052
83.25,6784
83.5,6522
83.75,6302
84,6031
84.25,5832
84.5,5595
84.75,5372
85,5149
85.25,4965
85.5,4783
85.75,4584
86,4392
86.25,4232
86.5,4071
86.75,3898
87,3744
87.25,3592
87.5,3453
87.75,3355
88,3247
88.25,3119
88.5,3016
88.75,2897
89,2775
89.25,2678
89.5,2584
89.75,2469
90,2366
90.25,2282
90.5,2182
90.75,2115
91,2042
91.25,1963
91.5,1883
91.75,1829
92,1750
92.25,1696
92.5,1628
92.75,1582
93,1516
93.25,1453
93.5,1383
93.75,1337
94,1284
94.25,1237
94.5,1196
94.75,1151
95,1112
95.25,1066
95.5,1009
95.75,972
96,938
96.25,904
96.5,863
96.75,826
97,789
97.25,765
97.5,741
97.75,717
98,686
98.25,663
98.5,628
98.75,607
99,584
99.25,567
99.5,540
99.75,523
100,499
100.25,490
100.5,471
100.75,453
101,435
101.25,410
101.5,398
101.75,386
102,378
102.25,366
102.5,352
102.75,334
103,324
103.25,310
103.5,294
103.75,283
104,270
104.25,260
104.5,250
104.75,245
105,231
105.25,218
105.5,212
105.75,206
106,198
106.25,191
106.5,181
106.75,168
107,156
107.25,151
107.5,142
107.75,137
108,135
108.25,131
108.5,124
108.75,124
109,121
109.25,120
109.5,109
109.75,105
110,100
110.25,97
110.5,92
110.75,86
111,86
111.25,82
111.5,80
111.75,79
112,77
112.25,72
112.5,70
112.75,72
113,69
113.25,65
113.5,60
113.75,56
114,52
114.25,51
114.5,50
114.75,50
115,49
115.25,49
115.5,46
115.75,45
116,40
116.25,38
116.5,37
116.75,37
117,35
117.25,34
117.5,30
117.75,29
118,29
118.25,29
118.5,30
118.75,28
119,28
119.25,27
119.5,28
119.75,25
