Time,num_recovered
0,0
0.25,0
0.5,228
0.75,561
1,938
1.25,1338
1.5,1758
1.75,2153
2,2572
2.25,2994
2.5,3437
2.75,3863
3,4311
3.25,4782
3.5,5298
3.75,5795
4,6323
4.25,6879
4.5,7472
4.75,8083
5,8751
5.25,9435
5.5,10175
5.75,11013
6,11822
6.25,12727
6.5,13663
6.75,14683
7,15715
7.25,16903
7.5,18051
7.75,19303
8,20642
8.25,22104
8.5,23657
8.75,25358
9,26997
9.25,28770
9.5,30666
9.75,32668
10,34811
10.25,37159
10.5,39498
10.75,42041
11,44806
11.25,47742
11.5,50900
11.75,54073
12,57475
12.25,60980
12.5,64748
12.75,68650
13,73002
13.25,77479
13.5,82302
13.75,87442
14,92767
14.25,98455
14.5,104593
14.75,111112
15,117797
15.25,125063
15.5,132739
15.75,140925
16,149460
16.25,158281
16.5,167741
16.75,177612
17,188112
17.25,199455
17.5,211188
17.75,223488
18,236472
18.25,250261
18.5,264883
18.75,280235
19,296483
19.25,313321
19.5,331360
19.75,350145
20,369862
20.25,390779
20.5,412694
20.75,435557
21,459895
21.25,485487
21.5,512483
21.75,540738
22,570129
22.25,601421
22.5,633961
22.75,667971
23,703944
23.25,740799
23.5,779814
23.75,821001
24,864006
24.25,908937
24.5,955637
24.75,1003981
25,1055249
25.25,1108289
25.5,1163715
25.75,1221359
26,1281196
26.25,1343708
26.5,1408752
26.75,1476173
27,1545676
27.25,1618844
27.5,1694030
27.75,1771677
28,1852089
28.25,1935246
28.5,2020833
28.75,2109404
29,2200210
29.25,2294121
29.5,2390626
29.75,2489280
30,2590615
30.25,2694672
30.5,2801336
30.75,2910660
31,3021489
31.25,3134796
31.5,3250829
31.75,3368418
32,3488103
32.25,3609136
32.5,3732640
32.75,3857558
33,3983472
33.25,4111504
33.5,4240081
33.75,4370163
34,4500475
34.25,4631483
34.5,4763896
34.75,4897221
35,5030596
35.25,5164073
35.5,5297577
35.75,5430889
36,5563728
36.25,5696837
36.5,5829412
36.75,5960733
37,6092140
37.25,6222803
37.5,6351675
37.75,6479680
38,6606467
38.25,6731577
38.5,6855827
38.75,6979041
39,7100140
39.25,7220105
39.5,7337693
39.75,7453759
40,7568358
40.25,7681018
40.5,7791367
40.75,7899950
41,8007112
41.25,8112444
41.5,8215228
41.75,8316633
42,8415214
42.25,8511305
42.5,8605456
42.75,8697486
43,8787360
43.25,8875970
43.5,8962561
43.75,9047420
44,9129908
44.25,9209836
44.5,9287735
44.75,9363890
45,9438445
45.25,9510769
45.5,9580985
45.75,9649507
46,9716316
46.25,9781179
46.5,9844305
46.75,9905465
47,9964618
47.25,10022329
47.5,10078727
47.75,10133245
48,10186443
48.25,10238236
48.5,10288100
48.75,10336266
49,10383411
49.25,10428774
49.5,10473119
49.75,10515995
50,10557298
50.25,10597646
50.5,10636489
50.75,10673813
51,10710263
51.25,10745507
51.5,10779752
51.75,10812833
52,10844764
52.25,10875669
52.5,10905428
52.75,10934488
53,10962272
53.25,10989228
53.5,11015379
53.75,11040773
54,11065448
54.25,11089256
54.5,11112138
54.75,11134130
55,11155488
55.25,11176057
55.5,11195739
55.75,11214873
56,11233495
56.25,11251411
56.5,11268816
56.75,11285491
57,11302024
57.25,11317796
57.5,11332886
57.75,11347471
58,11361454
58.25,11375031
58.5,11387855
58.75,11400465
59,11412709
59.25,11424384
59.5,11435915
59.75,11446977
60,11457562
60.25,11467745
60.5,11477666
60.75,11487320
61,11496583
61.25,11505275
61.5,11513621
61.75,11521865
62,11529645
62.25,11537081
62.5,11544440
62.75,11551458
63,11558165
63.25,11564660
63.5,11571050
63.75,11577107
64,11582965
64.25,11588529
64.5,11594123
64.75,11599457
65,11604449
65.25,11609217
65.5,11613972
65.75,11618514
66,11622900
66.25,11627173
66.5,11631344
66.75,11635418
67,11639208
67.25,11642744
67.5,11646224
67.75,11649571
68,11652932
68.25,11656095
68.5,11658980
68.75,11661781
69,11664617
69.25,11667285
69.5,11669951
69.75,11672499
70,11674936
70.25,11677213
70.5,11679488
70.75,11681608
71,11683692
71.25,11685652
71.5,11687564
71.75,11689396
72,11691213
72.25,11692934
72.5,11694510
72.75,11696086
