wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
1,0.024821208,0.039263631,0.040402062,0.082032178,0.049277365,0.004588262,0.095097467,0.004118288,0.004592197,0.003514972,0.004122659,0.001778908,0.000518065,0.000878743,0.00089623,0.003956529,0.001967335,0.00077819,0.005165347,0.002461136,0.025534257,0.000990225,0.017961767,0.004645096,0.002159696,0.001490803,0.001622614,0.000157387,0.000743215,0.004371855,0.005285573,0.003635198,0.003358022,0.00306008,0.011144515,0.005849542,0.000996783,0.016442547,0.008540419,0.000349748,0.027192939,0.003676293,0.000228211,0.00061206,0.001272428,0.000667582,0.001372763,0.001075476,0.000153015,0.000456859,0.001807762,0.000273241,0.000478718,3.50E-05,6.56E-05,0.000335103,0.000410954,0.000546482,0.000371608,0.001112637,0.002032257,0.001061486,0.00119767,0.006340064,0.007269302,0.000596321,0.000544296,0.015207935,0.00020657,0.000262311,0.000240452,0.000349748,0.00112619,0.002972643,0.00170087,0.00106717,0.005329947,0.000478718,0.000865627,0.001730817,0.000990444,0.00030603,0.001471129,0.001552009,0.001409705,0.00097711,0.000174874,0.002579395,0.002591636,0.000585829,0.000498391,0.000754145,0.021953708,0.000626487,0.018772527,0.004233923,0.000632607,0.000516097,0.001495612,0.000956125,0.003622738,0.002696997,0.012044024,0.008440085,0.000777972,0.000757205,0.000655341,0.000983667,0.030599926,0.004741277,0.005821125,0.000495987,0.000218593,0.000347125,0.000268869,0.000253568,0.000712612,0.000938637,0.013672103,0.078905646,0.001848858,0.00168535,0.002442118,0.002596445,0.001214064,0.001151984,0.023111812,0.001055803,0.002731535,0.001169034,0.00931686,0.001806888,0.001749179,0.002583985,0.003727225,0.001368828,0.013351864,0.059736591,0.019213648,0.002459169,0.002790118,0.001230896,0.00089776,0.000242638,0.00024701,0.000196733,0.000218593,0.000109296,0.000174874,0.001849295,0.001308933,0.000284171,0.000275427,0.000617525,0.002047777,0.001756611,0.001243574,0.002503543,0.000653811,0.000842456,0.001191549,0.001459107,0.00195881,0.000247228,0.000176404,0.000201761,0.000544296,0.000131156,0.000732286,0.000109296,0.000153015,0.000286357,0.000131156,0.000284171,4.37E-05,0.000196733,0.000131156,0.00015695,0.0001211,0.00013509,0.000162852,0.000412485,0.000811635,0.000490522,0.000178809,0.000168754,0.000196733,0.000662336,6.56E-05,0.000131156,0.000109296,0.000153015,0.000349748,0.000295975,0.000252256,7.15E-05,0.000131156,0.001826124
2,0.034744834,0.055909742,0.013673266,0.122750608,0.013643147,0.032722009,0.039132098,0.005757793,0.007222475,0.005087317,0.005897532,0.00361368,0.00160415,0.000995811,0.001275289,0.001200942,0.002844708,0.000906269,0.007092776,0.003458203,0.026480963,0.001329556,0.007776548,0.013712067,0.000596944,0.002116437,0.00172978,0.001260636,0.001070428,0.001275289,0.001546627,0.005128289,0.00477772,0.003804702,0.014342657,0.008037032,0.001329556,0.023484848,0.011500119,0.000488408,0.038801337,0.005249034,0.001639696,0.000868282,0.00185758,0.000957009,0.009116958,0.001438092,0.00021707,0.000352739,0.001415842,0.000556243,0.004174807,0.00012373,0.000607797,0.001239472,0.000461275,0.00078688,0.00249631,0.001546627,0.0025693,0.001216137,0.008844263,0.0053942,0.036577993,0.000938558,0.002308815,0.001615004,0.000298472,0.000379873,0.000352739,0.000488408,0.001277459,0.001286956,0.002150897,0.003141009,0.001537401,0.000678345,0.001031084,0.002469176,0.000331032,0.000700052,0.024401428,0.002197838,0.004618987,0.001302423,0.000244204,0.003663063,0.0023118,0.000732613,0.000629504,0.001031084,0.040670313,0.000988756,0.003220782,0.001262264,0.000855529,0.000907354,0.004839585,0.002714737,0.0099326,0.002402698,0.000395611,0.00911343,0.001561822,0.002057014,0.001699119,0.001614733,0.023121798,0.006352023,0.007117196,0.00056981,0.000325606,0.000244204,0.001014804,0.000287618,0.00093883,0.001089693,0.013624967,0.000915766,0.001217765,0.00106066,0.011562527,0.014045813,0.002910372,0.01961991,0.000278393,0.003479367,0.000384757,0.00036495,0.003736867,0.0096751,0.005691044,0.015433707,0.004674883,0.001355605,0.010065284,0.003843232,0.017775897,0.000665864,0.001390065,0.001038953,0.001042481,0.000206217,0.000206217,0.000189937,0.000260485,0.000162803,0.000244204,0.001143147,0.001625315,0.000298472,0.000895415,0.000189665,0.000524496,0.000568724,0.000871538,0.007969469,0.000419217,0.008623936,0.000890803,0.000810215,0.000377974,0.000211915,0.000204589,0.000204318,0.000436854,0.000189937,0.000244204,0.000162803,0.00021707,0.000298472,0.00021707,8.14E-05,5.43E-05,0.000271338,0.000189937,0.000258856,0.00021897,0.000194821,0.000221955,0.000248546,0.00024122,0.000455848,0.00028599,0.000280564,0.000298472,0.000841148,0.000488408,0.000868282,0.000135669,0.000244204,0.000515542,0.000448522,0.00038937,0.000426543,0.000194821,0.010179517
3,0.02832796,0.008993989,0.054479631,0.107266916,0.01141969,0.006644984,0.018431888,0.005014761,0.00812059,0.022018286,0.026677643,0.015493713,0.004201183,0.018458577,0.001049951,0.004634662,0.002661307,0.003750678,0.001572548,0.002895072,0.103392759,0.001089065,0.004166364,0.007057448,0.000504651,0.000368135,0.003921554,0.00977965,0.004307635,0.001043048,0.001309639,0.000885824,0.001032311,0.001708145,0.013231219,0.00658194,0.005290401,0.019149443,0.04710436,0.000423662,0.031478272,0.004280639,0.001164993,0.000705591,0.006509081,0.00077523,0.001570554,0.001315775,0.000858981,0.000292667,0.001194597,0.013450873,0.028188682,0.001126645,0.001329733,0.034645457,0.000783667,0.000644236,0.002040079,0.001265003,0.002635537,0.000683657,0.00598771,0.002093766,0.003976468,0.001381579,0.00349145,0.000476734,0.001144745,0.00030954,0.001319149,0.001910005,0.001052558,0.00081005,0.001058694,0.002206507,0.004566557,0.000148328,0.000852845,0.002056339,0.001559817,0.002144538,0.074403998,0.002395176,0.009430536,0.002848135,0.000199406,0.000631658,0.001992222,0.000157684,0.000565393,0.000194805,0.038622385,0.002758095,0.003104909,0.000596685,0.00066571,0.000795017,0.002500401,0.001355502,0.000821094,0.001017432,0.000907759,0.0007829,0.000877848,0.002471564,0.002875131,0.001520396,0.016507464,0.006768462,0.007652752,0.00063672,0.000280089,0.000473973,0.000388075,0.000220574,0.000765413,0.000766947,0.008068284,0.00060098,0.006912188,0.005937858,0.001071885,0.001194597,0.000749614,0.000704978,0.000904998,0.000773696,0.001510119,0.000361846,0.000835205,0.00075529,0.000799926,0.000981079,0.00029144,0.00026383,0.001182019,0.000230084,0.001702623,0.000122712,0.00013805,0.000674913,0.00013805,0.000153389,0.000153389,0.00013805,4.91E-05,0.000288372,0.000348501,0.000236987,0.001326205,0.000245423,0.000153389,0.00013805,0.000153389,0.000184067,0.000348194,0.000706818,0.000322118,0.000299109,0.000736269,0.00013805,0.000153389,0.000153389,0.000153389,0.00013805,0.000168728,0.000153389,0.000184067,0.00013805,0.000184067,0.000248491,0.000168728,7.67E-05,6.14E-05,0.000217813,0.000153389,0.000184067,0.000122712,0.000153389,0.000184067,0.000153389,0.00013805,0.000322118,0.000199406,0.000184067,0.000230084,0.000674913,7.67E-05,0.000153389,0.000122712,0.000184067,0.000414151,0.000322118,0.00029144,6.14E-05,3.07E-05,0.001518095
4,0.029365254,0.046942973,0.04978163,0.101727792,0.011410349,0.064273044,0.013635603,0.004915561,0.005790899,0.00451361,0.023907488,0.010731462,0.00228788,0.003907827,0.001071551,0.004753637,0.002428372,0.003817102,0.006207851,0.002918666,0.02109693,0.001119175,0.020826185,0.009042936,0.008124736,0.002381224,0.009993521,0.009643719,0.00105893,0.001071551,0.001300148,0.00431954,0.003987836,0.002943193,0.010722413,0.006805538,0.005443478,0.019683912,0.010697172,0.000404808,0.032479895,0.004435268,0.001573513,0.000738179,0.007359411,0.00079009,0.007658016,0.001228712,0.000881053,0.001818064,0.001422067,0.001839972,0.003113212,0.003484921,0.000312893,0.006931743,0.000548158,0.000666743,0.002095477,0.001319198,0.001951651,0.000685316,0.002172867,0.004183572,0.00386044,0.000690555,0.00281413,0.000699127,0.000253124,0.000309559,0.001357298,0.001933078,0.001047739,0.000891054,0.001100602,0.000963205,0.001989751,0.000552444,0.000907246,0.002230254,0.005896863,0.003565407,0.005267267,0.001857355,0.004430029,0.001143464,0.000190498,0.003071779,0.002009753,0.000626262,0.000569113,0.000878672,0.012166626,0.000652932,0.003906874,0.001798062,0.000727464,0.000587686,0.001386349,0.000971063,0.000900579,0.001019402,0.000971777,0.00115918,0.000569351,0.000605307,0.000615785,0.001045834,0.019871314,0.005576826,0.006228806,0.000521488,0.000261935,0.000254791,0.000912009,0.000259553,0.000831047,0.001622566,0.010885289,0.00363089,0.001513744,0.001932839,0.001709004,0.001461119,0.000635072,0.00076723,0.000960824,0.000884387,0.000378376,0.000290033,0.003359431,0.000830333,0.001185373,0.002280974,0.004643863,0.000920819,0.086544632,0.055509188,0.011533934,0.001315388,0.006536222,0.000736751,0.000769612,0.000264316,0.000240504,0.000197642,0.00025241,0.000183354,0.000451956,0.000278603,0.001497314,0.000283366,0.000295272,0.000198832,0.000439098,0.002591248,0.001426115,0.012973384,0.000943917,0.006515743,0.00155732,0.00122133,0.00020288,0.000186926,0.000149303,0.000198832,0.000309083,0.000142873,0.000709605,0.000142873,0.000221454,0.000314322,0.000166686,7.14E-05,4.76E-05,0.00021431,0.000142873,0.000190498,0.000125491,0.000142873,0.000190498,0.000177639,0.000166448,0.000333133,0.000190498,0.000166686,0.000238122,0.000738179,7.14E-05,0.000690555,0.000119061,0.000190498,0.000404808,7.57E-05,0.000290033,0.000309559,0.000166686,0.007497284
5,0.008797919,0.014204155,0.018497086,0.040898952,0.094226384,0.094347174,0.041913297,0.043204981,0.116240724,0.001466944,0.0022316,0.007820996,0.000490436,0.001040956,0.00035343,0.001530769,0.000748441,0.00024948,0.001912682,0.004522452,0.031330555,0.001746361,0.058436578,0.008264447,0.003834095,0.002765072,0.006114552,0.002081081,0.001499584,0.008128896,0.012085237,0.002209979,0.001268191,0.004449064,0.003280457,0.002162162,0.001746361,0.006555092,0.003233055,0.000666944,0.010644488,0.006856755,0.001746361,0.00022869,0.002120582,0.001226611,0.004692307,0.012097711,0.001392931,0.0299212,0.002672557,0.005163201,0.004872972,0.000181705,0.00035738,0.009010393,0.000717256,0.001018711,0.003264033,0.010428272,0.002954261,0.000939709,0.002016632,0.001128066,0.001520998,0.001081081,0.000893971,0.00016632,0.00039501,0.000502703,0.00045738,0.000636798,0.00035343,0.001302079,0.001517671,0.001372141,0.000810811,0.001351351,0.001351351,0.000759044,0.004343866,0.000802495,0.023476294,0.005548647,0.025727645,0.007903948,6.24E-05,0.000997921,0.001110187,0.000212058,0.000887734,0.001636174,0.00154054,0.000914761,0.000935551,0.000935551,0.001060291,0.000852391,0.002079002,0.00031185,0.00022869,0.00033264,0.00031185,0.00018711,0.00016632,0.000727651,0.000873181,0.001496881,0.029553008,0.010174634,0.009927233,0.000761538,0.0004158,0.000315592,0.000336798,0.000467775,0.000347193,0.000575883,0.016399165,0.000239085,0.000935551,0.000997921,0.0002079,0.00022869,0.00018711,0.0002079,0.00031185,0.00024948,0.00051975,0.00045738,0.00043659,0.00018711,0.00022869,0.000253638,0.00022869,0.00027027,0.00022869,0.000463617,0.003652806,0.000230769,0.000241164,0.000318087,0.0004158,0.000449064,0.000355509,0.000286902,0.000168399,0.000247401,0.000139085,0.031640326,0.000796258,0.00047817,0.000293139,0.000380457,0.000320166,0.000422037,8.52E-05,0.00022869,0.00010395,0.00010395,0.000343035,0.00022869,0.00012474,0.000411642,0.000272349,0.000276507,0.000532224,0.000320166,0.000370062,0.000241164,0.000330561,0.000130977,0.00027027,0.00012474,8.32E-05,0.000114345,0.000268191,0.000338877,0.0002079,0.000328482,0.00029106,0.000261954,0.00022869,0.000108108,6.24E-05,0.00029106,0.000118503,0.00114553,0.000185031,0.000280665,0.00018711,0.00031185,0.00014553,0.00012474,0.00047817,0.00010395,6.24E-05,0.00047817
6,0.004247299,0.001721679,0.001607996,0.006121513,0.041101668,0.159053465,0.017805205,0.003702794,0.000963143,0.006857864,0.000802331,0.002367567,0.001812257,0.000298863,0.001710759,0.000724167,0.000356336,0.000563241,0.004448456,0.160790777,0.016273879,0.000928658,0.089778355,0.020634286,0.001823062,0.006448538,0.01333238,0.005642758,0.004089821,0.020115759,0.024069942,0.000762215,0.002978052,0.002176295,0.008330683,0.001034525,0.00086084,0.00314484,0.004433628,0.000312426,0.005193774,0.00328749,0.000839115,0.000540252,0.006684294,0.00287368,0.006661305,0.024786063,0.003230016,0.010733079,0.004680075,0.0002184,0.000379326,9.08E-05,0.000443121,0.018792027,0.002159513,0.002344923,0.007620999,0.024359379,0.007667552,0.002188595,0.003007019,0.000939463,0.002024565,0.000517262,0.000436799,0.000362543,0.000183916,0.000257942,0.000234952,0.000357946,0.000838655,0.001204762,0.000754858,0.000705431,0.000536688,0.002041692,0.003149553,0.001575581,0.000802676,0.001255223,0.005898515,0.011682083,0.004609382,0.003793257,0.000701178,0.002298944,0.001507188,0.002183997,0.001867317,0.003117138,0.000902335,0.000436799,0.000617266,0.000747157,0.000541401,0.000433351,0.001049238,0.000754398,0.00070727,0.000516803,0.002651372,0.00063106,0.00094728,0.000829689,0.000464732,0.001243154,0.017965786,0.019272391,0.004439031,0.001714782,0.000942567,0.00072934,0.00063221,0.000795205,0.002839196,0.000597725,0.030242606,0.000628761,0.001378217,0.001367872,0.001384884,0.001481095,0.000471054,0.000604622,0.000364612,0.000802331,0.000341968,0.000257367,0.000749456,0.000594277,0.00081647,0.000734513,0.000519561,0.000643704,0.000535654,0.001271316,0.01074147,0.000489675,0.00052301,0.00058738,0.000540252,0.0005883,0.00056531,0.000540252,0.000712673,0.00051094,0.003101505,0.009862929,0.004784792,0.000942567,0.00056531,0.000528757,0.000664165,0.000210353,0.00015288,0.000560942,0.000252884,0.000242539,0.000141385,0.000550597,0.000126442,0.000126442,0.000114947,0.000517262,0.000620715,0.000563241,0.000703247,0.000505768,0.000666694,0.000908083,0.00063221,0.001310398,0.000206905,0.000172421,0.000114947,0.000712673,0.000448294,0.000574736,0.000149431,0.000114947,0.000114947,0.000252884,0.000160926,0.000149431,0.000183916,0.000540252,0.000310357,0.000551747,0.000436799,0.000701178,0.000333347,0.000252884,0.000229894,0.000252884,0.000126442,0.000310932
7,0.033303222,0.213747254,0.008139024,0.01654286,0.009983185,0.007058085,0.048619441,0.021562795,0.004782977,0.000727811,0.004028153,0.001567592,0.001049727,0.000349909,0.000937756,0.000853778,0.000419891,0.000657829,0.00519265,0.002572251,0.09105179,0.004776958,0.007870994,0.029605244,0.002105753,0.001553596,0.004870734,0.016700738,0.000902205,0.000937756,0.001177094,0.003791614,0.003480195,0.002544678,0.008405375,0.001217683,0.004744767,0.017145543,0.008285846,0.000363905,0.005976446,0.003848999,0.000979745,0.000643833,0.00580849,0.00334513,0.006753244,0.001109911,0.0007698,0.004633635,0.001125168,0.000254454,0.000463,8.40E-05,0.001734149,0.03777534,0.001716374,0.00272929,0.001833523,0.001160298,0.002339212,0.002605423,0.004162518,0.003087037,0.00311405,0.002928039,0.002466159,0.000419891,0.000209945,0.000279927,0.001189691,0.00169356,0.00092376,0.003548078,0.000868194,0.003780417,0.002301002,0.000519265,0.001032931,0.002932938,0.001496351,0.001479135,0.002029612,0.001969008,0.005397417,0.000989543,0.000825785,0.0026936,0.006140484,0.000595545,0.00065363,0.003668446,0.009112051,0.002494292,0.003515466,0.002988223,0.002954212,0.00234579,0.005748306,0.000890169,0.000707376,0.000941955,0.001064283,0.000717873,0.000493792,0.000472377,0.002437886,0.004120109,0.03792776,0.005072281,0.006072321,0.003688181,0.001094236,0.000941955,0.000824526,0.00100144,0.0007698,0.001751645,0.044786117,0.003973987,0.001131886,0.001259812,0.00119081,0.001419511,0.000524304,0.000651251,0.00096113,0.000842161,0.001361426,0.000263272,0.001449743,0.000638374,0.000950773,0.001541139,0.001027333,0.00169104,0.003327775,0.014723053,0.014821727,0.002506888,0.002483794,0.001523364,0.001056725,0.000764201,0.000780997,0.000618639,0.000222542,0.000167816,0.000167956,0.001057145,0.001510347,0.001060924,0.000779597,0.001017535,0.002045988,0.002010157,0.001631276,0.001512447,0.000355368,0.000761822,0.001470878,0.001618819,0.002150961,0.00080661,0.000699538,0.000689181,0.001095075,0.000965749,0.001132306,0.000554256,0.000755804,0.000278528,0.000701218,0.000377902,0.000253334,0.000200148,0.000622838,0.000850559,0.000612621,0.000711995,0.000850559,0.001255894,0.000723052,0.000488893,0.000979325,0.00115442,0.001004939,0.00280627,0.000362506,0.000641033,0.000488473,0.0007712,0.000390498,0.000402395,0.000334793,0.000711995,0.000172155,0.002478756
8,0.004282898,0.006805065,0.007062503,0.014718927,0.008597704,0.033848818,0.013144422,0.018606603,0.021249875,0.000871083,0.001090087,0.001604528,0.001569574,0.000320238,0.00018579,0.000727788,0.000398558,0.000672385,0.004661296,0.002192502,0.016125481,0.004113497,0.003284329,0.023007996,0.001834989,0.001334327,0.007849321,0.004552954,0.002833994,0.000812199,0.001438607,0.003402823,0.00298367,0.002305774,0.007613203,0.005172111,0.000876595,0.031601639,0.007626401,0.000319078,0.00672283,0.004233441,0.011735402,0.000551135,0.005068265,0.002874313,0.005899609,0.001494156,0.000667163,0.001312861,0.000914884,0.001812654,0.001422363,1.71E-05,0.000210156,0.048631996,0.005968211,0.002349575,0.001566383,0.001004661,0.002505923,0.000610164,0.004822865,0.002967426,0.001153177,0.001572765,0.005407213,0.006987665,0.000625828,0.000332711,0.001051942,0.002332751,0.001168406,0.009669081,0.010675628,0.004266944,0.003588903,0.000486159,0.000788558,0.00177886,0.006283373,0.000516906,0.002043115,0.004076077,0.000992768,0.00089893,0.000145035,0.002306064,0.001488789,0.000460633,0.000424084,0.000650774,0.020666978,0.000459908,0.001310541,0.000473686,0.000523288,0.002538411,0.008889515,0.001228741,0.007207249,0.016596266,0.006196061,0.005804611,0.001033813,0.00122787,0.001320403,0.001711999,0.027928615,0.004060704,0.004551649,0.001746517,0.00020305,0.00073388,0.00065411,0.000823366,0.000607699,0.000930983,0.013886423,0.000901251,0.004482612,0.003664757,0.002159288,0.002354216,0.003736404,0.005013152,0.006316876,0.003082439,0.000849618,0.000746208,0.018729303,0.001240489,0.001125911,0.002620066,0.036807107,0.000845412,0.005568493,0.011251418,0.012896991,0.002669813,0.001424829,0.000513426,0.000885152,0.000597546,0.000555486,0.000520677,0.000160989,0.000110227,0.000151562,0.000174043,0.001012638,0.000197248,0.000555486,0.000541272,0.00206168,0.001370875,0.021785781,0.061385112,0.005693513,0.054488529,0.001104445,0.002152182,0.000122555,0.000118929,0.000115158,0.000522853,0.000716765,0.000188111,0.000729529,0.000481518,0.000139234,0.000192897,0.000597546,0.000274117,0.000194348,0.00016244,0.00012183,0.000702407,0.000194057,0.000549685,0.000139234,0.000146631,0.000108051,0.000250476,0.00018347,0.000297468,0.000179844,0.000516326,0.000292972,0.000535181,0.000411901,0.000150837,0.00032488,0.00030791,0.000297033,0.000262369,0.000135608,0.112278647
9,0.004763442,0.007349795,0.008781568,0.016008165,0.001927563,0.026245258,0.012507362,0.020542962,0.023570423,0.020409977,0.006053225,0.008801796,0.002953073,0.001557711,0.000894352,0.003810753,0.001941918,0.003415453,0.001728151,0.000588318,0.018230278,0.000900486,0.000748709,0.118813415,0.000566654,0.001435558,0.009007081,0.015795181,0.016288752,0.000182707,0.000399868,0.000943422,0.000664794,0.000660618,0.007946073,0.005607811,0.004451534,0.021484688,0.007929499,0.000339314,0.02648839,0.019512231,0.000900486,0.000587274,0.005358285,0.000644435,0.001444563,0.000791645,0.000717779,0.001112688,0.001219441,0.002320253,0.00033566,2.36E-05,0.002349486,0.289786907,0.011797936,0.000535072,0.001696568,0.001069491,0.001872098,0.000525153,0.003814929,0.00286446,0.002803253,0.001345118,0.005959522,0.000736833,0.000198107,0.00026101,0.001098593,0.001555362,0.000848284,0.000809263,0.001690043,0.004379626,0.002119405,0.000503098,0.000822575,0.001695394,0.036535206,0.000478563,0.004131013,0.022475745,0.001059442,0.00105905,0.000156606,0.000522021,0.001666552,0.000512886,0.000474648,0.00073605,0.008387181,0.002283842,0.000520846,0.000524631,0.000572918,0.002768277,0.005919849,0.001054352,0.006784185,0.000838496,0.000771286,0.003208994,0.000596278,0.002019308,0.002480905,0.00123458,0.013729152,0.005297208,0.005404353,0.000522021,0.000208808,0.00025579,0.000307992,0.000194453,0.000656441,0.000639476,0.006713843,0.00049592,0.000865772,0.001036212,0.000661009,0.000725479,0.002069944,0.004487684,0.00074388,0.000852199,0.00125285,0.000234909,0.000460031,0.000553864,0.000674451,0.000830666,0.001465574,0.000853504,0.000650047,0.000913537,0.006773222,0.000482869,0.000535072,0.000561173,0.000561173,0.000130505,0.000587274,0.000117455,0.000168352,0.000228384,0.00017305,0.000182707,0.001137092,0.000214029,0.000130505,0.000117455,0.000626425,0.000156606,0.001850564,0.00062251,0.00026101,0.000293637,0.000613375,0.000117455,0.000130505,0.000130505,0.000117455,0.000117455,0.000130505,0.000130505,0.000156606,0.000117455,0.000148776,0.000203588,0.000155301,0.000461989,0.000227079,0.000182707,0.000117455,0.000156606,0.000104404,0.000130505,0.000156606,0.000117455,0.000561173,0.000274061,0.000169657,0.000156606,0.000195758,0.000561173,0.000331483,0.000621205,0.000104404,0.000161827,0.000352364,0.000274061,0.000234909,0.00026101,0.000130505,0.001401626
10,0.003098506,0.00497906,0.026386873,0.010471995,0.001304232,0.006452757,0.005887161,0.00072648,0.015553783,0.014726243,0.00438653,0.007166605,0.000686438,0.001053015,0.000606592,0.002602268,0.006868672,0.010701761,0.00383452,0.001646975,0.011342675,0.003000783,0.002526474,0.283284921,0.002040247,0.001000817,0.017191462,0.000789642,0.000754129,0.000595866,0.000781777,0.000507202,0.002168954,0.001573087,0.005304403,0.019098711,0.003034152,0.052547556,0.005472676,0.001096394,0.086595603,0.014135382,0.002979332,0.001930607,0.018734041,0.00209745,0.000924785,0.000707413,0.000504818,0.000743165,0.000679288,0.000195683,0.000324628,0,0.000126324,0.071133822,0.032150094,0.005972965,0.001144064,0.00071504,0.00102489,0.001596922,0.002389424,0.001925364,0.001892472,0.002378699,0.004774082,0.001287072,0.000643536,0.000834213,0.000738874,0.001048725,0.00281249,0.002192789,0.002602268,0.00276196,0.0013867,0.000324151,0.000476693,0.001322347,0.026606867,0.001092819,0.001174334,0.001275154,0.003384521,0.00077415,0.000181143,0.001966359,0.001186966,0.00036467,0.000352753,0.000498144,0.002551738,0.001549253,0.001618373,0.001611223,0.001832885,0.001627907,0.003921993,0.002595118,0.001811434,0.002680207,0.000524362,0.001577378,0.001446287,0.001334264,0.001654125,0.002931663,0.009343186,0.017444586,0.005181655,0.000409956,0.000767476,0.000824679,0.000803228,0.000572032,0.000455242,0.000429024,0.022190067,0.001620757,0.00173707,0.001888897,0.001834792,0.00186101,0.001501583,0.00173993,0.000500528,0.002073615,0.000858048,0.000762709,0.000476693,0.00155831,0.001990194,0.000581566,0.000741258,0.000922401,0.000405189,0.00066737,0.00490994,0.00035752,0.000381355,0.000405189,0.000405189,0.000452859,0.000429024,0.000405189,0.000119173,0.000238347,0.000119173,0.000143008,0.000812762,0.000143008,0.000429024,0.000405189,0.000452859,0.000524362,0.000943852,0.001975893,0.000905717,0.000850897,0.000452859,0.000405189,0.000452859,0.000452859,0.000405189,0.000381355,0.000476693,0.000429024,0.000524362,0.000381355,0.000109639,0.000143008,0.000490994,0.000622085,0.000166843,0.000143008,9.53E-05,0.000548197,0.000333685,9.53E-05,0.000524362,0.000429024,0.000405189,0.000190677,0.000119173,0.000524362,0.000143008,0.000405189,0.000238347,0.000464776,7.15E-05,0.000119173,0.000262181,0.000190677,0.000166843,0.000190677,9.53E-05,0.000810378
