wardIndex,wardNo,wardName,Employed,Unemployment,totalWorkForce
0,1,Kempegowda Ward,14794,19989,34783
1,2,Chowdeswari Ward,16865,19737,36602
2,3,Atturu,23818,34311,58129
3,4,Yelahanka Satellite Town,17722,24264,41986
4,5,Jakkuru,20445,31580,52025
5,6,Thanisandra,28442,43413,71855
6,7,Byatarayanapura,32155,39999,72154
7,8,Kodigehalli,20690,26856,47546
8,9,Vidyaranyapura,23935,33260,57195
9,10,Dodda Bommasandra,16278,20118,36396
10,11,Kuvempu Nagar,14587,22541,37128
11,12,Shettihalli,25695,35376,61071
12,13,Mallasandra,18336,23146,41482
13,14,Bagalakunte,28278,36835,65113
14,15,T Dasarahalli,15657,17385,33042
15,16,Jalahalli,16389,21570,37959
16,17,J P Park,20881,28729,49610
17,18,Radhakrishna Temple Ward,15041,20081,35122
18,19,SanJayanagar,12927,19564,32491
19,20,Ganga Nagar,10684,16677,27361
20,21,Hebbala,13610,18906,32516
21,22,Vishwanath Nagenahalli,21176,30416,51592
22,23,Nagavara,21012,39471,60483
23,24,HBR Layout,24149,34818,58967
24,25,Horamavu,41385,53983,95368
25,26,Ramamurthy Nagar,20273,27085,47358
26,27,Banasavadi,22860,28408,51268
27,28,Kammanahalli,21673,25401,47074
28,29,Kacharkanahalli,14490,19098,33588
29,30,Kadugondanahalli,16423,29325,45748
30,31,Kushal Nagar,14359,27577,41936
31,32,Kaval Bairasandra,17038,22296,39334
32,33,Manorayana Palya,18374,29552,47926
33,34,Gangenahalli,9748,14560,24308
34,35,Aramane Nagara,14761,21977,36738
35,36,Mattikere,15345,21691,37036
36,37,Yeshwanthpura,16911,24196,41107
37,38,HMT Ward,18252,18627,36879
38,39,Chokkasandra,33082,26207,59289
39,40,Dodda Bidarakallu,37037,35757,72794
40,41,Peenya Industrial Area,34557,23257,57814
41,42,Lakshmi Devi Nagar,22023,19329,41352
42,43,Nandini Layout,24523,26677,51200
43,44,Marappana Palya,18024,22188,40212
44,45,Malleshwaram,13572,20624,34196
45,46,Jayachamarajendra Nagar,12301,19148,31449
46,47,Devara Jeevanahalli,16403,25732,42135
47,48,Muneshwara Nagar,12555,23259,35814
48,49,Lingarajapura,14916,23039,37955
49,50,Benniganahalli,22549,26545,49094
50,51,Vijnanapura,18945,27214,46159
51,52,KR Puram,14711,20457,35168
52,53,Basavanapura,19676,28909,48585
53,54,Hudi,23792,26399,50191
54,55,Devasandra,15274,18672,33946
55,56,A Narayanapura,18226,25217,43443
56,57,C.V. Raman Nagar,27027,31788,58815
57,58,New Tippa Sandra,20369,23614,43983
58,59,Maruthi Seva Nagar,16327,24035,40362
59,60,Sagayara Puram,14167,21167,35334
60,61,SK Garden,13916,24134,38050
61,62,Ramaswamy Palya,13349,21045,34394
62,63,Jaya Mahal,8297,13431,21728
63,64,Raj Mahal Guttahalli,12586,18532,31118
64,65,Kadu Malleshwar Ward,14776,20833,35609
65,66,Subramanya Nagar,14550,21159,35709
66,67,Nagapura,14481,20093,34574
67,68,Kempegowda Ward,19345,25270,44615
68,69,Chowdeswari Ward,29114,27963,57077
69,70,Atturu,33382,28097,61479
70,71,Yelahanka Satellite Town,34123,32191,66314
71,72,Jakkuru,27498,34774,62272
72,73,Thanisandra,31196,37726,68922
73,74,Byatarayanapura,19666,24178,43844
74,75,Kodigehalli,20727,28007,48734
75,76,Vidyaranyapura,13440,19796,33236
76,77,Dodda Bommasandra,14716,18672,33388
77,78,Kuvempu Nagar,10906,17929,28835
78,79,Shettihalli,16480,20811,37291
79,80,Mallasandra,15847,19381,35228
80,81,Bagalakunte,26336,30726,57062
81,82,T Dasarahalli,25721,23910,49631
82,83,Jalahalli,17920,26022,43942
83,84,J P Park,22359,28197,50556
84,85,Radhakrishna Temple Ward,30091,32992,63083
85,86,SanJayanagar,19700,20068,39768
86,87,Ganga Nagar,16457,23469,39926
87,88,Hebbala,16818,21433,38251
88,89,Vishwanath Nagenahalli,14541,19252,33793
89,90,Nagavara,16802,18288,35090
90,91,HBR Layout,11471,21218,32689
91,92,Horamavu,12723,24783,37506
92,93,Ramamurthy Nagar,9339,13476,22815
93,94,Banasavadi,13224,17984,31208
94,95,Kammanahalli,16569,21124,37693
95,96,Kacharkanahalli,16137,21973,38110
96,97,Kadugondanahalli,15565,20156,35721
97,98,Kushal Nagar,12836,20077,32913
98,99,Kaval Bairasandra,13728,19356,33084
99,100,Manorayana Palya,12810,17523,30333
100,101,Gangenahalli,12835,17216,30051
101,102,Aramane Nagara,24334,26559,50893
102,103,Mattikere,25022,28510,53532
103,104,Yeshwanthpura,11117,15756,26873
104,105,HMT Ward,12259,16096,28355
105,106,Chokkasandra,10519,13662,24181
106,107,Dodda Bidarakallu,15995,20466,36461
107,108,Peenya Industrial Area,14002,19864,33866
108,109,Lakshmi Devi Nagar,12158,21134,33292
109,110,Nandini Layout,11017,16487,27504
110,111,Marappana Palya,9700,13295,22995
111,112,Malleshwaram,13005,17633,30638
112,113,Jayachamarajendra Nagar,18567,19541,38108
113,114,Devara Jeevanahalli,17913,19003,36916
114,115,Muneshwara Nagar,15016,22044,37060
115,116,Lingarajapura,20245,28289,48534
116,117,Benniganahalli,18144,23951,42095
117,118,Vijnanapura,12509,16275,28784
118,119,KR Puram,9850,17226,27076
119,120,Basavanapura,14910,22434,37344
120,121,Hudi,15957,21397,37354
121,122,Devasandra,18454,21578,40032
122,123,A Narayanapura,17162,23169,40331
123,124,C.V. Raman Nagar,16097,21250,37347
124,125,New Tippa Sandra,9230,11941,21171
125,126,Maruthi Seva Nagar,12938,16381,29319
126,127,Sagayara Puram,19206,24523,43729
127,128,SK Garden,14997,20783,35780
128,129,Ramaswamy Palya,28464,39668,68132
129,130,Jaya Mahal,24050,34149,58199
130,131,Raj Mahal Guttahalli,21144,21641,42785
131,132,Kadu Malleshwar Ward,17295,24192,41487
132,133,Subramanya Nagar,14292,20821,35113
133,134,Nagapura,20011,29473,49484
134,135,Kempegowda Ward,13034,24565,37599
135,136,Chowdeswari Ward,14498,24141,38639
136,137,Atturu,13644,22395,36039
137,138,Yelahanka Satellite Town,9579,15222,24801
138,139,Jakkuru,11421,17923,29344
139,140,Thanisandra,12991,19222,32213
140,141,Byatarayanapura,16191,22634,38825
141,142,Kodigehalli,14022,20644,34666
142,143,Vidyaranyapura,12345,20117,32462
143,144,Dodda Bommasandra,14559,20320,34879
144,145,Kuvempu Nagar,15851,22458,38309
145,146,Shettihalli,12411,18256,30667
146,147,Mallasandra,14153,20146,34299
147,148,Bagalakunte,21409,25595,47004
148,149,T Dasarahalli,23100,31525,54625
149,150,Jalahalli,42330,37850,80180
150,151,J P Park,18350,19966,38316
151,152,Radhakrishna Temple Ward,19939,20058,39997
152,153,SanJayanagar,15662,22489,38151
153,154,Ganga Nagar,14346,18294,32640
154,155,Hebbala,15339,21643,36982
155,156,Vishwanath Nagenahalli,17521,23858,41379
156,157,Nagavara,15794,18859,34653
157,158,HBR Layout,20835,25093,45928
158,159,Horamavu,16631,24140,40771
159,160,Ramamurthy Nagar,24660,32237,56897
160,161,Banasavadi,19699,27106,46805
161,162,Kammanahalli,18897,24298,43195
162,163,Kacharkanahalli,19663,25909,45572
163,164,Kadugondanahalli,18769,24714,43483
164,165,Kushal Nagar,10790,15208,25998
165,166,Kaval Bairasandra,11569,15471,27040
166,167,Manorayana Palya,13745,19011,32756
167,168,Gangenahalli,11281,17072,28353
168,169,Aramane Nagara,13390,18676,32066
169,170,Mattikere,14422,19505,33927
170,171,Yeshwanthpura,18431,30560,48991
171,172,HMT Ward,20277,22347,42624
172,173,Chokkasandra,15047,18474,33521
173,174,Dodda Bidarakallu,30718,32315,63033
174,175,Peenya Industrial Area,21811,21774,43585
175,176,Lakshmi Devi Nagar,25978,26272,52250
176,177,Nandini Layout,13075,15771,28846
177,178,Marappana Palya,13448,17586,31034
178,179,Malleshwaram,12159,13712,25871
179,180,Jayachamarajendra Nagar,18108,24063,42171
180,181,Devara Jeevanahalli,19931,27251,47182
181,182,Muneshwara Nagar,16684,24353,41037
182,183,Lingarajapura,18827,24537,43364
183,184,Benniganahalli,25161,32048,57209
184,185,Vijnanapura,19410,27533,46943
185,186,KR Puram,17025,21269,38294
186,187,Basavanapura,22061,27146,49207
187,188,Hudi,22694,27190,49884
188,189,Devasandra,38626,29928,68554
189,190,A Narayanapura,34274,31616,65890
190,191,C.V. Raman Nagar,34577,36427,71004
191,192,New Tippa Sandra,39729,40308,80037
192,193,Maruthi Seva Nagar,31525,26830,58355
193,194,Sagayara Puram,22779,29132,51911
194,195,SK Garden,25446,31889,57335
195,196,Ramaswamy Palya,19194,26414,45608
196,197,Jaya Mahal,27907,34150,62057
197,198,Raj Mahal Guttahalli,21182,29258,50440
