wardIndex,wardNo,wardName,Households
0,1,Kempegowda Ward,8647
1,2,Chowdeswari Ward,9506
2,3,Atturu,14605
3,4,Yelahanka Satellite Town,10583
4,5,Jakkuru,12387
5,6,Thanisandra,16470
6,7,Byatarayanapura,18691
7,8,Kodigehalli,12036
8,9,Vidyaranyapura,14448
9,10,Dodda Bommasandra,8379
10,11,Kuvempu Nagar,8519
11,12,Shettihalli,15530
12,13,Mallasandra,11221
13,14,Bagalakunte,17117
14,15,T Dasarahalli,8849
15,16,Jalahalli,9191
16,17,J P Park,12553
17,18,Radhakrishna Temple Ward,9058
18,19,Sanjaya Nagar,8153
19,20,Ganga Nagar,6592
20,21,Hebbala,8181
21,22,Vishwanath Nagenahalli,12704
22,23,Nagavara,12295
23,24,HBR Layout,13612
24,25,Horamavu,23999
25,26,Ramamurthy Nagar,11674
26,27,Banasavadi,12922
27,28,Kammanahalli,11479
28,29,Kacharkanahalli,8700
29,30,Kadugondanahalli,9758
30,31,Kushal Nagar,8192
31,32,Kaval Bairasandra,9540
32,33,Manorayanapalya,10572
33,34,Gangenahalli,6058
34,35,Aramane Nagara,8825
35,36,Mattikere,9592
36,37,Yeshwanthpura,10326
37,38,HMT Ward,9524
38,39,Chokkasandra,16537
39,40,Dodda Bidarakallu,19506
40,41,Peenya Industrial Area,15805
41,42,Lakshmi Devi Nagar,10620
42,43,Nandini Layout,13291
43,44,Marappana Palya,10051
44,45,Malleswaram,8503
45,46,Jayachamarajendra Nagar,7696
46,47,Devara Jeevanahalli,8941
47,48,Muneshwara Nagar,7419
48,49,Lingarajapura,8850
49,50,Benniganahalli,12384
50,51,Vijnanapura,11087
51,52,K R Puram,8961
52,53,Basavanapura,11936
53,54,Hudi,12579
54,55,Devasandra,8638
55,56,A Narayanapura,11039
56,57,C V Raman Nagar,16710
57,58,New Tippasandara,12200
58,59,Maruthi Seva Nagar,10113
59,60,Sagayarapuram,7340
60,61,S K Garden,7941
61,62,Ramaswamy Palya,7530
62,63,Jayamahal,4808
63,64,Rajamahal Guttahalli,7641
64,65,Kadu Malleshwar Ward,9823
65,66,Subramanya Nagar,9383
66,67,Nagapura,8667
67,68,Mahalakshimpuram,11563
68,69,Laggere,15178
69,70,Rajagopal Nagar,17262
70,71,Hegganahalli,18438
71,72,Herohalli,16215
72,73,Kottegepalya,17739
73,74,Shakthi Ganapathi Nagar,11074
74,75,Shankar Matt,12433
75,76,Gayithri Nagar,8489
76,77,Dattatreya Temple,8325
77,78,Pulikeshinagar,6595
78,79,Sarvagna Nagar,9052
79,80,Hoysala Nagar,8877
80,81,Vijnana Nagar,15419
81,82,Garudachar Playa,13453
82,83,Kadugodi,11423
83,84,Hagadur,13419
84,85,Dodda Nekkundi,17755
85,86,Marathahalli,11051
86,87,HAL Airport,10044
87,88,Jeevanbhima Nagar,9741
88,89,Jogupalya,8806
89,90,Halsoor,7771
90,91,Bharathi Nagar,7074
91,92,Shivaji Nagar,7276
92,93,Vasanth Nagar,5304
93,94,Gandhinagar,6599
94,95,Subhash Nagar,8711
95,96,Okalipuram,8693
96,97,Dayananda Nagar,8253
97,98,Prakash Nagar,8276
98,99,Rajaji Nagar,8398
99,100,Basaveshwara Nagar,7495
100,101,Kamakshipalya,7482
101,102,Vrisabhavathi Nagar,13443
102,103,Kaveripura,14168
