wardIndex,wardNo,wardName,totalPopulation,hd_flag,area(sq m)
0,1,NARELA,55512,0,1659
1,2,BANKNER,61344,0,11405
2,3,ALIPUR,38361,0,10902
3,4,TIKRI KHURD,31827,0,4545
4,5,QADI PUR,54336,0,12398
5,6,MUKAND PUR,123588,0,5057
6,7,BURARI,71843,0,2281
7,8,JHARODA MAAJRA BURARI,89403,0,6617
8,9,MALKAGANJ,59765,0,-8531
9,10,TIMAR PUR,61766,0,-123381
10,11,MUKHERJEE NAGAR,42359,0,-41742
11,12,G.T.B. NAGAR,39062,0,-9103
12,13,DHIR PUR,46578,0,10367
13,14,ADARASH  NAGAR,49815,0,-3423
14,15,SARAI PIPAL THALA,37157,0,-20815
15,16,JAHANGIRPURI-I,25798,0,-63613
16,17,SAMAYPUR BADLI,40116,0,-107751
17,18,LIBAS PUR,74820,0,3405
18,19,BHALSWA JAHANGIR PUR – I,82976,0,-128166
19,20,BHALSWA JAHANGIR PUR – II,42026,0,-82788
20,21,ROHINI,92432,0,465
21,22,RITHALA,52541,0,1008
22,23,BUDH VIHAR,94843,0,1851
23,24,VIJAY VIHAR,77614,0,3823
24,25,POOTH KALAN,93767,0,-7029
25,26,SAHIBABAD DAULAT PUR,54712,0,-125035
26,27,BEGUM PUR,73284,0,2825
27,28,BAWANA,87629,0,1939
28,29,KARALA,69052,0,1015
29,30,RANI KHERA,48287,0,101330
30,31,NANGLOI JAT WEST,66035,0,28709
31,32,NILOTHI,76623,0,-12240
32,33,PREM NAGAR,111756,0,100293
33,34,NITHARI,54578,0,-54491
34,35,KIRARI SULEMAN NAGAR – I,89046,0,-17043
35,36,KIRARI SULEMAN NAGAR – II,80712,0,805
36,37,SULTANPURI  EAST,57789,0,-12726
37,38,MANGOL PURI  NORTH,53599,0,-14549
38,39,SULTANPUR MAJRA,50329,0,-12274
39,40,SULTANPURI  SOUTH,37312,0,-60186
40,41,GURU HARKISHAN NAGAR,51975,0,1573
41,42,PERAGHARHI,23465,0,-47697
42,43,NANGLOI EAST,73557,0,-4972
43,44,QUAMMRUDDIN NAGAR,90499,0,981
44,45,ROHINI SOUTH,59062,0,-13982
45,46,MANGOLPURI  EAST,67434,0,484
46,47,MANGOLPURI,49678,0,-16166
47,48,MANGOLPURI  WEST,52888,0,919
48,49,ROHINI NORTH,60752,0,-68747
49,50,ROHINI CENTRAL,58558,0,926
50,51,ROHINI EAST,48118,0,2152
51,52,NAHARPUR,49787,0,1543
52,53,PITAMPURA SOUTH,51528,0,2404
53,54,PITAMPUR NORTH,52124,0,-45307
54,55,SHALIMAR BAGH NORTH,50780,0,-22550
55,56,SHALIMAR BAGH SOUTH,43703,0,-9730
56,57,PASCHIM VIHAR SOUTH,40762,0,-67814
57,58,PASCHIM VIHAR NORTH,41633,0,-5748
58,59,RANI BAGH,52413,0,-32641
