wardIndex,wardNo,wardName,Employed,Unemployed,hd_flag
0,1,NARELA,16545.0,38967.0,0
1,2,BANKNER,18498.0,42846.0,0
2,3,ALIPUR,11249.0,27112.0,0
3,4,TIKRI KHURD,10185.0,21642.0,0
4,5,QADI PUR,8259.0,19626.0,0
5,6,MUKAND PUR,37305.0,86283.0,0
6,7,BURARI,21296.0,50547.0,0
7,8,JHARODA MAAJRA BURARI,27256.0,62147.0,0
8,9,MALKAGANJ,10941.0,19324.0,0
9,10,TIMAR PUR,11795.0,23443.0,0
10,11,MUKHERJEE NAGAR,9230.0,17177.0,0
11,12,G.T.B. NAGAR,7548.0,13430.0,0
12,13,DHIR PUR,15954.0,30624.0,0
13,14,ADARASH  NAGAR,8731.0,16629.0,0
14,15,SARAI PIPAL THALA,7739.0,14054.0,0
15,16,JAHANGIRPURI-I,7605.0,15896.0,0
16,17,SAMAYPUR BADLI,9123.0,18750.0,0
17,18,LIBAS PUR,23490.0,51330.0,0
18,19,BHALSWA JAHANGIR PUR – I,14817.0,33446.0,0
19,20,BHALSWA JAHANGIR PUR – II,10208.0,21402.0,0
20,21,ROHINI,31787.0,60645.0,0
21,22,RITHALA,17919.0,34622.0,0
22,23,BUDH VIHAR,28641.0,66202.0,0
23,24,VIJAY VIHAR,24323.0,53291.0,0
24,25,POOTH KALAN,15135.0,32866.0,0
25,26,SAHIBABAD DAULAT PUR,13041.0,28826.0,0
26,27,BEGUM PUR,21589.0,51695.0,0
27,28,BAWANA,26605.0,61024.0,0
28,29,KARALA,20748.0,48304.0,0
29,30,RANI KHERA,17490.0,37673.0,0
30,31,NANGLOI JAT WEST,20253.0,45782.0,0
31,32,NILOTHI,13127.0,28205.0,0
32,33,PREM NAGAR,31213.0,80543.0,0
33,34,NITHARI,8822.0,22431.0,0
34,35,KIRARI SULEMAN NAGAR – I,12915.0,32456.0,0
35,36,KIRARI SULEMAN NAGAR – II,23009.0,57703.0,0
36,37,SULTANPURI  EAST,9218.0,20730.0,0
37,38,MANGOL PURI  NORTH,8633.0,19992.0,0
38,39,SULTANPUR MAJRA,7827.0,18399.0,0
39,40,SULTANPURI  SOUTH,6819.0,16071.0,0
40,41,GURU HARKISHAN NAGAR,18881.0,33094.0,0
41,42,PERAGHARHI,7648.0,14427.0,0
42,43,NANGLOI EAST,11022.0,25909.0,0
43,44,QUAMMRUDDIN NAGAR,27134.0,63365.0,0
44,45,ROHINI SOUTH,10819.0,20579.0,0
45,46,MANGOLPURI  EAST,9685.0,20755.0,0
46,47,MANGOLPURI,8322.0,19266.0,0
47,48,MANGOLPURI  WEST,7973.0,18552.0,0
48,49,ROHINI NORTH,13023.0,23767.0,0
49,50,ROHINI CENTRAL,22849.0,35709.0,0
50,51,ROHINI EAST,17880.0,30238.0,0
51,52,NAHARPUR,18394.0,31393.0,0
52,53,PITAMPURA SOUTH,19344.0,32184.0,0
53,54,PITAMPUR NORTH,9700.0,18374.0,0
54,55,SHALIMAR BAGH NORTH,10733.0,18958.0,0
55,56,SHALIMAR BAGH SOUTH,8574.0,15010.0,0
56,57,PASCHIM VIHAR SOUTH,10371.0,17265.0,0
57,58,PASCHIM VIHAR NORTH,7927.0,13284.0,0
58,59,RANI BAGH,11105.0,17065.0,0
59,60,SARASWATI VIHAR,8134.0,13675.0,0
60,61,TRI NAGAR,8332.0,17659.0,0
61,62,RAMPURA,9877.0,17766.0,0
62,63,KOHAT ENCLAVE,8913.0,16639.0,0
63,64,SHAKUR PUR,8008.0,16495.0,0
64,65,NIMRI COLONY,9718.0,18502.0,0
65,66,SAWAN PARK,8320.0,15354.0,0
66,67,WAJIRPUR,9095.0,16063.0,0
67,68,ASHOK VIHAR,10550.0,16555.0,0
68,69,KAMLA NAGAR,8208.0,14235.0,0
69,70,RANA PRATAP BAGH,8282.0,15648.0,0
70,71,SANGAM PARK,8668.0,16055.0,0
71,72,MODEL TOWN,7252.0,12264.0,0
72,73,SHASTRI NAGAR,18684.0,39793.0,0
73,74,INDER LOK COLONY,8892.0,17494.0,0
74,75,KISHAN GANJ,10327.0,18908.0,0
75,76,DEPUTY GANJ,8508.0,16461.0,0
76,77,KASHMERE GATE,3157.0,4487.0,0
77,78,MAJNU KA TILA,8796.0,15504.0,0
78,79,JAMA MASJID,17114.0,33338.0,0
79,80,CHANDNI CHOWK,7628.0,11509.0,0
80,81,MINTO ROAD,6842.0,10914.0,0
81,82,KUCHA PANDIT,16264.0,31070.0,0
82,83,BAZAR SITARAM,13655.0,28068.0,0
83,84,TURKMAN GATE,14739.0,32031.0,0
84,85,IDGAH ROAD,15023.0,28811.0,0
85,86,BALLIMARAN,13781.0,27020.0,0
86,87,RAM NAGAR,15875.0,32615.0,0
87,88,QASABPURA,9415.0,19626.0,0
88,89,PAHAR GANJ,8657.0,15336.0,0
89,90,MODEL BASTI,8868.0,14900.0,0
90,91,KAROL BAGH,10206.0,15382.0,0
91,92,DEV NAGAR,8873.0,17165.0,0
92,93,BALJIT NAGAR,8228.0,16029.0,0
93,94,WEST PATEL NAGAR,10762.0,21143.0,0
94,95,EAST PATEL NAGAR,10175.0,18023.0,0
95,96,NEW RANJIT NAGAR,9800.0,16970.0,0
96,97,KIRTI NAGAR,10284.0,16465.0,0
97,98,MANSAROWER GARDEN,9562.0,14876.0,0
98,99,MOTI NAGAR,9414.0,16513.0,0
99,100,KARAM PURA,9765.0,15045.0,0
100,101,RAJA GARDEN,10840.0,18617.0,0
101,102,RAGHUBIR NAGAR,11408.0,19798.0,0
102,103,PUNJABI BAGH,9457.0,15526.0,0
103,104,MADIPUR,8241.0,16132.0,0
104,105,RAJOURI GARDEN,16755.0,26985.0,0
105,106,TAGORE GARDEN,8013.0,14518.0,0
106,107,VISHNU GARDEN,19124.0,39284.0,0
107,108,KHYALA,9490.0,19996.0,0
108,109,JANAK PURI NORTH,17922.0,29284.0,0
109,110,NANGAL RAYA,8257.0,14316.0,0
110,111,HARI NAGAR,10452.0,15720.0,0
111,112,SUBHASH NAGAR,16438.0,29813.0,0
112,113,MAHAVIR NAGAR,8511.0,14559.0,0
113,114,TILAK NAGAR,8826.0,15709.0,0
114,115,MAJOR BHUPINDAR SINGH NAGAR,19903.0,37752.0,0
115,116,VIKASPURI EAST,8273.0,14316.0,0
116,117,JANAK PURI WEST,18500.0,31972.0,0
117,118,JANAK PURI SOUTH,16850.0,23789.0,0
118,119,MILAP NAGAR,11026.0,21597.0,0
119,120,SITA PURI,19772.0,44480.0,0
120,121,KUNWAR SINGH NAGAR,39016.0,91962.0,0
121,122,HASTSAL,41595.0,104120.0,0
122,123,VIKAS PURI,9807.0,16680.0,0
123,124,VIKAS NAGAR,11253.0,21874.0,0
124,125,MOHAN GARDEN,33982.0,76487.0,0
125,126,NAWADA,13759.0,27405.0,0
126,127,UTTAM NAGAR,17113.0,36342.0,0
127,128,BINDAPUR,22766.0,48677.0,0
128,129,DABRI,18671.0,41020.0,0
129,130,MANGLAPURI,7827.0,16645.0,0
130,131,SAGARPUR,8355.0,18836.0,0
131,132,SAGARPUR WEST,15787.0,35050.0,0
132,133,CHHAWLA,5355.0,9307.0,0
133,134,NANGLI SAKRAVATI,10707.0,26074.0,0
134,135,KAKRAULA,36527.0,70702.0,0
135,136,MATIALA,53683.0,89641.0,0
136,137,ROSHANPURA,20710.0,50449.0,0
137,138,NAJAFGARH,20359.0,46223.0,0
138,139,DICHAON KALAN,16898.0,39627.0,0
139,140,KHERA,8283.0,20952.0,0
140,141,BIJWASAN,10066.0,21398.0,0
141,142,RAJ NAGAR,19623.0,44883.0,0
142,143,KAPAS HERA,24453.0,25910.0,0
143,144,MAHIPALPUR,10857.0,21037.0,0
144,145,PALAM,15795.0,33536.0,0
145,146,SADH NAGAR,7981.0,18104.0,0
146,147,MAHAVIR ENCLAVE,13690.0,27825.0,0
147,148,MADHU VIHAR,19859.0,44327.0,0
148,149,RAJENDER NAGAR,10283.0,15390.0,0
149,150,PUSA,8611.0,16370.0,0
150,151,INDER PURI,8642.0,15775.0,0
151,152,NARAINA,9323.0,16637.0,0
152,153,DARYAGANJ,4814.0,7975.0,0
153,154,NIZAMUDDIN,7019.0,11143.0,0
154,155,LAJPAT NAGAR,8576.0,12134.0,0
155,156,BHOGAL,8234.0,15128.0,0
156,157,KASTURBA NAGAR,7519.0,12672.0,0
157,158,KOTLA MUBARAKPUR,8269.0,15583.0,0
158,159,ANDREWSGANJ,9966.0,13407.0,0
159,160,AMAR COLONY,15089.0,22540.0,0
