wardIndex,wardNo,wardName,Households,hd_flag
0,1,NARELA,10713,0
1,2,BANKNER,11711,0
2,3,ALIPUR,7276,0
3,4,TIKRI KHURD,6280,0
4,5,QADI PUR,10344,0
5,6,MUKAND PUR,23749,0
6,7,BURARI,13937,0
7,8,JHARODA MAAJRA BURARI,17649,0
8,9,MALKAGANJ,12398,0
9,10,TIMAR PUR,12630,0
10,11,MUKHERJEE NAGAR,9572,0
11,12,G.T.B. NAGAR,8371,0
12,13,DHIR PUR,10001,0
13,14,ADARASH  NAGAR,10555,0
14,15,SARAI PIPAL THALA,7915,0
15,16,JAHANGIRPURI-I,4480,0
16,17,SAMAYPUR BADLI,7817,0
17,18,LIBAS PUR,14850,0
18,19,BHALSWA JAHANGIR PUR – I,15669,0
19,20,BHALSWA JAHANGIR PUR – II,8137,0
20,21,ROHINI,20787,0
21,22,RITHALA,11742,0
22,23,BUDH VIHAR,18398,0
23,24,VIJAY VIHAR,15351,0
24,25,POOTH KALAN,19055,0
25,26,SAHIBABAD DAULAT PUR,11595,0
26,27,BEGUM PUR,14224,0
27,28,BAWANA,15473,0
28,29,KARALA,13315,0
29,30,RANI KHERA,9579,0
30,31,NANGLOI JAT WEST,12384,0
31,32,NILOTHI,15187,0
32,33,PREM NAGAR,21348,0
33,34,NITHARI,10053,0
34,35,KIRARI SULEMAN NAGAR – I,16108,0
35,36,KIRARI SULEMAN NAGAR – II,15266,0
36,37,SULTANPURI  EAST,10251,0
37,38,MANGOL PURI  NORTH,9904,0
38,39,SULTANPUR MAJRA,9084,0
39,40,SULTANPURI  SOUTH,6682,0
40,41,GURU HARKISHAN NAGAR,11527,0
41,42,PERAGHARHI,4859,0
42,43,NANGLOI EAST,14295,0
43,44,QUAMMRUDDIN NAGAR,17454,0
44,45,ROHINI SOUTH,12968,0
45,46,MANGOLPURI  EAST,13118,0
46,47,MANGOLPURI,9591,0
47,48,MANGOLPURI  WEST,9729,0
48,49,ROHINI NORTH,14309,0
49,50,ROHINI CENTRAL,13949,0
50,51,ROHINI EAST,10451,0
51,52,NAHARPUR,11176,0
52,53,PITAMPURA SOUTH,11377,0
53,54,PITAMPUR NORTH,10900,0
54,55,SHALIMAR BAGH NORTH,11221,0
55,56,SHALIMAR BAGH SOUTH,9598,0
56,57,PASCHIM VIHAR SOUTH,9255,0
57,58,PASCHIM VIHAR NORTH,9610,0
58,59,RANI BAGH,12108,0
59,60,SARASWATI VIHAR,8833,0
60,61,TRI NAGAR,10292,0
61,62,RAMPURA,9920,0
62,63,KOHAT ENCLAVE,10321,0
63,64,SHAKUR PUR,9303,0
64,65,NIMRI COLONY,9533,0
65,66,SAWAN PARK,7394,0
66,67,WAJIRPUR,10708,0
67,68,ASHOK VIHAR,3832,0
68,69,KAMLA NAGAR,8848,0
69,70,RANA PRATAP BAGH,7328,0
70,71,SANGAM PARK,2647,0
71,72,MODEL TOWN,6450,0
72,73,SHASTRI NAGAR,11617,0
73,74,INDER LOK COLONY,7181,0
74,75,KISHAN GANJ,11686,0
75,76,DEPUTY GANJ,9341,0
76,77,KASHMERE GATE,3404,0
77,78,MAJNU KA TILA,7526,0
78,79,JAMA MASJID,10241,0
79,80,CHANDNI CHOWK,8736,0
80,81,MINTO ROAD,4822,0
81,82,KUCHA PANDIT,9284,0
82,83,BAZAR SITARAM,7840,0
83,84,TURKMAN GATE,8443,0
