map_ward_name,map_ward_no,census_ward_name,census_ward_no,corrected_names
DELHI CANTT CHARGE 1,CANT_1,DMC (U) (Part) WARD NO.-0001,1,NARELA
DELHI CANTT CHARGE 2,CANT_2,DMC (U) (Part) WARD NO.-0002,2,BANKNER
DELHI CANTT CHARGE 4,CANT_4,Ali Pur (CT) WARD NO.-0003,3,ALIPUR
DELHI CANTT CHARGE 5,CANT_5,Tikri Khurd (CT) WARD NO.-0004,4,TIKRI KHURD
DELHI CANTT CHARGE 6,CANT_6,Qadi Pur (CT) WARD NO.-0005,5,QADI PUR
DELHI CANTT CHARGE 7,CANT_7,Mukand Pur (CT) WARD NO.-0006,6,MUKAND PUR
DELHI CANTT CHARGE 8,CANT_8,Burari (CT) WARD NO.-0007,7,BURARI
DELHI CANTT CHARGE 3,CANT_3,Burari (CT) WARD NO.-0008,8,JHARODA MAAJRA BURARI
NDMC CHARGE 1,NDMC_1,DMC (U) (Part) WARD NO.-0009,9,MALKAGANJ
NDMC CHARGE 2,NDMC_2,DMC (U) (Part) WARD NO.-0010,10,TIMAR PUR
NDMC CHARGE 3,NDMC_3,DMC (U) (Part) WARD NO.-0011,11,MUKHERJEE NAGAR
NDMC CHARGE 4,NDMC_4,DMC (U) (Part) WARD NO.-0012,12,G.T.B. NAGAR
NDMC CHARGE 5,NDMC_5,DMC (U) (Part) WARD NO.-0013,13,DHIR PUR
NDMC CHARGE 7,NDMC_7,DMC (U) (Part) WARD NO.-0014,14,ADARASH  NAGAR
NDMC CHARGE 8,NDMC_8,DMC (U) (Part) WARD NO.-0015,15,SARAI PIPAL THALA
NDMC CHARGE 9,NDMC_9,DMC (U) (Part) WARD NO.-0016,16,JAHANGIRPURI-I
NDMC CHARGE 6,NDMC_6,DMC (U) (Part) WARD NO.-0017,17,SAMAYPUR BADLI
CHANDNI CHOWK,80,Libas Pur (CT) WARD NO.-0018,18,LIBAS PUR
MINTO ROAD,81,Bhalswa Jahangir Pur (CT) WARD NO.-0019,19,BHALSWA JAHANGIR PUR – I
