AC No.,address,households,area(sq km),wardNo,district
21,LNJP Hospital Ranjeet Road,667,14910,81,Central
21,"64 Khamba Dhobi Gaht No.26, J.N.Marg",79,1840,81,Central
21,Meer Dard Road,484,29000,81,Central
21,Shakoor Ki Dandi (Basti Khawza Meer),786,8000,81,Central
41,"Anna Nagar Sanjay Colony Vikas Kutter near Tilak Bridge I.T.O, New Delhi",3000,23911,154,South East
41,Balmiki Basti Kabristan behind Express Building,405,15254,153,South East
21,"Dhobi Ghat ,9,11,12 Press Road",67,5300,81,Central
41,Gandhi Sahitya Samiti Stadium,452,6313,153,South East
21,East of Chausath Khamba Meer Dard Road,259,5450,81,Central
41,JJ Cluster Janta Camp Railway Nursery behind Pragati Maidan ,468,9389,154,South East
41,Nagla Bharon Road Hafiz Nagar,109,2184,153,South East
41,Delhi Public School Mathura Road.,212,12200,154,South East
41,T-Huts Behind MCD School Village Sarai Kale Khan,380,1055,153,South East
21,Dhobi Ghat No.27 Near Moulana Azad Medical College Meer Dard Road ,42,650,81,Central
41,Madrasi Camp Jangpura,353,4968,154,South East
41,Indira Gandhi Camp No-3 near Railway Line Hari Nagar Ashram ,109,1358,154,South East
41,Near B-Block Double Story Quaters Jangpura,48,1400,154,South East
21,Mahavat Khan Road Dhobi Ghat No 28.,80,701,81,Central
20,"Majnu Ka Tila New Block, Aruna Colony.",840,24572,78,Central
20,"J-Block Majnu Ka Tila, Aruna Colony.",128,5225.55,78,Central
20,Old Chnadrawal Civil Lines Majnu Ka Tila,761,40471,78,Central
20,Tibti Camp Majnu Ka Tila,400,45129.38,78,Central
20,Fauji Jat Dharamshala Yamuna Bazar,57,509.32,77,Central
20,Press Area Behind Old Secreteriat,100,3679.85,77,Central
20,Madrasi Basti Mori Gate,180,3481.63,77,Central
20,Behind Petrol Pump Bulward Road Depot No.23,155,6967,78,Central
20,Bharon Ki Bagchhi Bulward Road,268,6995,78,Central
20,Railway Colony Pul Mithai Mori Gate,80,538,80,Central
20,DRP Line Pilli Kothi Lahori Gate,173,2245,80,Central
20,Pulmithai Ke Kinare Lahori Gate,41,976,80,Central
20,Duffrin Bridge Mori Gate,8,60,80,Central
20,Old Gas Factory Near Red Fort,47,166,80,Central
20,Madarsa Road Kashmiri Gate,27,424.08,77,Central
25,B-58 Rama Road,362,15975,97,Central
25,5/35 Industrial Area Kirti Nagar,908,29971,97,Central
25,8/35 Industrial Area Kirti Nagar,149,12308,97,Central
25,Hanuman Mandir Near Railway Station Kirti Nagar,53,558,97,Central
25,"Dr.Ambedkar Camp 52,53 Furniture Block, Kirti Nagar.",126,1138,97,Central
25,Dr.Ambedkar Camp Plot No.39-10/67 Industrial Area Kirti Nagar. ,50,1046,97,Central
25,Dr.Ambedkar Camp Plot No.39 Kirti Nagar Furniture Block.,162,5771,97,Central
25,Kamla Nehru Camp Lakkar Mandi Kirti Nagar.,1265,2283,98,Central
