wardIndex,wardName,wardNo,area(sq km),totalPopulation
0,FORT KOCHI,1,1.4358,10279
1,KALVATHY,2,0.3823,7814
2,EARAVELY,3,0.1739,6425
3,KARIPPALAM,4,0.3962,8882
4,MATTANCHERY,5,0.6211,10144
5,KOCHANGADI,6,0.3171,7108
6,CHERALAYI,7,0.6096,7741
7,PANAYAPPILLY,8,0.7143,11429
8,CHAKKAMADOM,9,0.2984,5046
9,KARUVELIPPADY,10,0.5901,7673
10,THOPPUMPADY,11,0.9871,9266
11,THAREBHAGAM,12,0.8381000000000001,8925
12,KADEBHAGAM,13,0.6175,10203
13,THAZHUPPU,14,0.9009,10699
14,EDAKOCHI NORTH,15,1.044,9574
15,EDAKOCHI SOUTH,16,1.4813,7808
16,PERUMBADAPPU,17,0.7081000000000001,9442
17,KONAM,18,0.8756999999999999,9863
18,PALLURUTHY-KACHERIPADY,19,0.706,11100
19,NAMBYAPURAM,20,0.5658,8747
20,PULLARDESAM,21,0.7622,11046
21,MUNDAMVELLY,22,1.1891,14723
22,MANASSERY,23,0.6201,8403
23,MOOLAMKUZHY,24,0.59,8121
24,CHULLICKAL,25,0.4328,6623
25,NASRATHU,26,0.3288,7277
26,FORTKOCHI VELI,27,0.5736,7456
27,AMARAVATHY,28,0.4764,9439
28,ISLAND NORTH,29,2.4495,4666
29,ISLAND SOUTH,30,5.956799999999999,10076
30,VADUTHALA WEST,31,1.099,9025
31,VADUTHALA EAST,32,0.8301999999999999,7795
32,ELAMAKKARA NORTH,33,0.94,8547
33,PUTHUKKALAVATTAM,34,1.1643,9034
34,PONEKKARA,35,1.1259,8757
35,KUNNUMPURAM,36,2.0658,7589
36,EDAPPALLY,37,1.6108,9183
37,KARUKAPPILLI,38,1.7759,8634
38,DHEVANKULANGARA,39,1.1388,7638
39,MAMANGALAM,40,0.9831,5770
40,PADIVATTAM,41,4.0,11745
41,VENNALA,42,2.0159,9708
42,PALARIVATTAM,43,1.2302,9354
43,KARANAKKODAM,44,1.3156,8582
44,THAMMANAM,45,1.2953,9938
45,CHAKKARAPARAMBU,46,2.004,6557
46,CHALIKKAVATTAM,47,0.8239,4952
47,PONNURUNNI EAST,48,1.1114,9126
48,VYTTILA,49,1.7498,7524
49,CHAMBAKKARA,50,4.0,8024
50,POONITHURA,51,1.2775,8935
51,VYTTILA JANATHA,52,1.367,10726
52,PONNURUNNI,53,1.1791,5119
53,ELAMKULAM,54,1.3033,6279
54,GIRINAGAR,55,0.9349,11267
55,PANAMPILLI NAGAR,56,0.8183,7933
56,KADAVANTHRA,57,1.8582,5522
57,KONTHURUTHY,58,0.7304999999999999,9973
58,THEVARA,59,0.9254000000000001,4569
59,PERUMANUR,60,1.035,5941
60,RAVIPURAM,61,1.4755,8721
61,ERNAKULAM SOUTH,62,1.5592,10047
62,GANDHI NAGAR,63,1.5808,7887
63,KATHRIKADAVU,64,1.1892,8734
64,KALOOR SOUTH,65,1.1344,4414
65,ERNAKULAM CENTRAL,66,1.5971,5970
66,ERNAKULAM NORTH,67,0.8240999999999999,9018
67,AYYAPPANKAVU,68,1.6321,10174
68,THRIKKANARVATTOM,69,0.684,10488
69,KALOOR NORTH,70,1.0329,8968
70,ELAMAKKARA SOUTH,71,0.9672,7881
71,POTTAKUZHY,72,4.0,23155
72,PACHALAM,73,1.0907,8352
