wardIndex,wardNo,wardName,Employed,Unemployment,totalWorkForce
0,1,FORT KOCHI,3495,6784,10279
1,2,KALVATHY,2266,5548,7814
2,3,EARAVELY,1863,4562,6425
3,4,KARIPPALAM,3020,5862,8882
4,5,MATTANCHERY,3550,6594,10144
5,6,KOCHANGADI,2132,4976,7108
6,7,CHERALAYI,3174,4567,7741
7,8,PANAYAPPILLY,4343,7086,11429
8,9,CHAKKAMADOM,1665,3381,5046
9,10,KARUVELIPPADY,2686,4987,7673
10,11,THOPPUMPADY,3428,5838,9266
11,12,THAREBHAGAM,3748,5177,8925
12,13,KADEBHAGAM,4183,6020,10203
13,14,THAZHUPPU,3745,6954,10699
14,15,EDAKOCHI NORTH,3925,5649,9574
15,16,EDAKOCHI SOUTH,3279,4529,7808
16,17,PERUMBADAPPU,3588,5854,9442
17,18,KONAM,3847,6016,9863
18,19,PALLURUTHY-KACHERIPADY,3996,7104,11100
19,20,NAMBYAPURAM,3149,5598,8747
20,21,PULLARDESAM,4197,6849,11046
21,22,MUNDAMVELLY,5006,9717,14723
22,23,MANASSERY,3193,5210,8403
23,24,MOOLAMKUZHY,2842,5279,8121
24,25,CHULLICKAL,2384,4239,6623
25,26,NASRATHU,2838,4439,7277
26,27,FORTKOCHI VELI,2982,4474,7456
27,28,AMARAVATHY,3587,5852,9439
28,29,ISLAND NORTH,2706,1960,4666
29,30,ISLAND SOUTH,5945,4131,10076
30,31,VADUTHALA WEST,3430,5595,9025
31,32,VADUTHALA EAST,2962,4833,7795
32,33,ELAMAKKARA NORTH,3419,5128,8547
33,34,PUTHUKKALAVATTAM,3433,5601,9034
34,35,PONEKKARA,3328,5429,8757
35,36,KUNNUMPURAM,2884,4705,7589
36,37,EDAPPALLY,3398,5785,9183
37,38,KARUKAPPILLI,3281,5353,8634
38,39,DHEVANKULANGARA,2826,4812,7638
39,40,MAMANGALAM,2135,3635,5770
40,41,PADIVATTAM,4463,7282,11745
41,42,VENNALA,3592,6116,9708
42,43,PALARIVATTAM,3555,5799,9354
43,44,KARANAKKODAM,3175,5407,8582
44,45,THAMMANAM,3776,6162,9938
45,46,CHAKKARAPARAMBU,2492,4065,6557
46,47,CHALIKKAVATTAM,1931,3021,4952
47,48,PONNURUNNI EAST,3833,5293,9126
48,49,VYTTILA,3010,4514,7524
49,50,CHAMBAKKARA,3290,4734,8024
50,51,POONITHURA,3395,5540,8935
51,52,VYTTILA JANATHA,4290,6436,10726
52,53,PONNURUNNI,1945,3174,5119
53,54,ELAMKULAM,2449,3830,6279
54,55,GIRINAGAR,4394,6873,11267
55,56,PANAMPILLI NAGAR,3015,4918,7933
56,57,KADAVANTHRA,2043,3479,5522
57,58,KONTHURUTHY,3989,5984,9973
58,59,THEVARA,1782,2787,4569
59,60,PERUMANUR,2198,3743,5941
60,61,RAVIPURAM,3750,4971,8721
61,62,ERNAKULAM SOUTH,3918,6129,10047
62,63,GANDHI NAGAR,2997,4890,7887
63,64,KATHRIKADAVU,3406,5328,8734
64,65,KALOOR SOUTH,1677,2737,4414
65,66,ERNAKULAM CENTRAL,2090,3880,5970
66,67,ERNAKULAM NORTH,3337,5681,9018
67,68,AYYAPPANKAVU,3663,6511,10174
68,69,THRIKKANARVATTOM,3881,6607,10488
69,70,KALOOR NORTH,3228,5740,8968
70,71,ELAMAKKARA SOUTH,2995,4886,7881
71,72,POTTAKUZHY,8567,14588,23155
72,73,PACHALAM,3341,5011,8352
