wardIndex,wardNo,wardName,Households
0,1,FORT KOCHI,2578
1,2,KALVATHY,1652
2,3,EARAVELY,1282
3,4,KARIPPALAM,2003
4,5,MATTANCHERY,2227
5,6,KOCHANGADI,1517
6,7,CHERALAYI,2012
7,8,PANAYAPPILLY,2810
8,9,CHAKKAMADOM,1107
9,10,KARUVELIPPADY,1815
10,11,THOPPUMPADY,2342
11,12,THAREBHAGAM,2201
12,13,KADEBHAGAM,2417
13,14,THAZHUPPU,2448
14,15,EDAKOCHI NORTH,2302
15,16,EDAKOCHI SOUTH,1897
16,17,PERUMBADAPPU,2299
17,18,KONAM,2387
18,19,PALLURUTHY-KACHERIPADY,2569
19,20,NAMBYAPURAM,2010
20,21,PULLARDESAM,2749
21,22,MUNDAMVELLY,3899
22,23,MANASSERY,2002
23,24,MOOLAMKUZHY,2041
24,25,CHULLICKAL,1653
25,26,NASRATHU,1775
26,27,FORTKOCHI VELI,1754
27,28,AMARAVATHY,2364
28,29,ISLAND NORTH,1557
29,30,ISLAND SOUTH,1837
30,31,VADUTHALA WEST,2296
31,32,VADUTHALA EAST,1970
32,33,ELAMAKKARA NORTH,2195
33,34,PUTHUKKALAVATTAM,2307
34,35,PONEKKARA,2326
35,36,KUNNUMPURAM,1840
36,37,EDAPPALLY,2408
37,38,KARUKAPPILLI,2320
38,39,DHEVANKULANGARA,1953
39,40,MAMANGALAM,1566
40,41,PADIVATTAM,3043
41,42,VENNALA,2504
42,43,PALARIVATTAM,2433
43,44,KARANAKKODAM,2123
44,45,THAMMANAM,2414
45,46,CHAKKARAPARAMBU,1599
46,47,CHALIKKAVATTAM,1248
47,48,PONNURUNNI EAST,2415
48,49,VYTTILA,1968
49,50,CHAMBAKKARA,2143
50,51,POONITHURA,2333
51,52,VYTTILA JANATHA,2900
52,53,PONNURUNNI,1467
53,54,ELAMKULAM,1752
54,55,GIRINAGAR,3037
55,56,PANAMPILLI NAGAR,2048
56,57,KADAVANTHRA,1474
57,58,KONTHURUTHY,2738
58,59,THEVARA,1175
59,60,PERUMANUR,1741
60,61,RAVIPURAM,2364
61,62,ERNAKULAM SOUTH,2597
62,63,GANDHI NAGAR,2100
63,64,KATHRIKADAVU,2131
64,65,KALOOR SOUTH,1140
65,66,ERNAKULAM CENTRAL,1480
66,67,ERNAKULAM NORTH,2264
67,68,AYYAPPANKAVU,2581
68,69,THRIKKANARVATTOM,2552
69,70,KALOOR NORTH,2311
70,71,ELAMAKKARA SOUTH,1996
71,72,POTTAKUZHY,5814
72,73,PACHALAM,1963
