wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.340872,0.068208,0.049056,0.180012,0.201852,0.01692,0.018222,0.013014,0.011844,0.00921,0.007915,0.016915,0.01596,0.002342,0.004786,0.002872,0.00576,0.001477,0.001887,0.003867,0.001392,0.001377,0.014181,0.010059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.340872,0.068208,0.049056,0.180012,0.201852,0.01692,0.018222,0.013014,0.011844,0.00921,0.007915,0.016915,0.01596,0.002342,0.004786,0.002872,0.00576,0.001477,0.001887,0.003867,0.001392,0.001377,0.014181,0.010059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.340872,0.068208,0.049056,0.180012,0.201852,0.01692,0.018222,0.013014,0.011844,0.00921,0.007915,0.016915,0.01596,0.002342,0.004786,0.002872,0.00576,0.001477,0.001887,0.003867,0.001392,0.001377,0.014181,0.010059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.340872,0.068208,0.049056,0.180012,0.201852,0.01692,0.018222,0.013014,0.011844,0.00921,0.007915,0.016915,0.01596,0.002342,0.004786,0.002872,0.00576,0.001477,0.001887,0.003867,0.001392,0.001377,0.014181,0.010059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.340872,0.068208,0.049056,0.180012,0.201852,0.01692,0.018222,0.013014,0.011844,0.00921,0.007915,0.016915,0.01596,0.002342,0.004786,0.002872,0.00576,0.001477,0.001887,0.003867,0.001392,0.001377,0.014181,0.010059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.089276,0.017864,0.012848,0.047146,0.052866,0.18612,0.200442,0.143154,0.130284,0.012894,0.011081,0.023681,0.022344,0.004684,0.009572,0.005744,0.00192,0.002954,0.003774,0.007734,0.002784,0.002754,0.004727,0.003353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.089276,0.017864,0.012848,0.047146,0.052866,0.18612,0.200442,0.143154,0.130284,0.012894,0.011081,0.023681,0.022344,0.004684,0.009572,0.005744,0.00192,0.002954,0.003774,0.007734,0.002784,0.002754,0.004727,0.003353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.089276,0.017864,0.012848,0.047146,0.052866,0.18612,0.200442,0.143154,0.130284,0.012894,0.011081,0.023681,0.022344,0.004684,0.009572,0.005744,0.00192,0.002954,0.003774,0.007734,0.002784,0.002754,0.004727,0.003353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.089276,0.017864,0.012848,0.047146,0.052866,0.18612,0.200442,0.143154,0.130284,0.012894,0.011081,0.023681,0.022344,0.004684,0.009572,0.005744,0.00192,0.002954,0.003774,0.007734,0.002784,0.002754,0.004727,0.003353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.028406,0.005684,0.004088,0.015001,0.016821,0.0141,0.015185,0.010845,0.00987,0.14736,0.12664,0.27064,0.25536,0.004684,0.009572,0.005744,0.00192,0.007385,0.009435,0.019335,0.00696,0.006885,0.004727,0.003353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
