wardIndex,wardNo,BMC_ID,wardName,totalPopulation,Employed,hd_flag,Unemployed
0,1,A,Colaba,162732,73717,0,89015
1,2,B,Sandhurst Road,114579,45258,0,69321
2,3,C,Marine Lines,149590,71354,0,78236
3,4,D,Grant Road,312167,137665,0,174502
4,5,E,Byculla,269092,109251,0,159841
5,6,F/N,Matunga,290906,114326,0,176580
6,7,F/S,Parel,180844,70710,0,110134
7,8,G/N,Dadar/Plaza,237365,98981,0,138384
8,9,G/S,Elphinstone,253443,106699,0,146744
9,10,H/E,Khar/Santacruz,168316,69682,0,98634
10,11,H/W,Bandra,225029,96987,0,128042
11,12,K/E,Andheri (East),251067,103690,0,147377
12,13,K/W,Andheri (West),533010,223331,0,309679
13,14,L,Kurla,144117,54908,0,89209
14,15,M/E,Chembur (East),121726,42969,0,78757
15,16,M/W,Chembur (West),246901,100735,0,146166
16,17,N,Ghatkopar,373624,144966,0,228658
17,18,P/N,Malad,233119,92082,0,141037
18,19,P/S,Goregaon,232678,96794,0,135884
19,20,R/C,Borivali,389313,156503,0,232810
20,21,R/N,Dahisar,150217,61739,0,88478
21,22,R/S,Kandivali,276834,112948,0,163886
22,23,S,Bhandup,335341,131453,0,203888
23,24,T,Mulund,255903,102873,0,153030
24,25,A_hd,Colaba_hd,22282,10093,1,12189
25,26,B_hd,Sandhurst Road_hd,12711,5020,1,7691
26,27,C_hd,Marine Lines_hd,16571,7904,1,8667
27,28,D_hd,Grant Road_hd,34699,15302,1,19397
28,29,E_hd,Byculla_hd,124194,50422,1,73772
29,30,F/N_hd,Matunga_hd,238128,93584,1,144544
30,31,F/S_hd,Parel_hd,180128,70430,1,109698
31,32,G/N_hd,Dadar/Plaza_hd,361674,150818,1,210856
32,33,G/S_hd,Elphinstone_hd,124306,52332,1,71974
33,34,H/E_hd,Khar/Santacruz_hd,388923,161014,1,227909
34,35,H/W_hd,Bandra_hd,82552,35579,1,46973
35,36,K/E_hd,Andheri (East)_hd,572818,236573,1,336245
36,37,K/W_hd,Andheri (West)_hd,215678,90369,1,125309
37,38,L_hd,Kurla_hd,758108,288839,1,469269
38,39,M/E_hd,Chembur (East)_hd,685994,242155,1,443839
39,40,M/W_hd,Chembur (West)_hd,164992,67316,1,97676
40,41,N_hd,Ghatkopar_hd,249229,96700,1,152529
41,42,P/N_hd,Malad_hd,708247,279757,1,428490
42,43,P/S_hd,Goregaon_hd,230829,96024,1,134805
43,44,R/C_hd,Borivali_hd,172849,69485,1,103364
44,45,R/N_hd,Dahisar_hd,281151,115553,1,165598
45,46,R/S_hd,Kandivali_hd,414395,169073,1,245322
46,47,S_hd,Bhandup_hd,408442,160109,1,248333
47,48,T_hd,Mulund_hd,85560,34395,1,51165
