wardIndex,wardNo,wardName,Households
0,1,Colaba,43866
1,2,Sandhurst Road,27140
2,3,Marine Lines,36479
3,4,Grant Road,77556
4,5,Byculla,78346
5,6,Matunga,119624
6,7,Parel,79733
7,8,Elphinstone,83457
8,9,Dadar/Plaza,128138
9,10,Khar/Santacruz,120266
10,11,Bandra,72943
11,12,Andheri (East),190845
12,13,Andheri (West),168076
13,14,Kurla,186833
14,15,Chembur (East),166400
15,16,Chembur (West),93607
16,17,Ghatkopar,137885
17,18,Malad,211642
18,19,Goregaon,106922
19,20,Borivali,134795
20,21,Dahisar,104091
21,22,Kandivali,159639
22,23,Bhandup,169962
23,24,Mulund,81698
