trainLine,stationName,stationCode,isFastStop,isTerminal,isSlowFastInterchange,isLineInterchange,slowTimeFromPreviousStation,latitude,longitude,s2_cell,geojson
western,churchgate,CCG,1,1,1,0,0,18.934886,72.827164,4316649596580265984,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.917219], [72.827915, 18.919461], [72.827915, 18.942438], [72.80428, 18.940194], [72.80428, 18.917219]]]}, ""properties"": {""cell"": 4316649596580265984}}"
western,marine lines,MEL,1,0,0,0,3,18.9447,72.8244,4316645335972708352,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.940194], [72.827915, 18.942438], [72.827915, 18.965418], [72.80428, 18.963171], [72.80428, 18.940194]]]}, ""properties"": {""cell"": 4316645335972708352}}"
western,charni road,CYR,1,0,0,0,2,18.951565,72.818633,4316645335972708352,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.940194], [72.827915, 18.942438], [72.827915, 18.965418], [72.80428, 18.963171], [72.80428, 18.940194]]]}, ""properties"": {""cell"": 4316645335972708352}}"
western,grant road,GTR,1,0,0,0,3,18.9634,72.8161,4316645335972708352,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.940194], [72.827915, 18.942438], [72.827915, 18.965418], [72.80428, 18.963171], [72.80428, 18.940194]]]}, ""properties"": {""cell"": 4316645335972708352}}"
western,mumbai central,BCT,1,0,0,0,2,18.9697,72.8194,4316645748289568768,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.963171], [72.827915, 18.965418], [72.827915, 18.988398], [72.80428, 18.98615], [72.80428, 18.963171]]]}, ""properties"": {""cell"": 4316645748289568768}}"
western,mahalaxmi,MX,0,0,0,0,3,18.9825,72.82417,4316645748289568768,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.80428, 18.963171], [72.827915, 18.965418], [72.827915, 18.988398], [72.80428, 18.98615], [72.80428, 18.963171]]]}, ""properties"": {""cell"": 4316645748289568768}}"
western,lower parel,LP,0,0,0,0,3,18.995278,72.83,4316646298045382656,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.988398], [72.851548, 18.990644], [72.851548, 19.013628], [72.827915, 19.011381], [72.827915, 18.988398]]]}, ""properties"": {""cell"": 4316646298045382656}}"
western,prabhadevi,EPR,0,0,0,0,3,19.007533,72.835976,4316646298045382656,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.988398], [72.851548, 18.990644], [72.851548, 19.013628], [72.827915, 19.011381], [72.827915, 18.988398]]]}, ""properties"": {""cell"": 4316646298045382656}}"
western,dadar,D,1,1,1,1,2,19.0184,72.8432,4316646160606429184,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 19.011381], [72.851548, 19.013628], [72.851548, 19.036614], [72.827915, 19.034364], [72.827915, 19.011381]]]}, ""properties"": {""cell"": 4316646160606429184}}"
western,matunga road,MRU,0,0,0,0,2,19.028056,72.846944,4316646160606429184,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 19.011381], [72.851548, 19.013628], [72.851548, 19.036614], [72.827915, 19.034364], [72.827915, 19.011381]]]}, ""properties"": {""cell"": 4316646160606429184}}"
