wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0.3409,0.0682,0.0491,0.1800,0.2019,0.0169,0.0182,0.0118,0.0130,0.0092,0.0079,0.0169,0.0160,0.0023,0.0048,0.0029,0.0058,0.0015,0.0019,0.0039,0.0014,0.0014,0.0142,0.0101
2,0.3409,0.0682,0.0491,0.1800,0.2019,0.0169,0.0182,0.0118,0.0130,0.0092,0.0079,0.0169,0.0160,0.0023,0.0048,0.0029,0.0058,0.0015,0.0019,0.0039,0.0014,0.0014,0.0142,0.0101
3,0.3409,0.0682,0.0491,0.1800,0.2019,0.0169,0.0182,0.0118,0.0130,0.0092,0.0079,0.0169,0.0160,0.0023,0.0048,0.0029,0.0058,0.0015,0.0019,0.0039,0.0014,0.0014,0.0142,0.0101
4,0.3409,0.0682,0.0491,0.1800,0.2019,0.0169,0.0182,0.0118,0.0130,0.0092,0.0079,0.0169,0.0160,0.0023,0.0048,0.0029,0.0058,0.0015,0.0019,0.0039,0.0014,0.0014,0.0142,0.0101
5,0.3409,0.0682,0.0491,0.1800,0.2019,0.0169,0.0182,0.0118,0.0130,0.0092,0.0079,0.0169,0.0160,0.0023,0.0048,0.0029,0.0058,0.0015,0.0019,0.0039,0.0014,0.0014,0.0142,0.0101
6,0.0893,0.0179,0.0128,0.0471,0.0529,0.1861,0.2004,0.1303,0.1432,0.0129,0.0111,0.0237,0.0223,0.0047,0.0096,0.0057,0.0019,0.0030,0.0038,0.0077,0.0028,0.0028,0.0047,0.0034
7,0.0893,0.0179,0.0128,0.0471,0.0529,0.1861,0.2004,0.1303,0.1432,0.0129,0.0111,0.0237,0.0223,0.0047,0.0096,0.0057,0.0019,0.0030,0.0038,0.0077,0.0028,0.0028,0.0047,0.0034
8,0.0893,0.0179,0.0128,0.0471,0.0529,0.1861,0.2004,0.1303,0.1432,0.0129,0.0111,0.0237,0.0223,0.0047,0.0096,0.0057,0.0019,0.0030,0.0038,0.0077,0.0028,0.0028,0.0047,0.0034
9,0.0893,0.0179,0.0128,0.0471,0.0529,0.1861,0.2004,0.1303,0.1432,0.0129,0.0111,0.0237,0.0223,0.0047,0.0096,0.0057,0.0019,0.0030,0.0038,0.0077,0.0028,0.0028,0.0047,0.0034
10,0.0284,0.0057,0.0041,0.0150,0.0168,0.0141,0.0152,0.0099,0.0108,0.1474,0.1266,0.2706,0.2554,0.0047,0.0096,0.0057,0.0019,0.0074,0.0094,0.0193,0.0070,0.0069,0.0047,0.0034
11,0.0284,0.0057,0.0041,0.0150,0.0168,0.0141,0.0152,0.0099,0.0108,0.1474,0.1266,0.2706,0.2554,0.0047,0.0096,0.0057,0.0019,0.0074,0.0094,0.0193,0.0070,0.0069,0.0047,0.0034
12,0.0284,0.0057,0.0041,0.0150,0.0168,0.0141,0.0152,0.0099,0.0108,0.1474,0.1266,0.2706,0.2554,0.0047,0.0096,0.0057,0.0019,0.0074,0.0094,0.0193,0.0070,0.0069,0.0047,0.0034
13,0.0284,0.0057,0.0041,0.0150,0.0168,0.0141,0.0152,0.0099,0.0108,0.1474,0.1266,0.2706,0.2554,0.0047,0.0096,0.0057,0.0019,0.0074,0.0094,0.0193,0.0070,0.0069,0.0047,0.0034
14,0.0442,0.0088,0.0064,0.0233,0.0262,0.0251,0.0271,0.0176,0.0193,0.0146,0.0125,0.0268,0.0253,0.1484,0.3033,0.1820,0.0152,0.0015,0.0019,0.0038,0.0014,0.0014,0.0374,0.0266
15,0.0442,0.0088,0.0064,0.0233,0.0262,0.0251,0.0271,0.0176,0.0193,0.0146,0.0125,0.0268,0.0253,0.1484,0.3033,0.1820,0.0152,0.0015,0.0019,0.0038,0.0014,0.0014,0.0374,0.0266
16,0.0442,0.0088,0.0064,0.0233,0.0262,0.0251,0.0271,0.0176,0.0193,0.0146,0.0125,0.0268,0.0253,0.1484,0.3033,0.1820,0.0152,0.0015,0.0019,0.0038,0.0014,0.0014,0.0374,0.0266
17,0.0649,0.0130,0.0093,0.0343,0.0384,0.0254,0.0273,0.0178,0.0195,0.0166,0.0142,0.0304,0.0287,0.0094,0.0191,0.0115,0.0845,0.0266,0.0340,0.0696,0.0251,0.0248,0.2080,0.1475
18,0.0487,0.0097,0.0070,0.0257,0.0288,0.0141,0.0152,0.0099,0.0108,0.0461,0.0396,0.0846,0.0798,0.0023,0.0048,0.0029,0.0019,0.0827,0.1057,0.2166,0.0780,0.0771,0.0047,0.0034
19,0.0487,0.0097,0.0070,0.0257,0.0288,0.0141,0.0152,0.0099,0.0108,0.0461,0.0396,0.0846,0.0798,0.0023,0.0048,0.0029,0.0019,0.0827,0.1057,0.2166,0.0780,0.0771,0.0047,0.0034
20,0.0487,0.0097,0.0070,0.0257,0.0288,0.0141,0.0152,0.0099,0.0108,0.0461,0.0396,0.0846,0.0798,0.0023,0.0048,0.0029,0.0019,0.0827,0.1057,0.2166,0.0780,0.0771,0.0047,0.0034
21,0.0487,0.0097,0.0070,0.0257,0.0288,0.0141,0.0152,0.0099,0.0108,0.0461,0.0396,0.0846,0.0798,0.0023,0.0048,0.0029,0.0019,0.0827,0.1057,0.2166,0.0780,0.0771,0.0047,0.0034
22,0.0487,0.0097,0.0070,0.0257,0.0288,0.0141,0.0152,0.0099,0.0108,0.0461,0.0396,0.0846,0.0798,0.0023,0.0048,0.0029,0.0019,0.0827,0.1057,0.2166,0.0780,0.0771,0.0047,0.0034
23,0.0649,0.0130,0.0093,0.0343,0.0384,0.0254,0.0273,0.0178,0.0195,0.0166,0.0142,0.0304,0.0287,0.0094,0.0191,0.0115,0.0845,0.0266,0.0340,0.0696,0.0251,0.0248,0.2080,0.1475
24,0.0649,0.0130,0.0093,0.0343,0.0384,0.0254,0.0273,0.0178,0.0195,0.0166,0.0142,0.0304,0.0287,0.0094,0.0191,0.0115,0.0845,0.0266,0.0340,0.0696,0.0251,0.0248,0.2080,0.1475
