wardIndex,wardNo,wardName,Employed,Unemployment,totalWorkForce
0,1,Colaba,61434,74182,135615
1,2,Sandhurst Road,36855,56449,93304
2,3,Marine Lines,58097,63699,121796
3,4,Grant Road,112125,142127,254253
4,5,Byculla,117041,171238,288279
5,6,Matunga,152398,235384,387782
6,7,Parel,103456,161137,264592
7,8,Dadar/Plaza,183103,255993,439096
8,9,Elphinstone,116571,160319,276890
9,10,Khar/Santacruz,176045,232412,408456
10,11,Bandra,93339,132118,225457
11,12,Andheri (East),249414,354494,603908
12,13,Andheri (West),229942,318846,548788
13,14,Kurla,251967,409364,661331
14,15,Chembur,208997,383062,592059
15,16,Chembur (West),123182,178735,301918
16,17,Ghatkopar,177142,279409,456551
17,18,Malad,272558,417463,690021
18,19,Goregaon,141336,198414,339751
19,20,Borivali,165650,246415,412065
20,21,Dahisar,129955,186238,316193
21,22,Kandivali,206722,299949,506671
22,23,Bhandup,213716,331477,545193
23,24,Mulund,100618,149675,250292
