wardIndex,wardNo,ntaCode,wardName,totalPopulation,area(sq km)
0,1,BX01,Claremont-Bathgate,31078.0,2.6630125617531464
1,2,BX03,Eastchester-Edenwald-Baychester,34517.0,6.523829479865616
2,3,BX05,Bedford Park-Fordham North,54415.0,2.429679941495335
3,4,BX06,Belmont,27378.0,2.195509330355785
4,5,BX07,Bronxdale,35538.0,2.459657249189192
5,6,BX08,West Farms-Bronx River,35011.0,2.4411634448839554
6,7,BX09,Soundview-Castle Hill-Clason Point-Harding Park,53686.0,8.408345771580326
7,8,BX10,Pelham Bay-Country Club-City Island,26583.0,6.497278251756914
8,9,BX13,Co-Op City,43752.0,6.4539105593558315
9,10,BX14,East Concourse-Concourse Village,62284.0,2.948571154144615
10,11,BX17,East Tremont,43423.0,3.117031925683178
11,12,BX22,North Riverdale-Fieldston-Riverdale,27860.0,7.95297908597644
12,13,BX26,Highbridge,37727.0,2.6636139927128815
13,14,BX27,Hunts Point,27204.0,8.042324279421583
14,15,BX28,Van Cortlandt Village,50100.0,4.158766114237321
15,16,BX29,Spuyten Duyvil-Kingsbridge,30161.0,3.7621342999472622
16,17,BX30,Kingsbridge Heights,32496.0,2.1321666627721396
17,18,BX31,Allerton-Pelham Gardens,28903.0,5.133477381521705
18,19,BX33,Longwood,26196.0,1.7360505867795701
19,20,BX34,Melrose South-Mott Haven North,39214.0,2.7937144219873575
20,21,BX35,Morrisania-Melrose,37865.0,2.733004546552674
21,22,BX36,University Heights-Morris Heights,54188.0,3.4416223678419806
22,23,BX37,Van Nest-Morris Park-Westchester Square,29250.0,5.876935136314083
23,24,BX39,Mott Haven-Port Morris,52413.0,6.774874875968144
24,25,BX40,Fordham South,28262.0,1.021686623181254
25,26,BX41,Mount Hope,51807.0,2.382635939814603
26,27,BX43,Norwood,40494.0,2.548018373579484
27,28,BX44,Williamsbridge-Olinville,61321.0,5.878542295576757
28,29,BX46,Parkchester,29821.0,1.4864943410673102
29,30,BX49,Pelham Parkway,30073.0,3.729598438562054
30,31,BX52,Schuylerville-Throgs Neck-Edgewater Park,44167.0,14.307514356052362
31,32,BX55,Soundview-Bruckner,35634.0,2.6297462013096715
32,33,BX59,Westchester-Unionport,27248.0,3.87475534119381
33,34,BX62,Woodlawn-Wakefield,42483.0,6.44318048979915
34,35,BX63,West Concourse,39282.0,3.1356858784544968
35,36,BX75,Crotona Park East,20277.0,2.6409769585134355
36,37,BX98,Rikers Island,11091.0,2.9356352045365233
37,38,BX99,park-cemetery-etc-Bronx,1906.0,35.779398372783795
38,39,BK09,Brooklyn Heights-Cobble Hill,22887.0,1.6089206995541088
