wardIndex,wardNo,ntaCode,wardName,Households
0,1,BX01,Claremont-Bathgate,10526
1,2,BX03,Eastchester-Edenwald-Baychester,12392
2,3,BX05,Bedford Park-Fordham North,19607
3,4,BX06,Belmont,9324
4,5,BX07,Bronxdale,14336
5,6,BX08,West Farms-Bronx River,12868
6,7,BX09,Soundview-Castle Hill-Clason Point-Harding Park,19896
7,8,BX10,Pelham Bay-Country Club-City Island,12045
8,9,BX13,Co-Op City,19126
9,10,BX14,East Concourse-Concourse Village,22977
10,11,BX17,East Tremont,15495
11,12,BX22,North Riverdale-Fieldston-Riverdale,12361
12,13,BX26,Highbridge,13474
13,14,BX27,Hunts Point,9513
14,15,BX28,Van Cortlandt Village,18532
15,16,BX29,Spuyten Duyvil-Kingsbridge,14184
16,17,BX30,Kingsbridge Heights,11640
17,18,BX31,Allerton-Pelham Gardens,10295
18,19,BX33,Longwood,9074
19,20,BX34,Melrose South-Mott Haven North,13842
20,21,BX35,Morrisania-Melrose,13782
21,22,BX36,University Heights-Morris Heights,19551
22,23,BX37,Van Nest-Morris Park-Westchester Square,10527
23,24,BX39,Mott Haven-Port Morris,19111
24,25,BX40,Fordham South,8902
25,26,BX41,Mount Hope,17952
26,27,BX43,Norwood,15163
27,28,BX44,Williamsbridge-Olinville,22375
28,29,BX46,Parkchester,13434
29,30,BX49,Pelham Parkway,12094
30,31,BX52,Schuylerville-Throgs Neck-Edgewater Park,17970
31,32,BX55,Soundview-Bruckner,12392
32,33,BX59,Westchester-Unionport,9804
33,34,BX62,Woodlawn-Wakefield,16294
34,35,BX63,West Concourse,13596
35,36,BX75,Crotona Park East,7425
36,37,BX98,Rikers Island,0
37,38,BX99,park-cemetery-etc-Bronx,541
38,39,BK09,Brooklyn Heights-Cobble Hill,12735
39,40,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,27414
40,41,BK19,Brighton Beach,15273
41,42,BK21,Seagate-Coney Island,12177
42,43,BK23,West Brighton,8564
43,44,BK25,Homecrest,16879
44,45,BK26,Gravesend,11490
45,46,BK27,Bath Beach,11640
46,47,BK28,Bensonhurst West,31897
47,48,BK29,Bensonhurst East,23270
48,49,BK30,Dyker Heights,16052
49,50,BK31,Bay Ridge,37125
50,51,BK32,Sunset Park West,18372
51,52,BK33,Carroll Gardens-Columbia Street-Red Hook,19399
52,53,BK34,Sunset Park East,21906
53,54,BK35,Stuyvesant Heights,28484
54,55,BK37,Park Slope-Gowanus,33650
55,56,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,17033
56,57,BK40,Windsor Terrace,10030
57,58,BK41,Kensington-Ocean Parkway,12560
58,59,BK42,Flatbush,40161
