wardIndex,wardNo,ntaCode,zip
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
0,1,BX01,10456
0,1,BX01,10460
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
1,2,BX03,10466
1,2,BX03,10470
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
2,3,BX05,10458
2,3,BX05,10467
2,3,BX05,10468
3,4,BX06,10456
3,4,BX06,10460
3,4,BX06,10456
3,4,BX06,10460
3,4,BX06,10456
3,4,BX06,10460
3,4,BX06,10456
3,4,BX06,10460
3,4,BX06,10456
3,4,BX06,10460
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
4,5,BX07,10469
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
5,6,BX08,10462
5,6,BX08,10472
5,6,BX08,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
6,7,BX09,10462
6,7,BX09,10472
6,7,BX09,10473
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
7,8,BX10,10461
7,8,BX10,10464
7,8,BX10,10465
7,8,BX10,10475
8,9,BX13,10461
8,9,BX13,10464
8,9,BX13,10465
8,9,BX13,10475
8,9,BX13,10461
8,9,BX13,10464
8,9,BX13,10465
8,9,BX13,10475
8,9,BX13,10461
8,9,BX13,10464
8,9,BX13,10465
8,9,BX13,10475
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
9,10,BX14,10452
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
10,11,BX17,10456
10,11,BX17,10460
