wardNo,wardIndex,ID,wardName,populationDensity,totalPopulation,area(sq km)
1,0,0114,Upplands Väsby,623.8,46786,75.0
2,1,0115,Vallentuna,95.3,34090,357.73
3,2,0117,Österåker,145.9,45574,312.35
4,3,0120,Värmdö,101.4,45000,443.97
5,4,0123,Järfälla,1487.1,79990,53.79
6,5,0125,Ekerö,132.0,28690,217.38
7,6,0126,Huddinge,862.4,112848,130.86
8,7,0127,Botkyrka,487.6,94606,194.04
9,8,0128,Salem,309.6,16750,54.1
10,9,0136,Haninge,202.2,92095,455.4
11,10,0138,Tyresö,700.1,48333,69.04
12,11,0139,Upplands-Bro,124.7,29346,235.3
13,12,0140,Nykvarn,72.1,11014,152.68
14,13,0160,Täby,1184.3,71874,60.69
15,14,0162,Danderyd,1246.0,32857,26.37
16,15,0163,Sollentuna,1403.9,73857,52.61
17,16,0180,Stockholm,5203.4,974073,187.2
18,17,0181,Södertälje,188.9,98979,524.01
19,18,0182,Nacka,1108.1,105189,94.93
20,19,0183,Sundbyberg,6031.5,52414,8.69
21,20,0184,Solna,4275.4,82429,19.28
22,21,0186,Lidingö,1568.0,48123,30.69
23,22,0187,Vaxholm,208.3,12003,57.63
24,23,0188,Norrtälje,31.1,62622,2015.09
25,24,0191,Sigtuna,149.4,48964,327.67
26,25,0192,Nynäshamn,80.0,28575,357.34
27,26,0305,Håbo,152.8,21934,143.54
28,27,0319,Älvkarleby,42.7,9457,221.56
29,28,0330,Knivsta,66.8,18835,282.17
30,29,0331,Heby,12.0,14047,1166.88
31,30,0360,Tierp,13.7,21136,1540.0
32,31,0380,Uppsala,105.7,230767,2182.31
33,32,0381,Enköping,38.4,45287,1178.3
34,33,0382,Östhammar,15.1,22250,1474.53
35,34,0428,Vingåker,24.6,9111,370.32
36,35,0461,Gnesta,24.6,11365,461.08
37,36,0480,Nyköping,39.9,56591,1418.73
38,37,0481,Oxelösund,342.7,11983,34.97
39,38,0482,Flen,23.1,16585,718.41
40,39,0483,Katrineholm,34.1,34755,1020.03
41,40,0484,Eskilstuna,97.2,106859,1099.79
42,41,0486,Strängnäs,49.4,36544,739.34
43,42,0488,Trosa,65.7,13747,209.16
44,43,0509,Ödeshög,12.3,5337,434.05
45,44,0512,Ydre,5.5,3747,675.33
46,45,0513,Kinda,8.8,9940,1129.39
47,46,0560,Boxholm,10.4,5476,525.74
48,47,0561,Åtvidaberg,16.8,11503,686.54
49,48,0562,Finspång,20.8,21912,1055.25
50,49,0563,Valdemarsvik,10.7,7873,733.61
51,50,0580,Linköping,114.2,163051,1427.81
52,51,0581,Norrköping,95.8,143171,1494.71
53,52,0582,Söderköping,21.7,14626,673.48
54,53,0583,Motala,44.4,43673,983.01
55,54,0584,Vadstena,38.8,7428,191.6
56,55,0586,Mjölby,50.8,27758,546.92
57,56,0604,Aneby,13.2,6848,517.72
58,57,0617,Gnosjö,23.1,9712,420.53
59,58,0642,Mullsjö,36.4,7290,200.12
60,59,0643,Habo,37.8,12433,328.49
61,60,0662,Gislaved,26.4,29963,1137.0
62,61,0665,Vaggeryd,17.3,14275,824.9
63,62,0680,Jönköping,95.3,141081,1480.19
64,63,0682,Nässjö,33.9,31538,930.17
65,64,0683,Värnamo,28.4,34560,1216.17
66,65,0684,Sävsjö,17.2,11677,678.95
67,66,0685,Vetlanda,18.3,27466,1500.27
68,67,0686,Eksjö,22.2,17753,799.38
69,68,0687,Tranås,47.2,19003,402.57
70,69,0760,Uppvidinge,8.2,9588,1171.84
71,70,0761,Lessebo,21.2,8733,412.56
72,71,0763,Tingsryd,11.9,12393,1044.54
73,72,0764,Alvesta,20.7,20134,974.0
74,73,0765,Älmhult,19.8,17651,890.46
75,74,0767,Markaryd,20.0,10320,517.09
76,75,0780,Växjö,56.5,94129,1664.92
77,76,0781,Ljungby,16.3,28521,1747.87
