wardNo,wardIndex,ID,wardName,totalPopulation,countyCode,County Employed,Employed
1,0,114,Upplands Väsby,46786,1,1167650,22982
2,1,115,Vallentuna,34090,1,1167650,16745
3,2,117,Österåker,45574,1,1167650,22386
4,3,120,Värmdö,45000,1,1167650,22105
5,4,123,Järfälla,79990,1,1167650,39292
6,5,125,Ekerö,28690,1,1167650,14093
7,6,126,Huddinge,112848,1,1167650,55432
8,7,127,Botkyrka,94606,1,1167650,46472
9,8,128,Salem,16750,1,1167650,8228
10,9,136,Haninge,92095,1,1167650,45238
11,10,138,Tyresö,48333,1,1167650,23742
12,11,139,Upplands-Bro,29346,1,1167650,14415
13,12,140,Nykvarn,11014,1,1167650,5410
14,13,160,Täby,71874,1,1167650,35305
15,14,162,Danderyd,32857,1,1167650,16140
16,15,163,Sollentuna,73857,1,1167650,36279
17,16,180,Stockholm,974073,1,1167650,478476
18,17,181,Södertälje,98979,1,1167650,48620
19,18,182,Nacka,105189,1,1167650,51670
20,19,183,Sundbyberg,52414,1,1167650,25746
21,20,184,Solna,82429,1,1167650,40490
22,21,186,Lidingö,48123,1,1167650,23639
23,22,187,Vaxholm,12003,1,1167650,5896
24,23,188,Norrtälje,62622,1,1167650,30761
25,24,191,Sigtuna,48964,1,1167650,24052
26,25,192,Nynäshamn,28575,1,1167650,14036
27,26,305,Håbo,21934,3,146881,8396
28,27,319,Älvkarleby,9457,3,146881,3620
29,28,330,Knivsta,18835,3,146881,7210
30,29,331,Heby,14047,3,146881,5377
31,30,360,Tierp,21136,3,146881,8091
32,31,380,Uppsala,230767,3,146881,88335
33,32,381,Enköping,45287,3,146881,17335
34,33,382,Östhammar,22250,3,146881,8517
35,34,428,Vingåker,9111,4,108653,3327
36,35,461,Gnesta,11365,4,108653,4077
37,36,480,Nyköping,56591,4,108653,20053
38,37,481,Oxelösund,11983,4,108653,4113
39,38,482,Flen,16585,4,108653,5596
40,39,483,Katrineholm,34755,4,108653,11322
41,40,484,Eskilstuna,106859,4,108653,32664
42,41,486,Strängnäs,36544,4,108653,10928
43,42,488,Trosa,13747,4,108653,2838
44,43,509,Ödeshög,5337,5,198719,2278
45,44,512,Ydre,3747,5,198719,1600
46,45,513,Kinda,9940,5,198719,4243
47,46,560,Boxholm,5476,5,198719,2338
48,47,561,Åtvidaberg,11503,5,198719,4911
49,48,562,Finspång,21912,5,198719,9354
50,49,563,Valdemarsvik,7873,5,198719,3361
51,50,580,Linköping,163051,5,198719,69606
52,51,581,Norrköping,143171,5,198719,61119
53,52,582,Söderköping,14626,5,198719,6244
54,53,583,Motala,43673,5,198719,18644
55,54,584,Vadstena,7428,5,198719,3171
56,55,586,Mjölby,27758,5,198719,11850
57,56,604,Aneby,6848,6,167844,3161
58,57,617,Gnosjö,9712,6,167844,4483
59,58,642,Mullsjö,7290,6,167844,3365
60,59,643,Habo,12433,6,167844,5739
61,60,662,Gislaved,29963,6,167844,13831
62,61,665,Vaggeryd,14275,6,167844,6590
63,62,680,Jönköping,141081,6,167844,65126
64,63,682,Nässjö,31538,6,167844,14559
65,64,683,Värnamo,34560,6,167844,15954
66,65,684,Sävsjö,11677,6,167844,5390
67,66,685,Vetlanda,27466,6,167844,12679
68,67,686,Eksjö,17753,6,167844,8195
69,68,687,Tranås,19003,6,167844,8772
70,69,760,Uppvidinge,9588,7,91972,4377
71,70,761,Lessebo,8733,7,91972,3987
72,71,763,Tingsryd,12393,7,91972,5657
73,72,764,Alvesta,20134,7,91972,9191
74,73,765,Älmhult,17651,7,91972,8058
75,74,767,Markaryd,10320,7,91972,4711
76,75,780,Växjö,94129,7,91972,42971
77,76,781,Ljungby,28521,7,91972,13020
78,77,821,Högsby,5921,8,100153,2416
79,78,834,Torsås,7125,8,100153,2339
80,79,840,Mörbylånga,15249,8,100153,4794
81,80,860,Hultsfred,14224,8,100153,3698
82,81,861,Mönsterås,13430,8,100153,3243
83,82,862,Emmaboda,9445,8,100153,2115
84,83,880,Kalmar,69467,8,100153,14970
85,84,881,Nybro,20318,8,100153,4248
86,85,882,Oskarshamn,27102,8,100153,5381
87,86,883,Västervik,36679,8,100153,7017
88,87,884,Vimmerby,15647,8,100153,2798
89,88,885,Borgholm,10839,8,100153,1887
90,89,980,Gotland,59686,9,24188,24188
91,90,1060,Olofström,13426,10,65745,5530
92,91,1080,Karlskrona,66622,10,65745,27443
93,92,1081,Ronneby,29633,10,65745,12206
94,93,1082,Karlshamn,32473,10,65745,13376
95,94,1083,Sölvesborg,17452,10,65745,7189
96,95,1214,Svalöv,14268,12,550497,5701
97,96,1230,Staffanstorp,25396,12,550497,10147
98,97,1231,Burlöv,19112,12,550497,7636
99,98,1233,Vellinge,36628,12,550497,14634
100,99,1256,Östra Göinge,15007,12,550497,5996
101,100,1257,Örkelljunga,10280,12,550497,4107
102,101,1260,Bjuv,15715,12,550497,6279
103,102,1261,Kävlinge,31705,12,550497,12667
104,103,1262,Lomma,24834,12,550497,9922
105,104,1263,Svedala,22229,12,550497,8881
106,105,1264,Skurup,15889,12,550497,6348
107,106,1265,Sjöbo,19226,12,550497,7682
108,107,1266,Hörby,15631,12,550497,6245
109,108,1267,Höör,16713,12,550497,6678
110,109,1270,Tomelilla,13617,12,550497,5441
111,110,1272,Bromölla,12870,12,550497,5142
112,111,1273,Osby,13208,12,550497,5277
113,112,1275,Perstorp,7492,12,550497,2993
114,113,1276,Klippan,17756,12,550497,7094
115,114,1277,Åstorp,15940,12,550497,6369
116,115,1278,Båstad,15128,12,550497,6044
117,116,1280,Malmö,344166,12,550497,137508
118,117,1281,Lund,124935,12,550497,49917
119,118,1282,Landskrona,46090,12,550497,18415
120,119,1283,Helsingborg,147734,12,550497,59026
121,120,1284,Höganäs,26942,12,550497,10764
122,121,1285,Eslöv,33793,12,550497,13502
123,122,1286,Ystad,30541,12,550497,12202
124,123,1287,Trelleborg,45440,12,550497,18155
125,124,1290,Kristianstad,85747,12,550497,34259
126,125,1291,Simrishamn,19174,12,550497,7661
127,126,1292,Ängelholm,42476,12,550497,16971
128,127,1293,Hässleholm,52145,12,550497,20834
129,128,1315,Hylte,10815,13,128239,4154
130,129,1380,Halmstad,102767,13,128239,39475
131,130,1381,Laholm,25903,13,128239,9950
132,131,1382,Falkenberg,45367,13,128239,17427
133,132,1383,Varberg,64601,13,128239,24815
134,133,1384,Kungsbacka,84395,13,128239,32418
135,134,1401,Härryda,37977,14,791970,17427
136,135,1402,Partille,39289,14,791970,18029
137,136,1407,Öckerö,12916,14,791970,5927
138,137,1415,Stenungsund,26777,14,791970,12287
139,138,1419,Tjörn,16016,14,791970,7349
140,139,1421,Orust,15218,14,791970,6983
141,140,1427,Sotenäs,9061,14,791970,4158
142,141,1430,Munkedal,10513,14,791970,4824
143,142,1435,Tanum,12841,14,791970,5892
144,143,1438,Dals-Ed,4813,14,791970,2209
145,144,1439,Färgelanda,6637,14,791970,3046
146,145,1440,Ale,31402,14,791970,14410
