wardNo,wardIndex,ID,wardName,Households
1,0,114,Upplands Väsby,19781
2,1,115,Vallentuna,13334
3,2,117,Österåker,18235
4,3,120,Värmdö,18366
5,4,123,Järfälla,33085
6,5,125,Ekerö,10999
7,6,126,Huddinge,44436
8,7,127,Botkyrka,35747
9,8,128,Salem,6440
10,9,136,Haninge,37513
11,10,138,Tyresö,19655
12,11,139,Upplands-Bro,11835
13,12,140,Nykvarn,4387
14,13,160,Täby,29279
15,14,162,Danderyd,12729
16,15,163,Sollentuna,29509
17,16,180,Stockholm,459817
18,17,181,Södertälje,41622
19,18,182,Nacka,42710
20,19,183,Sundbyberg,24379
21,20,184,Solna,40590
22,21,186,Lidingö,20446
23,22,187,Vaxholm,4924
24,23,188,Norrtälje,29956
25,24,191,Sigtuna,19448
26,25,192,Nynäshamn,12797
27,26,305,Håbo,8957
28,27,319,Älvkarleby,4365
29,28,330,Knivsta,7352
30,29,331,Heby,6483
31,30,360,Tierp,9831
32,31,380,Uppsala,107382
33,32,381,Enköping,20070
34,33,382,Östhammar,10598
35,34,428,Vingåker,4166
36,35,461,Gnesta,5076
37,36,480,Nyköping,26345
38,37,481,Oxelösund,5849
39,38,482,Flen,7590
40,39,483,Katrineholm,16102
41,40,484,Eskilstuna,48706
42,41,486,Strängnäs,16273
43,42,488,Trosa,6051
44,43,509,Ödeshög,2496
45,44,512,Ydre,1736
46,45,513,Kinda,4569
47,46,560,Boxholm,2632
48,47,561,Åtvidaberg,5383
49,48,562,Finspång,10354
50,49,563,Valdemarsvik,3790
51,50,580,Linköping,76856
52,51,581,Norrköping,65902
53,52,582,Söderköping,6417
54,53,583,Motala,20466
55,54,584,Vadstena,3735
56,55,586,Mjölby,12792
57,56,604,Aneby,3041
58,57,617,Gnosjö,4079
59,58,642,Mullsjö,3226
60,59,643,Habo,4752
61,60,662,Gislaved,13044
62,61,665,Vaggeryd,5968
63,62,680,Jönköping,63999
64,63,682,Nässjö,14092
65,64,683,Värnamo,15400
66,65,684,Sävsjö,5114
67,66,685,Vetlanda,12550
68,67,686,Eksjö,8374
69,68,687,Tranås,8887
70,69,760,Uppvidinge,4423
71,70,761,Lessebo,3786
72,71,763,Tingsryd,6030
73,72,764,Alvesta,8675
74,73,765,Älmhult,7688
75,74,767,Markaryd,4805
76,75,780,Växjö,43061
77,76,781,Ljungby,13260
78,77,821,Högsby,2737
79,78,834,Torsås,3419
80,79,840,Mörbylånga,6770
81,80,860,Hultsfred,6714
82,81,861,Mönsterås,6372
83,82,862,Emmaboda,4567
84,83,880,Kalmar,33082
85,84,881,Nybro,9713
86,85,882,Oskarshamn,12799
87,86,883,Västervik,18072
88,87,884,Vimmerby,7368
89,88,885,Borgholm,5384
90,89,980,Gotland,28131
91,90,1060,Olofström,6439
92,91,1080,Karlskrona,31229
93,92,1081,Ronneby,13581
94,93,1082,Karlshamn,15558
95,94,1083,Sölvesborg,8246
96,95,1214,Svalöv,6019
97,96,1230,Staffanstorp,9845
98,97,1231,Burlöv,7760
99,98,1233,Vellinge,14628
100,99,1256,Östra Göinge,6499
101,100,1257,Örkelljunga,4775
102,101,1260,Bjuv,6504
103,102,1261,Kävlinge,12787
104,103,1262,Lomma,9717
105,104,1263,Svedala,8882
106,105,1264,Skurup,6885
107,106,1265,Sjöbo,8888
108,107,1266,Hörby,7129
109,108,1267,Höör,7199
110,109,1270,Tomelilla,6271
111,110,1272,Bromölla,5793
112,111,1273,Osby,6085
113,112,1275,Perstorp,3382
114,113,1276,Klippan,8177
115,114,1277,Åstorp,6516
116,115,1278,Båstad,7143
117,116,1280,Malmö,159103
118,117,1281,Lund,59913
119,118,1282,Landskrona,20598
120,119,1283,Helsingborg,67768
121,120,1284,Höganäs,11926
122,121,1285,Eslöv,14559
123,122,1286,Ystad,14642
124,123,1287,Trelleborg,20218
125,124,1290,Kristianstad,38943
126,125,1291,Simrishamn,9513
127,126,1292,Ängelholm,19465
128,127,1293,Hässleholm,24008
129,128,1315,Hylte,4633
130,129,1380,Halmstad,47368
131,130,1381,Laholm,11495
132,131,1382,Falkenberg,20211
133,132,1383,Varberg,28975
134,133,1384,Kungsbacka,33736
135,134,1401,Härryda,14820
136,135,1402,Partille,16001
137,136,1407,Öckerö,5063
138,137,1415,Stenungsund,11409
139,138,1419,Tjörn,7094
140,139,1421,Orust,7114
141,140,1427,Sotenäs,4570
142,141,1430,Munkedal,4879
143,142,1435,Tanum,6030
144,143,1438,Dals-Ed,2362
145,144,1439,Färgelanda,3119
146,145,1440,Ale,12797
147,146,1441,Lerum,16688
148,147,1442,Vårgårda,5081
149,148,1443,Bollebygd,3905
150,149,1444,Grästorp,2679
151,150,1445,Essunga,2583
152,151,1446,Karlsborg,3455
153,152,1447,Gullspång,2606
154,153,1452,Tranemo,5284
155,154,1460,Bengtsfors,4784
156,155,1461,Mellerud,4472
157,156,1462,Lilla Edet,6218
158,157,1463,Mark,15406
159,158,1465,Svenljunga,4869
160,159,1466,Herrljunga,4296
161,160,1470,Vara,7321
162,161,1471,Götene,5977
163,162,1472,Tibro,5194
164,163,1473,Töreboda,4430
165,164,1480,Göteborg,271380
166,165,1481,Mölndal,29996
167,166,1482,Kungälv,19969
168,167,1484,Lysekil,7034
169,168,1485,Uddevalla,26256
170,169,1486,Strömstad,6024
171,170,1487,Vänersborg,18270
172,171,1488,Trollhättan,26998
173,172,1489,Alingsås,18450
174,173,1490,Borås,51188
175,174,1491,Ulricehamn,11169
176,175,1492,Åmål,6067
