wardIndex,cityName,NAME3,wardName,wardNo,area(sq km),totalPopulation
0,wuhan,HongShanQu,DongHuKaiFaQuZuoLingZhen,1,14.39676703255969,31637
1,wuhan,QingShanQu,GongRenCunJieDaoBanShiChu,2,6.426922081686628,16162
2,wuhan,HongShanQu,HePingJieDaoBanShiChu,3,14.283572044029865,123222
3,wuhan,XinZhouQu,FengHuangZhen,4,69.57141196076272,26503
4,wuhan,JiangHanQu,MinYiJieBanShiChu,5,0.9798136530374472,40795
5,wuhan,JiangXiaQu,ZhiFangJieBanShiChu,6,13.043128493788256,216349
6,wuhan,JiangAnQu,XiMaJieBanShiChu,7,1.003243501508554,70400
7,wuhan,JiangHanQu,QianJinJieBanShiChu,8,0.35106624348814897,40558
8,wuhan,HongShanQu,LuoNanJieDao,9,6.281998127736591,263545
9,wuhan,WuChangQu,ShiDongJieBanShiChu,10,4.013117162362542,7617
10,wuhan,HongShanQu,TianXingXiang,11,25.059802531161484,3849
11,wuhan,HanYangQu,YingWuJieBanShiChu,12,3.995007681157933,59370
12,wuhan,QingShanQu,XinGouQiaoJieDaoBanShiChu,13,3.0097424242665936,62784
13,wuhan,JiangHanQu,ManChunJieBanShiChu,14,0.9050830657690082,27291
14,wuhan,QingShanQu,WuGangChangQu,15,29.3632904623737,321
15,wuhan,XinZhouQu,LiJiJieDaoBanShiChu,16,121.42001645113186,53128
16,wuhan,DongXiHuQu,ZouMaLingJieDaoBanShiChu,17,78.22860902501985,30567
17,wuhan,JiangXiaQu,ShuAnXiang,18,147.15676582822968,10183
18,wuhan,JiangXiaQu,DongHuKaiFaQuLiuFangJieBanShiChu,19,22.122796307941822,16385
19,wuhan,HanYangQu,QingChuanJieBanShiChu,20,1.3350084916295029,19588
20,wuhan,JiangXiaQu,DongHuKaiFaQuBaoXieBanShiChu,21,175.3144078492308,28107
21,wuhan,JiangAnQu,ErQiJieBanShiChu,22,4.0131067101280085,92935
22,wuhan,HanYangQu,JiangDiJieBanShiChu,23,12.658819463006859,27998
23,wuhan,DongXiHuQu,CiHuiJieDaoBanShiChu,24,24.925399013270944,18714
24,wuhan,JiangHanQu,HanXingJieBanShiChu,25,5.016329918394334,172209
